Facility ID,Facility Name,Address Line 1,City,Zip Code,County,Telephone,Adm First,Adm Last,OWNER,"Certified
Beds",SNF,NF,NH,ICF,ALZ,PC,ICF/IID,Licensure Effective,Licensure Expiration,Region,,,,
101119,CEDAR LAKE LODGE - PARK PLACE I,325 PARK ROAD,NEW CASTLE,40050,HENRY,(502) 845-8996,JEFF,MINIARD,"CEDAR LAKE LODGE, INC.",8,,,,,,,8,11/1/19,10/31/20,NB,NB,,,
101120,CEDAR LAKE LODGE - PARK PLACE II,327 PARK ROAD,NEW CASTLE,40050,HENRY,(502) 845-8996,JEFF,MINIARD,"CEDAR LAKE LODGE, INC.",8,,,,,,,8,11/1/19,10/31/20,NB,,,,
101246,CEDAR LAKE LODGE SYCAMORE RUN I,4804 SYCAMORE RIDGE LN,LA GRANGE,40031,OLDHAM,(502)425-5323,JEFF,MINIARD,"CEDAR LAKE, INC.",4,,,,,,,4,8/1/19,7/31/20,NB,,,,
101247,CEDAR LAKE LODGE SYCAMORE RUN II,4804 SYCAMORE RIDGE LN,LA GRANGE,40031,OLDHAM,(502)425-5323,JEFF,MINIARD,"CEDAR LAKE, INC.",4,,,,,,,4,8/1/19,7/31/20,NB,,,,
100751,CEDAR RIDGE HEALTH CAMPUS,1217 US HIGHWAY 62 E,CYNTHIANA,41031,HARRISON,(859) 234-2702,SOMER,HURSTON,"TRILOGY HEALTHCARE OF CYNTHIANA, LLC",53,,48,5,2,,41,,11/1/19,10/31/20,EB,,,,
100325,CEDARS OF LEBANON NURSING CENTER,337 SOUTH HARRISON STREET,LEBANON,40033,MARION,(270) 692-3121,TAMMY,GRIBBINS,"THE VILLAGE OF LEBANON, LLC",81,,81,,,,,,6/1/19,5/31/20,SB,SB,,,
100037,CHARLESTON HEALTH CARE CENTER,203 BRUCE COURT,DANVILLE,40423,BOYLE,(859) 236-9292,MARLIN,SPARKS,"MARLIN K. SPARKS MANAGEMENT COMPANY, INC.",90,,90,,,,,,5/1/19,4/30/20,SB,SB,,,
100221,CHEROKEE PARK REHABILITATION,2100 MILLVALE ROAD,LOUISVILLE,40205,JEFFERSON,(502) 451-0990,SUE,POPPLEWELL,"CHEROKEE PARK REHABILITATION, LLC",84,,84,,,,,,2/1/19,1/31/20,NB,NB,,,
100300,"CHRISTIAN CARE CENTER OF KUTTAWA, LLC",1253 LAKE BARKLEY DRIVE,KUTTAWA,42055,LYON,(270) 388-2291,HUGHES,ASH,"CHRISTIAN CARE CENTER OF KUTTAWA, LLC",65,,65,,,,,,9/1/19,8/31/20,WB,WB,,,
100486,CHRISTIAN HEALTH CENTER,200 STERLING DRIVE,HOPKINSVILLE,42240,CHRISTIAN,(270) 885-1166,CAROL,BRITT,"CHRISTIAN CARE COMMUNITIES, INC.",114,,112,2,,,2,,3/1/19,2/29/20,WB,WB,,,
100200,CHRISTIAN HEALTH CENTER,920 SOUTH FOURTH STREET,LOUISVILLE,40203,JEFFERSON,(502) 583-6533,JOHN,KEATON,"CHRISTIAN CARE COMMUNITIES, INC.",122,,118,4,,,,,10/1/19,9/30/20,NB,NB,,,
100540,CHRISTIAN HEALTH CENTER,116 SOUTH COMMONWEALTH AVENUE,CORBIN,40702,KNOX,(606) 258-2500,JANET,LOVITT,"CHRISTIAN CARE COMMUNITIES, INC.",104,,100,4,,,2,,1/1/19,12/31/19,SB,SB,,,
100691,CHRISTIAN HEALTH CENTER,1800 WESTEN AVENUE,BOWLING GREEN,42104,WARREN,(270) 796-6643,HEATHER,OBANION,"CHRISTIAN CARE COMMUNITIES, INC.",39,,22,17,2,,60,,12/1/18,11/30/19,WB,WB,,,
100069,CHRISTIAN HEIGHTS NURSING AND REHABILITATION CENTE,124 WEST NASHVILLE ST,PEMBROKE,42266,CHRISTIAN,(270) 475-4227,TAMMY,WORKMAN,"PEMBROKE OPERATING COMPANY, LLC",60,,60,,,,,,6/1/19,5/31/20,WB,WB,,,
100740,CLARK REGIONAL MEDICAL CENTER,175 HOSPITAL DRIVE,WINCHESTER,40391,CLARK,(859) 737-8559,CLAYTON,NIEMAN,"KENTUCKY HOSPITAL, LLC",25,,25,,,,,,3/1/19,2/29/20,EB,EB,,,
100231,CLIFTON OAKS CARE CENTER ,446 MT. HOLLY AVE,LOUISVILLE,40206,JEFFERSON,(502) 897-1646,JEFFREY,THOMPSON,"MT.HOLLY LEASING, LLC",110,,110,,,,,,7/1/19,6/30/20,NB,NB,,,
100555,CLINTON COUNTY CARE AND REHABILITATION CENTER,404 NORTH WASHINGTON STREET,ALBANY,42602,CLINTON,(606) 387-6623,DONNA,LEE,"LP ALBANY, LLC",52,,52,,,,,,11/1/19,10/31/20,SB,SB,,,
100181,CLINTON PLACE,106 PADGETT DRIVE,CLINTON,42031,HICKMAN,(270) 653-5558,TRELLA,WILSON,"Birchwood Nursing and Rehabilitation, LLC",88,,88,,,,10,,12/1/18,12/31/19,WB,WB,,,
100180,CLINTON-HICKMAN COUNTY NURSING FACILITY,366 S. WASHINGTON ST.,CLINTON,42031,HICKMAN,(270) 653-2461,JENNIFER,CONNELL,"CLINTON HICKMAN COUNTY HOSPITAL, INC.",46,,46,,,,10,,10/1/19,9/30/20,WB,WB,,,
101099,"COLDSPRING TRANSITIONAL CARE CENTER, LLC",300 PLAZA DRIVE,COLD SPRING,41076,CAMPBELL,(859) 441-4600,ADAM,LEWANDOWSKI,"COLDSPRING TRANSITIONAL CARE CENTER, LLC",143,,143,,,,,,12/1/18,11/30/19,EB,EB,,,
100405,COLONIAL CENTER,2365 NASHVILLE ROAD,BOWLING GREEN,42101,WARREN,(270) 842-1641,JESSICA,LOPEZ,"HBR BOWLING GREEN, LLC",48,,48,,,,,,11/1/19,10/31/20,WB,WB,,,
100481,CONCORDIA HEALTHCARE CENTER-HERITAGE MANOR,401 INDIANA AVE,MAYFIELD,42066,GRAVES,(270) 247-0200,CRYSTAL,JANES,"EAGLE ACQUISITION III,LLC",100,,100,,,,,,5/1/19,4/30/20,WB,WB,,,
100343,CONCORDIA NURSING AND REHABILITATION-MAPLE,515 GREENE DRIVE,GREENVILLE,42345,MUHLENBERG,(270) 338-5400,VICKI,BUTLER,"EAGLE ACQUISITION II,LLC",97,,97,,,,,,8/1/19,7/31/20,WB,WB,,,
100416,CORBIN HEALTH AND REHABILITATION CENTER,270 BACON CREEK ROAD,CORBIN,40702,WHITLEY,(606) 528-8822,CHADWICK,HILL,"CORBIN NURSING HOME, INC.",100,,100,,,,,,1/1/19,12/31/19,SB,SB,,,
100663,COUNTRYSIDE CENTER FOR REHABILITATION AND NURSING,47 MARGO AVENUE,BARDWELL,42023,CARLISLE,(270) 628-5424,MARILYN,INGRAM,"COUNTRYSIDE CENTER FOR REHABILITATION AND NURSING, LLC",53,,53,,,,8,,8/1/19,7/31/20,WB,WB,,,
100067,COVINGTON'S CONVALESCENT CENTER,115 CAYCE ST,HOPKINSVILLE,42240,CHRISTIAN,(270) 886-4403,WILLIAM,COVINGTON,"COVINGTON CONVALESCENT CENTER, INC.",72,,72,,,,,,5/1/19,4/30/20,WB,WB,,,
100299,"CREEKWOOD PLACE NURSING AND REHAB CENTER, INC",107 BOYLES DRIVE,RUSSELLVILLE,42276,LOGAN,(270) 726-9049,CHRISTY,JORDAN,"CREEKWOOD PLACE NURSING AND REHAB CENTER, INC.",104,,104,,,,,,1/1/19,12/31/19,WB,WB,,,
100383,CRESTVIEW CENTER,1871 MIDLAND TRAIL,SHELBYVILLE,40065,SHELBY,(502) 633-2454,STEVE,MCKINLEY,"CRESTVIEW NURSING, LLC",58,,58,,,,,,12/1/18,11/30/19,NB,NB,,,
100079,CRITTENDEN COUNTY HEALTH AND REHABILITATION CENTER,201 WATSON STREET,MARION,42064,CRITTENDEN,(270) 965-2218,JILL,MCCONNELL,"ORION MARION, LLC",101,,101,,,,4,,5/1/19,4/30/20,WB,WB,,,
100373,CUMBERLAND NURSING AND REHABILITATION CENTER,200 NORFLEET DRIVE,SOMERSET,42501,PULASKI,(606) 678-5104,JILL,SPURGEON,"SUNRISE MANOR OPCO, LLC",93,,93,,,,,,1/1/19,12/31/19,SB,SB,,,
100471,CUMBERLAND VALLEY MANOR,301 SOUTH MAIN STREET,BURKESVILLE,42717,CUMBERLAND,(270) 864-4315,MARIBETH,SHELTON,CUMBERLAND VALLEY MANOR,84,,84,,,,,,6/1/19,5/31/20,SB,SB,,,
100036,DANVILLE CENTRE FOR HEALTH AND REHABILITATION,642 NORTH THIRD STREET,DANVILLE,40422,BOYLE,(859) 236-3972,PENNY,UPTON,"LP DANVILLE, LLC",106,,106,,,,,,2/1/19,1/31/20,SB,SB,,,
100188,DAWSON SPRINGS HEALTH AND REHABILITATION CENTER,213 WATER STREET,DAWSON SPRINGS,42408,HOPKINS,(270) 797-2025,MARGARET,CURTIS,"DAWSON POINTE, LLC",59,,59,,,,,,8/1/19,7/31/20,WB,WB,,,
100694,DEL MARIA ICF/IID,5512 DEL MARIA WAY,LOUISVILLE,40291,JEFFERSON,(502) 499-7203,KELLY,MANGUM,CABINET FOR HEALTH SERVICES,8,,,,,,,8,1/1/19,12/31/19,NB,NB,,,
100205,EASTERN STAR HOME IN KY,923 EASTERN STAR COURT,LOUISVILLE,40204,JEFFERSON,(502) 451-3535,ROBERT,RIVERA,"EASTERN STAR HOME IN KENTUCKY, INC.",0,,,,18,,24,,7/1/19,6/30/20,NB,NB,,,
100166,EDGEMONT HEALTHCARE,323 WEBSTER AVENUE,CYNTHIANA,41031,HARRISON,(859) 234-4595,DANNITA,MORGAN,EDGEMONT HEALTHCARE,68,,68,,,,,,12/1/18,11/30/19,EB,EB,,,
100700,EDGEWOOD ESTATES,195 BERRYMAN ROAD,FRENCHBURG,40322,MENIFEE,(606) 768-9001,CYNTHIA,CLIFFORD,MENIFEE COUNTY NURSING HOME CORP.,60,,60,,,,8,,5/1/19,4/30/20,SB,SB,,,
100680,EDMONSON CENTER,813 S. MAIN ST.,BROWNSVILLE,42210,EDMONSON,(270) 597-2335,CHRIS,SWIHART,"HBR BROWNSVILLE, LLC",74,,74,,,,12,,10/1/19,9/30/20,WB,WB,,,
100161,ELIZABETHTOWN NURSING AND REHABILITATION CENTER,1101 WOODLAND DRIVE,ELIZABETHTOWN,42701,HARDIN,(270) 765-6106,CRYSTAL,HAMILTON,"ELIZABETHTOWN OPCO, LLC",65,,65,,,,,,5/1/19,4/30/20,NB,NB,,,
100690,ELLIOTT NURSING AND REHABILITATION,"RT 32  EAST, HOWARD CREEK RD",SANDY HOOK,41171,ELLIOTT,(606) 738-9400,RACHELLE,STEVENS,"ELLIOTT NURSING AND REHABILITATION, LLC",75,,75,,,,,,11/1/19,10/31/20,EB,EB,,,
101299,EMERALD TRACE,3802 TURKEYFOOT RD,ELSMERE,41018,KENTON,(859)342-0200,BRADLEY,STANFORD,"KENTON HOUSING, INC",54,,54,,,,20,,1/1/19,12/31/19,EB,EB,,,
100710,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,40422,BOYLE,(859) 239-2336,SUSAN,MATHERLY,"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER, INC.",25,,25,,,,,,4/1/19,3/31/20,SB,SB,,,
100518,ESSEX NURSING AND REHABILITATION CENTER,9600 LAMBORNE BOULEVARD,LOUISVILLE,40272,JEFFERSON,(502) 935-7284,ROBERT,FLATT,"HANGING ROCK, LTC, LLC",128,,128,,,,,,3/1/19,2/29/20,NB,NB,,,
100466,"FAIR OAKS HEALTH SYSTEMS, LLC",1 SPARKS AVENUE,JAMESTOWN,42629,RUSSELL,(270) 343-2101,CHRIS,MINNICH,"FAIR OAKS HEALTH SYSTEMS, LLC",114,,114,,,,,,8/1/19,7/31/20,SB,SB,,,
100747,FLAGET MEMORIAL HOSPITAL NF,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,40004,NELSON,(502) 350-5000,DELISA,ARNOLD,"FLAGET HEALTHCARE, INC.",12,,12,,,,,,5/1/19,4/30/20,NB,,,,
100547,FLORENCE PARK CARE CENTER,6975 BURLINGTON PIKE,FLORENCE,41042,BOONE,(513) 605-5000,PENINAH,WOOD,"EVAN GRAY, LLC",150,,150,,,,,,1/1/19,12/31/19,EB,EB,,,
100351,FORDSVILLE NURSING AND REHABILITATION CENTER,313 MAIN STREET,FORDSVILLE,42343,OHIO,(270) 276-3603,PAUL ,SHEPARD,"FORDSVILLE OPCO, LLC",67,,67,,,,,,8/1/19,7/31/20,WB,WB,,,
101222,FOREST SPRINGS HEALTH CAMPUS,4120 WOODED ACRE LANE,LOUISVILLE,40245,JEFFERSON,(502) 243-1643,MATTHEW,JONES,"TRILOGY HEALTHCARE OF LOUISVILLE NORTHEAST, LLC",58,,58,,,,37,,5/1/19,4/30/20,NB,NB,,,
100074,FOUNTAIN CIRCLE CARE AND REHABILITATION CENTER,200 GLENWAY ROAD,WINCHESTER,40391,CLARK,(859) 744-1800,LISA,COLLIER,"LP WINCHESTER, LLC",179,,179,,,,,,9/1/19,8/31/20,EB,EB,,,
100196,FRANCISCAN HEALTH CARE CENTER,3625 FERN VALLEY ROAD,LOUISVILLE,40219,JEFFERSON,(502) 964-3381,BRIAN,WILLOUGHBY,"TRILOGY HEALTHCARE OF JEFFERSON, LLC",85,,85,,,,,,2/1/19,1/31/20,NB,NB,,,
100512,FRANKFORT REHABILITATION AND CARE,117 OLD SOLDIERS LANE,FRANKFORT,40601,FRANKLIN,(502) 875-7272,SARAH,MILLS,"FRANKFORT LEASING, LLC",100,,100,,,,,,6/1/19,5/31/20,EB,EB,,,
100391,FRANKLIN-SIMPSON NURSING AND REHABILITATION CENTER,414 ROBEY ST.,FRANKLIN,42135,SIMPSON,(270) 586-7141,AMY,BLAIR,"FRANKLIN HEALTH CENTER, LLC",98,,98,,,,,,4/1/19,3/31/20,WB,WB,,,
100355,"FRIENDSHIP HEALTH AND REHAB, LLC",7400 LAGRANGE RD,PEWEE VALLEY,40056,OLDHAM,(502) 241-8821,ROBERT,YOUNG,"FRIENDSHIP HEALTH AND REHAB, LLC",128,,128,,,,,,9/1/19,8/31/20,NB,NB,,,
100132,"FULTON NURSING AND REHABILITATION, LLC",1004 HOLIDAY LANE,FULTON,42041,FULTON,(270) 472-1971,LINDSAY,FRAZIER,"FULTON NURSING AND REHABILITATION, LLC",60,,60,,,,,,4/1/19,3/31/20,WB,WB,,,
100632,GALLATIN NURSING AND REHAB,499 CENTER STREET,WARSAW,41095,GALLATIN,(859) 567-4548,STACIE,DARNOLD,"GALLANTINIDENCE OPCO, LLC",120,,120,,,,,,11/15/18,11/30/19,NB,NB,,,
100483,GLASGOW STATE NURSING FACILITY,207 STATE AVENUE,GLASGOW,42141,BARREN,(270) 659-4700,AMANDA,ALLEN,COMMONWEALTH OF KENTUCKY,100,,100,,,,,,11/1/19,10/31/20,WB,WB,,,
100729,GLEN RIDGE HEALTH CAMPUS,6415 CALM RIVER WAY,LOUISVILLE,40299,JEFFERSON,(502) 297-8590,LAUREN,CLAYTON,"TRILOGY HEALTHCARE OF GLEN RIDGE, LLC",70,,70,,,,26,,8/1/19,7/31/20,NB,NB,,,
100012,GLENVIEW HEALTH CARE FACILITY,1002 GLENVIEW DR.,GLASGOW,42141,BARREN,(270) 651-8332,KAY,BUSH,GLENVIEW HEALTH CARE FACILITY INC.,60,,60,,,,,,4/1/19,3/31/20,WB,WB,,,
100516,GOOD SHEPHERD HEALTH AND REHABILITATION,60 PHILLIPS BRANCH ROAD,PHELPS,41553,PIKE,(606) 456-8725,JAMIE,SLONE,"PRESBYTERIAN HOMES AND SERVICES OF KY, INC",118,,118,,,,2,,11/1/19,10/31/20,SB,SB,,,
100522,GRAND HAVEN NURSING HOME,105 RODGERS PARK,CYNTHIANA,41031,HARRISON,(859) 234-2050,ASHLEE,GAUNCE,"MARTIN'S REST HOME, INC.",54,,54,,,,,,4/1/19,3/31/20,EB,EB,,,
100594,GRANT CENTER,201 KIMBERLY LANE,WILLIAMSTOWN,41097,GRANT,(859) 824-7803,LESLIE MICHELLE,WALLACE,"GRANT MANOR, LLC",95,,95,,,,,,4/1/19,3/31/20,EB,EB,,,
100150,GRAYSON NURSING AND REHABILITATION,505 WILLIAM THOMASON BYWAY,LEITCHFIELD,42754,GRAYSON,(270) 259-4028,JEFFREY,BAXLEY,"GRAYSON HOUSING, INC.",72,,72,,,,30,,8/1/19,7/31/20,WB,WB,,,
100144,GREEN ACRES HEALTH CARE,402 W. FARTHING STREET,MAYFIELD,42066,GRAVES,(270) 247-6477,CHRISTOPHER,LINTON,"GREEN ACRES HEALTH SERVICES, INC.",73,,73,,,,,,2/1/19,1/31/20,WB,WB,,,
100152,GREEN HILL REHABILITATION AND CARE,213 INDUSTRIAL ROAD,GREENSBURG,42743,GREEN,(270) 932-4241,DAVID,GARST,"GREEN HILL LEASING, LLC",118,,118,,,,,,6/1/19,5/31/20,SB,SB,,,
100342,GREENVILLE NURSING AND REHABILITATION,521 GREENE DR.,GREENVILLE,42345,MUHLENBERG,(270) 338-1523,JORDAN,VINSON,"GREENVILLE NURSING AND REHABILITATION, LLC",62,,62,,,,14,,12/1/18,11/30/19,WB,WB,,,
100498,GREENWOOD NURSING AND REHABILITATION CENTER,5079 SCOTTSVILLE RD.,BOWLING GREEN,42104,WARREN,(270) 782-1125,JONATHAN,MCGUIRE,"THAMES HEALTHCARE GROUP, LLC",128,,128,,,,,,6/1/19,5/31/20,WB,WB,,,
100480,"HARBORVIEW DOVER, LLC",112 DOVER DRIVE,GEORGETOWN,40324,SCOTT,(502) 863-9529,DUSTYN,SLOAN,"HARBORVIEW DOVER, LLC",85,,85,,,,,,7/1/19,6/30/20,EB,EB,,,
100041,HARDINSBURG NURSING AND REHABILITATION CENTER,101 FAIRGROUNDS ROAD,HARDINSBURG,40143,BRECKINRIDGE,(270) 756-2159,JOSEPH,VANCE,"HARDINSBURG HEALTH CENTER, LLC",63,,63,,,,,,9/1/19,8/31/20,NB,NB,,,
100510,HARLAN HEALTH AND REHABILITATION CENTER,200 MEDICAL CENTER DRIVE,HARLAN,40831,HARLAN,(606) 573-7250,GAIL,HENSLEY,"HARLAN NURSING HOME, INC.",143,,143,,,,,,11/1/19,10/31/20,SB,SB,,,
100457,HARRODSBURG HEALTH AND REHABILITATION CENTER,853 LEXINGTON ROAD,HARRODSBURG,40330,MERCER,(859) 734-7791,JODI,JOHNSON,"LP HARRODSBURG, LLC",112,,112,,,,,,8/1/19,7/31/20,EB,EB,,,
100462,HAZARD HEALTH AND REHABILITATION CENTER,390 PARK AVENUE,HAZARD,41702,PERRY,(606) 439-2306,CHARLOTTE,THORNSBERRY,"HAZARD NURSING HOME, INC",200,,200,,,,,,3/1/19,2/29/20,SB,SB,,,
