LICENSE,NAME,ADDRESS,CITY,ST,ZIP,COUNTY,OWNER,OPR FNAME,OPR LNAME,TELEPHONE
KY22000291,ADVOCATES FOR WOMEN'S HEALTH,"4915 NORTON HEALTHCARE BLVD, SUITE 203",LOUISVILLE,KY,40241,JEFFERSON,,,,(502) 423-9595
KY22018589,ADVOCATES FOR WOMEN'S HEALTH,"4123 DUTCHMAN'S LANE, SUITE 601",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 394-6580
KY22025737,"AFFINITY HEALTHCARE, PSC DBA HYDEN FAMILY CARE",22055 MAIN STREET,HYDEN,KY,41749,LESLIE,,,,(606) 672-1978
KY22000888,"ALBAREE HEALTH SERVICES, LLC",842 EAST MOUNTAIN PARKWAY,SALYERSVILLE,KY,41465,MAGOFFIN,,ANTOIN,HANA,(606) 349-8100
KY22002322,ALEXIUS M BISHOP MD,45 CAVALIER BLVD,FLORENCE,KY,41042,BOONE,,,,(859) 371-7400
KY22026414,ALL AROUND HEALTHCARE,3975 7TH STREET ROAD,LOUISVILLE,KY,40216,JEFFERSON,,,,(502) 825-0075
KY22001128,"ALL CHILDREN PEDIATRICS HOLDINGS, PLLC DBA",400 BLANKENBAKER PKWY SUITE 200,LOUISVILLE,KY,40243,JEFFERSON,,,,(502) 844-4258
KY22020915,"ALL EASE CHIROPRACTIC, LLC","1116 S MAIN STREET, SUITE 1",MORGANTOWN,KY,42261,BUTLER,,,,(270) 526-6206
KY22001528,"ALL WOMEN OB/GYN, PSC","4010 DUPONT CIRCLE, SUITE L-07",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 895-6559
KY22003361,ALL WOMEN PLLC,"7000 HUSTON ROAD, SUITE 19",FLORENCE,KY,41042,BOONE,,,,(859) 341-5550
KY22003289,ALL-STAR PEDIATRICS,6425 BARDSTOWN ROAD,LOUISVILLE,KY,40291,JEFFERSON,,MAURICE,ALLGEIER III,(502) 762-0498
KY22023424,ALLERGY & ASTHMA ASSOCIATES OF THE BLUEGRASS,"171 N EAGLE CREEK DRIVE, STE 106",LEXINGTON,KY,40509,FAYETTE,,,,(859) 277-9112
KY22001059,"ALLERGY & ASTHMA SPECIALISTS, PSC",3604 WATHENS CROSSING,OWENSBORO,KY,42301,DAVIESS,,,,(270) 684-6144
KY22013252,ALLERGY PARTNERS OF CENTRAL KENTUCKY,166 PASADENA DRIVE SUITE 150,LEXINGTON,KY,40503,FAYETTE,,,,(859) 276-1452
KY22014270,"ALLERGY, ASTHMA & SINUS CENTER, PLLC",1136 MONARCH STREET,LEXINGTON,KY,40513,FAYETTE,,,,(859) 223-0000
KY22027862,ALLIANCE HEALTH CARE,1710 D HWY 121 N,MURRAY,KY,42071,CALLOWAY,,,,(270) 753-6100
KY22025275,ALPHA HEALTH SERVICES,121 OAKRIDGE COURT STE B,PRESTONSBURG,KY,41653,FLOYD,,,,(606) 349-8100
KY22000602,"AMERICAN CURRENT CARE, PA DBA",3430 NEWBURG RD SUITE 106,LOUISVILLE,KY,40218,JEFFERSON,,,,(502) 451-1100
KY22002513,"AMERICAN CURRENT CARE, PA DBA",901 W BROADWAY,LOUISVILLE,KY,40203,JEFFERSON,,,,(502) 584-2257
KY22029470,"AMERICAN ONCOLOGY PARTNERS, PA",1460 BLUEGRASS AVE,LOUISVILLE,KY,40215,JEFFERSON,,,,(502) 361-8496
KY22020153,AMERICAN PAIN INSTITUTE INC,645 ROY WILKINS AVENUE,LOUISVILLE,KY,40203,JEFFERSON,,,,(502) 561-0520
KY22003210,AMINS FAMILY PRACTICE ASSOCIATES PSC,1505 SOUTH SEVENTH STREET,LOUISVILLE,KY,40208,JEFFERSON,,,,(502) 637-1005
KY22001031,AMINS FAMILY PRACTICE ASSOCIATES PSC,10100 DIXIE HWY,LOUISVILLE,KY,40272,JEFFERSON,,,,(502) 937-4766
KY22001969,ANGELA D LEWIS DO PSC,1021 KENWOOD DRIVE,RUSSELL,KY,41169,GREENUP,,,,(606) 836-1954
KY22013088,ANITA SPIREK MD PLLC,"1140 LEXINGTON ROAD, SUITE 200",GEORGETOWN,KY,40324,SCOTT,,,,(502) 867-2155
18D0322676,ANNVILLE MEDICAL CLINIC,78 HIGHWAY 3444,ANNVILLE,KY,40402,JACKSON,,DAVID,HAYS,(606) 364-5162
KY22000072,ANSON HSIEH,1402 ANDREA STREET,BOWLING GREEN,KY,42104,WARREN,,,,(270) 781-0167
KY22028148,APPALACHIAN COMMUNITY CARE LLC,255 CHURCH STREET SUITE 101,PIKEVILLE,KY,41501,PIKE,,,,(606) 432-5660
KY22029245,APPALACHIAN COMMUNITY CARE LLC,3495 HIGHWAY 15,WHITESBURG,KY,41858,LETCHER,,,,(606) 633-4980
KY22022135,APPALACHIAN FAMILY CARE,55W CAL HILL SPUR,PINE KNOT,KY,42635,MCCREARY,,,,(606) 376-9355
KY22025739,APPALACHIAN HLTH CARE DBA JC FAMILY HEALTH CARE,"117 CORPORATE DR, SUITE 102",HAZARD,KY,41701,PERRY,,,,(606) 487-9999
KY22026755,APPALACHIAN PRIMARY CARE LLC,92 PICKETT LANE,PRESTONSBURG,KY,41653,FLOYD,,,,(646) 707-7415
KY22026266,"APPALACHIAN WELLNESS, LLC",592 KY 15 SOUTH,CAMPTON,KY,41301,WOLFE,,MILDRED,FLEETWOOD,(606) 668-7393
KY22012586,APRISS ONSITE,10401 LINN STATION ROAD SUITE 110,LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 423-9229
18D0325236,ARH CLINIC,181 ROY CAMPBELL DRIVE,HAZARD,KY,41701,PERRY,,MITCHELL,WICKER,(606) 439-1316
KY22001339,ARH HOMETOWN FAMILY CARE,"400 UNIVERSITY DRIVE, SUITE 101A",PRESTONSBURG,KY,41653,FLOYD,,,,(606) 886-3831
KY22029281,ARH MEDICAL AND SPECIALTY ASSOCIATES,400 UNIVERSITY DRIVE SUITE 211,PRESTONSBURG,KY,41653,FLOYD,,,,(606) 889-6367
KY22018530,ARH MEDICAL AND SPECIALTY ASSOCIATES,713 BROADWAY AVENUE,PAINTSVILLE,KY,41240,JOHNSON,,,,(606) 789-2185
KY22025959,ARH MEDICAL ASSOCIATES HIGHLANDS,5000 KY RT 321 SUITE 3141,PRESTONSBURG,KY,41653,FLOYD,,,,(606) 889-6370
KY22000938,ARH MEDICAL ASSOCIATES HIGHLANDS,5000 KY ROUTE 321 SUITE 4,PRESTONSBURG,KY,41653,FLOYD,,,,(606) 886-7645
KY22020293,ARH MIDDLESBORO INTERNAL MEDICINE CLINIC,2032 CUMBERLAND AVENUE,MIDDLESBORO,KY,40965,BELL,,,,(606) 248-4833
KY22020295,ARH MIDDLESBORO INTERNAL MEDICINE CLINIC,200 N 30TH STREET,MIDDLESBORO,KY,40965,BELL,,,,(606) 248-3324
KY22013716,ARH PRIMARY CARE ASSOCIATES,47 HIGHWAY 119 S SUITE 3,WHITESBURG,KY,41858,LETCHER,,,,(606) 633-7000
KY22029374,ARH RECOVERY CLINIC- A DEPARTMENT OF HAZARD,"102 MEDICAL CENTER DRIVE, SUITE 101",HAZARD,KY,41701,PERRY,,,,(606) 435-7200
KY22014087,ARH UROLOGY ASSOCIATES HIGHLANDS,"5000 KY ROUTE 321, SUITE 2162",PRESTONSBURG,KY,41653,FLOYD,,,,(606) 889-6185
KY22009947,ARH WOMENS HEALTH CENTER-MIDDLESBORO,2004 CUMBERLAND AVE,MIDDLESBORO,KY,40965,BELL,,,,(606) 248-3015
KY22003330,ARIBBE A MARTIN MD PSC,225 MEDICAL CENTR DRIVE SUITE 209A,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 441-4500
KY22003231,ARTHRITIS CENTER OF LEXINGTION,330 WALLER AVENUE,LEXINGTON,KY,40504,FAYETTE,,,,(859) 254-7000
KY22001320,ASHER BENNETT N,120 PROFESSIONAL AVE,WINCHESTER,KY,40391,CLARK,,,,(606) 744-2485
18D0324709,ASHLAND CHILDREN'S CLINIC,700 13TH ST,ASHLAND,KY,41101,BOYD,,ISHMAEL,STEVENS,(606) 329-0204
KY22023875,ASHLAND INTEGRATIVE MEDICINE,844 CENTRAL AVE,ASHLAND,KY,41101,BOYD,,,,(606) 393-6193
KY22027447,"ASHLAND INTEGRATIVE MEDICINE, LLC","10730 MIDLAND TRAIL, SUITE 2",ASHLAND,KY,41102,BOYD,,,,(606) 393-6193
KY22002545,ASHLAND PEDIATRIC ASSOCIATES PSC,332 23RD ST,ASHLAND,KY,41101,BOYD,,,,(606) 327-5437
KY22012147,ASHLAND URGENT CARE,2245 WINCHESTER AVENUE,ASHLAND,KY,41101,BOYD,,,,(606) 408-2600
KY22017982,ASSOCIATE IN DERMATOLOGY AND DERMATOPATHOLOGY,"1700 OLD BLUEGRASS AVENUE, SUITE 200",LOUISVILLE,KY,40215,JEFFERSON,,,,(502) 361-3909
18D1000478,ASSOCIATE IN PHYSICIAN SERVICES,"1325 ANDREA STREET, SUITE 107",BOWLING GREEN,KY,42104,WARREN,,CATHERINE,HELTSLEY,(270) 796-8881
KY22028056,ASSOCIATES IN BEHAVIORAL HEALTH LOUISVILLE,302 EAST BRECKINRIDGE STREET,LOUISVILLE,KY,40203,JEFFERSON,,,,(502) 561-1112
KY22026412,ASSOCIATES IN DERMATOLOGY,10302 BROOKRIDGE VILLAGE BOULEVARD,LOUISVILLE,KY,40291,JEFFERSON,,,,(502) 583-1749
KY22029005,ASSOCIATES IN DERMATOLOGY ELIZABETHTOWN,1028 N DIXIE HIGHWAY,ELIZABETHTOWN,KY,42701,HARDIN,,TIMOTHY,BROWN,(270) 370-3600
KY22027676,ASSOCIATES IN DERMATOLOGY PLLC,114 MANOR AVENUE,BARDSTOWN,KY,40004,NELSON,,TIMOTHY,BROWN,(502) 583-1749
KY22025932,"ASSOCIATES IN DERMATOLOGY, PLLC","325 WEST WALNUT STREET, SUITE 300",LEBANON,KY,40033,MARION,,,,(502) 583-1749
KY22017922,"ASSOCIATES IN DERMATOLOGY, PLLC","3810 SPRINGHURST BOULEVARD, SUITE 200",LOUISVILLE,KY,40241,JEFFERSON,,,,(502) 583-1749
KY22025931,"ASSOCIATES IN DERMATOLOGY, PLLC","130 STONE CREST ROAD, SUITE 104",SHELBYVILLE,KY,40065,SHELBY,,,,(502) 583-1749
KY22026413,"ASSOCIATES IN DERMATOLOGY, PLLC",803 WALLACE AVENUE,LEITCHFIELD,KY,42754,GRAYSON,,,,(502) 583-1749
KY22026411,"ASSOCIATES IN DERMATOLOGY, PLLC",3 AUDUBON PLAZA SUITE 630,LOUISVILLE,KY,40217,JEFFERSON,,,,(502) 583-1744
KY22000173,"ASSOCIATES IN OBSTETRICS & GYNECOLOGY, A PART OF",4123 DUTCHMANS LANE SUITE 300,LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 899-6755
KY22018105,ASSOCIATES IN PHYSICIAN SERVICES,208 SOUTH COURT STREET,SCOTTSVILLE,KY,42164,ALLEN,,,,(270) 239-4000
200124,ASTHMA AND ALLERGY CENTER,156 ISLAND CREEK ROAD,PIKEVILLE,KY,41501,PIKE,MEDICAL INVESTMENT TRUST,LEONOR,PAGTAKHAN-SO,(606) 432-0174
KY22028601,"ASTRA BEHAVIORAL HEALTH, LLC",203-A FAIRGROUNDS RD,HARDINSBURG,KY,40143,BRECKINRIDGE,,,,(270) 580-7263
KY22027771,"ASTRA BEHAVIORAL HEALTH, LLC",129 PARKWAY DRIVE,BARDSTOWN,KY,40004,NELSON,,,,(270) 506-2730
KY22025155,"ASTRA BEHAVIORAL HEALTH, LLC","1239 WOODLAND DRIVE, STE 10",ELIZABETHTOWN,KY,42701,HARDIN,,,,(270) 506-2730
KY22027770,"ASTRA BEHAVIORAL HEATH, LLC",1013 GRANITE DR,BARDSTOWN,KY,40004,NELSON,,,,(270) 506-2730
KY22029283,ATLAS PAIN AND SPINE,789 EASTERN BYPASS STE 2-B,RICHMOND,KY,40475,MADISON,,,,(859) 268-1030
KY22029282,ATLAS PAIN AND SPINE,1 TRILLIUM WAY STE 111,CORBIN,KY,40701,KNOX,,,,(859) 268-1030
KY22002393,AUDREY SPENCER MD,910 KENTON STATION DR SUITE D,MAYSVILLE,KY,41056,MASON,,,,(606) 759-0706
KY22002339,AYESHA M SIKDER MD,5230 KENTUCKY ROUTE 321,PRESTONSBURG,KY,41653,FLOYD,,,,(410) 555-1212
KY22021935,BAKER DIRECT MEDICAL CARE,37 HIGHWAY 343,NEON,KY,41840,LETCHER,,BRENDA,BAKER,(606) 832-0192
KY22014083,"BAL K BANSAL, MD","700 ST CHRISTOPHER DRIVE, SUITE 101",ASHLAND,KY,41101,BOYD,,,,(606) 836-0604
KY22019714,BALANCED CARE FAMILY HEALTH & WELLNESS CENTER,"108 OSBORNE WAY, SUITE 7",GEORGETOWN,KY,40324,SCOTT,,,,(901) 487-1257
KY22018340,"BALLARD WRIGHT, MD, PSC AKA","110 HARDIN LANE, SUITE 4",SOMERSET,KY,42501,PULASKI,,,,(859) 278-1316
KY22001195,BAPTIST CENTER FOR PAIN CONTROL,"2400 EASTPOINT PARKWAY, SUITE 410",LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 253-6625
KY22003129,BAPTIST COMMUNITY HEALTHCARE SYSTEM DBA BAPTIST,870 TAYLORSVILLE ROAD,TAYLORSVILLE,KY,40071,SPENCER,,,,(502) 477-8888
18D0323514,BAPTIST FAMILY MEDICINE AT TATES CREEK,4071 TATES CREEK CENTRE DRIVE,LEXINGTON,KY,40517,FAYETTE,,ALLEN,HALBERT,(859) 273-3888
KY22003000,BAPTIST FAMILY PHYSICIANS OF SCOTT COUNTY,210 BEVINS LANE,GEORGETOWN,KY,40324,SCOTT,,,,(502) 868-0622
KY22003208,BAPTIST GASTROENTEROLOGY ASSOCIATES,"3950 KRESGE WAY, SUITE 207",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 893-0220
KY22026737,BAPTIST HEALTH CBC GROUP-EASTPOINT,2400 EASTPOINT PKWY STE 310,LOUISVILLE,KY,40243,JEFFERSON,,,,(502) 897-1166
KY22019391,BAPTIST HEALTH ENDOCRINOLOGY,"4003 KRESGE WAY, SUITE 400",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 895-4263
KY22014828,BAPTIST HEALTH KENTUCKY GASTROENTEROLOGY,"789 EASTERN BYPASS, SUITE 14",RICHMOND,KY,40475,MADISON,,,,(859) 625-0900
KY22027968,BAPTIST HEALTH LAGRANGE CBC GROUP,1031 NEW MOODY LANE STE 204,LA GRANGE,KY,40031,OLDHAM,,,,(502) 897-1166
KY22020014,BAPTIST HEALTH LOUISVILLE- POPLAR LEVEL,3795 POPLAR LEVEL ROAD,LOUISVILLE,KY,40213,JEFFERSON,,,,(502) 896-7327
KY22001327,BAPTIST HEALTH MEDICAL GROUP,2312 HIKES LANE,LOUISVILLE,KY,40218,JEFFERSON,,,,(502) 479-7229
KY22001026,BAPTIST HEALTH MEDICAL GROUP,1720 NICHOLASVILLE RD SUITE 601,LEXINGTON,KY,40503,FAYETTE,,,,(859) 277-5887
KY22000740,BAPTIST HEALTH MEDICAL GROUP,9815 BROWNSBORO ROAD,LOUISVILLE,KY,40241,JEFFERSON,,,,(502) 426-4264
KY22000058,BAPTIST HEALTH MEDICAL GROUP,10216 TAYLORSVILLE ROAD STE 400,LOUISVILLE,KY,40299,JEFFERSON,,,,(502) 267-5456
KY22015212,BAPTIST HEALTH MEDICAL GROUP,"9070 DIXIE HIGHWAY, SUITE 6",LOUISVILLE,KY,40258,JEFFERSON,,,,(502) 271-3236
KY22021655,BAPTIST HEALTH MEDICAL GROUP,2801 PALUMBO DRIVE STE 200,LEXINGTON,KY,40509,FAYETTE,,,,(859) 260-4390
KY22002346,BAPTIST HEALTH MEDICAL GROUP - BUECHEL,3828 BARDSTOWN RD,LOUISVILLE,KY,40218,JEFFERSON,,,,(502) 459-4900
KY22000208,BAPTIST HEALTH MEDICAL GROUP - MEDEAST,4003 KRESGE WAY STE 410,LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 212-7525
KY22000942,BAPTIST HEALTH MEDICAL GROUP /,1023 NEW MOODY LN,LA GRANGE,KY,40031,OLDHAM,,,,(502) 222-5558
KY22000064,BAPTIST HEALTH MEDICAL GROUP /TRI-COUNTY OB/GYN,"2400 EASTPOINT PARKWAY, STE 510",LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 245-4644
KY22010426,BAPTIST HEALTH MEDICAL GROUP EASTPOINT,2400 EASTPOPINT PARKWAY SUITE 550,LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 253-6630
KY22001374,BAPTIST HEALTH MEDICAL GROUP FAMILY MEDICINE,1760 NICHOLASVILLE ROAD SUITE 603,LEXINGTON,KY,40503,FAYETTE,,,,(859) 277-2211
KY22002207,BAPTIST HEALTH MEDICAL GROUP FAMILY MEDICINE,225 INDUSTRIAL PARK RD,DAWSON SPRINGS,KY,42408,HOPKINS,,,,(270) 797-3521
KY22009006,BAPTIST HEALTH MEDICAL GROUP FAMILY MEDICINE,14949 NORTH US HWY 25 STE 4,CORBIN,KY,40701,WHITLEY,,,,(606) 528-0305
KY22000294,BAPTIST HEALTH MEDICAL GROUP FAMILY MEDICINE,403 WEST FAIRVIEW AVENUE,EDDYVILLE,KY,42038,LYON,,,,(270) 388-5454
KY22029596,BAPTIST HEALTH MEDICAL GROUP HOPKINSVILLE,500 CLINIC DR 2ND FLOOR ATT WILLIAM CLARK,HOPKINSVILLE,KY,42240,CHRISTIAN,,,,(270) 707-3301
KY22024195,BAPTIST HEALTH MEDICAL GROUP INTERNAL MEDICINE,"1578 HWY 44 E, UNIT 2",SHEPHERDSVILLE,KY,40165,BULLITT,,,,(502) 921-4161
KY22002472,BAPTIST HEALTH MEDICAL GROUP MIDDLETOWN,"12010 SHELBYVILLE ROAD, SUITE 400",LOUISVILLE,KY,40243,JEFFERSON,,,,(502) 897-9191
KY22001310,BAPTIST HEALTH MEDICAL GROUP OB/GYN,2605 KENTUCKY AVENUE SUITE 301,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 443-1220
KY22008387,BAPTIST HEALTH MEDICAL GROUP OB/GYN,2605 KENTUCKY AVENUE SUITE 304,PADUCAH,KY,42001,MCCRACKEN,,,,(270) 575-4555
KY22002028,BAPTIST HEALTH MEDICAL GROUP OB/GYN,793 EASTERN BYPASS SUITE 201,RICHMOND,KY,40475,MADISON,,,,(859) 625-9450
KY22000832,BAPTIST HEALTH MEDICAL GROUP OBGYN,6208 PRESTON HIGHWAY,LOUISVILLE,KY,40219,JEFFERSON,,,,(502) 899-5535
KY22002467,BAPTIST HEALTH MEDICAL GROUP OBGYN,2605 KENTUCKY AVENUE SUITE 301,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 575-4555
KY22000831,BAPTIST HEALTH MEDICAL GROUP OBGYN,950 BRECKENRIDGE LANE SUITE 200,LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 893-6777
KY22029533,BAPTIST HEALTH MEDICAL GROUP PRIMARY CARE,543 POWELL LANE,BENTON,KY,42025,MARSHALL,,,,(270) 415-7070
KY22027403,BAPTIST HEALTH MEDICAL GROUP PRIMARYCARE,2108 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,FAYETTE,,,,(859) 278-9413
KY22028936,BAPTIST HEALTH MEDICAL GROUP UROLOGY LONDON,100 PROFESSIONAL DRIVE,CORBIN,KY,40701,KNOX,,,,(606) 528-1172
KY22026444,BAPTIST HEALTH MEDICAL GROUP WOMENS CARE LEXINGTON,1700 NICHOLASVILLE ROAD STE 704,LEXINGTON,KY,40503,FAYETTE,,,,(859) 278-0363
KY22025035,BAPTIST HEALTH MEDICAL GROUP- CARDIOLOGY,"800 HOSPITAL DRIVE, 1TH FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 326-3809
KY22025032,BAPTIST HEALTH MEDICAL GROUP- ENDOCRINOLOGY,"200 CLINIC DRIVE, 5TH FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7226
KY22025033,BAPTIST HEALTH MEDICAL GROUP- FAMILY MEDICINE,"200 CLINIC DRIVE, 5TH FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7295
KY22025031,BAPTIST HEALTH MEDICAL GROUP- FAMILY PRACTICE,"200 CLINIC DRIVE, 4TH FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7226
KY22025037,BAPTIST HEALTH MEDICAL GROUP- PEDIATRICS,"200 CLINIC DRIVE, 2ND FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7295
KY22025036,BAPTIST HEALTH MEDICAL GROUP- PODIATRY,"200CLINIC DRIVE, GROUND FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7373
KY22025034,BAPTIST HEALTH MEDICAL GROUP- RESIDENCY,"200 CLINIC DRIVE, 1ST FLOOR ATT MARY DWYER",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 825-7226
KY22024952,BAPTIST HEALTH MEDICAL GROUP-PRIMARY CARE,"2040 HARRODSBURG RD, STE 100",LEXINGTON,KY,40503,FAYETTE,,,,(859) 899-7990
KY22024852,BAPTIST HEALTH MEDICAL GROUP-UROLOGY,"793 EASTERN BYPASS MOB3, STE 101",RICHMOND,KY,40475,MADISON,,,,(859) 626-8645
KY22018250,BAPTIST HEALTH OB-GYN ASSOCIATES OF LEXINGTON,"1700 NICHOLASVILLE ROAD, SUITE 702",LEXINGTON,KY,40503,FAYETTE,,,,(859) 260-2580
18D0907497,BAPTIST HEALTH PADUCAH PRIME CARE CENTER,WALKER MEDICAL PARK 2601 KY AVE SUITE 103,PADUCAH,KY,42003,MCCRACKEN,,ROBERT,HAUGH,(270) 415-4860
KY22000288,BAPTIST HEALTH PRIMARY CARE OF BARBOURVILLE,602 KNOX STREET,BARBOURVILLE,KY,40906,KNOX,,,,(606) 546-6027
KY22017923,BAPTIST HEALTH STRAWBERRY HILLS MEDICAL CENTER,2670 NEW HOLT ROAD SUITE B,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 575-2706
KY22004601,BAPTIST HEALTH URGENT CARE,"101 STONECREST ROAD, SUITE 1",SHELBYVILLE,KY,40065,SHELBY,,,,(502) 633-2233
KY22009687,BAPTIST HEALTH URGENT CARE - EASTPOINT,2400 EASTPOINT PARKWAY,LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 210-4800
