TYPE,"LICENSE
#",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,"LICENSURE
EXPIRATION"
Alcohol and Other Drug Entity Facility,810564,BOYLE COUNTY DETENTION CENTER SUBSTANCE ABUSE PROG,1860 SOUTH DANVILLE BYPASS,DANVILLE,KY,40422,BOYLE,"THE SHEPHERD'S HOUSE, INC.",JEROD,THOMAS,(859) 238-1127,5/31/20
Alcohol and Other Drug Entity Facility,810338,BRECKINRIDGE COUNTY DETENTION CENTER,500 GLEN NASH LANE,HARDINSBURG,KY,40143,BRECKINRIDGE,BRECKINRIDGE COUNTY FISCAL COURT,TARA,SHREWSBERRY,(270) 756-6244,7/31/20
Alcohol and Other Drug Entity Facility,810397,BRIGHTER DAYS COUNSELING CENTER,"302 NORTH 1ST, SUITE 1",LA GRANGE,KY,40031,OLDHAM,BRIGHTER DAYS COUNSELING CENTER,CHRIS,FLORIO,(502) 716-0360,Pending Renewal
Alcohol and Other Drug Entity Facility,810524,BROOKES DUI & SUBSTANCE ABUSE SERVICES,111 NORTH MAIN STREET,CYNTHIANA,KY,41031,HARRISON,BROOKES DUI & SUBSTANCE ABUSE SERVICES,SAMANTHA,UNDERWOOD,(859) 953-1137,7/31/20
Alcohol and Other Drug Entity Facility,810360,BUCKHORN CHILDREN'S CENTER MIDWAY PRTF,1677 CEDAR POINT ROAD,BUCKHORN,KY,41721,PERRY,BUCKHORN CHILDREN AND FAMILY SERVICES,BILLY,SMITH,(606) 398-7000,10/31/20
Alcohol and Other Drug Entity Facility,810359,BUCKHORN CHILDREN'S CENTER PRTF REDWOOD,1621 CEDAR POINT ROAD,BUCKHORN,KY,41721,PERRY,BUCKHORN CHILDREN AND FAMILY SERVICES,BILLY,SMITH,(606) 398-7000,10/31/20
Alcohol and Other Drug Entity Facility,810417,BULLITT COUNTY JAIL,1671 SOUTH PRESTON HIGHWAY,SHEPHERDSVILLE,KY,40165,BULLITT,BULLITT COUNTY DETENTION CENTER,CRYSTAL,NAPPER,(502) 543-7263,9/30/20
Alcohol and Other Drug Entity Facility,810419,C FERGUSON COUNSELING SERVICES,1402 NORTH DIXIE HIGHWAY,RADCLIFF,KY,40160,HARDIN,CONNIE E. FERGUSON,CONNIE,FERGUSON,(270) 352-5220,10/31/20
Alcohol and Other Drug Entity Facility,810409,"CALDWELL COUNSELING SERVICES, LLC",114 NORTH SPALDING AVENUE,LEBANON,KY,40033,MARION,STARR CALDWELL,STARR,CALDWELL,(270) 699-1542,9/30/20
Alcohol and Other Drug Entity Facility,810618,CARIS COUNSELING & BEHAVIORAL HEALTH GROUP,4730 HANSON ROAD,MADISONVILLE,KY,42431,HOPKINS,CARIS COUNSELING & BEHAVIORAL HEALTH GROUP,SHELLIE,GRAY-CHEIRS,(270) 681-2273,7/31/20
Alcohol and Other Drug Entity Facility,810560,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC","1018 IVAL JAMES BLVD, SUITE C",RICHMOND,KY,40475,MADISON,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC.",MARY,MASSMAN,(859) 575-1323,2/29/20
Alcohol and Other Drug Entity Facility,810404,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC","1990 LOUISVILLE ROAD, SUITE 110",BOWLING GREEN,KY,42101,WARREN,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC.",MARY,MASSMAN,(270) 782-2100,7/31/20
Alcohol and Other Drug Entity Facility,810379,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC","2225 LAWRENCEBURG ROAD, BUILDING C",FRANKFORT,KY,40601,FRANKLIN,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC.",MARY,MASSMAN,(502) 352-2111,11/30/20
Alcohol and Other Drug Entity Facility,810180,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC",1402-A BROWNS LANE,LOUISVILLE,KY,40207,JEFFERSON,CENTER FOR BEHAVIORAL HEALTH KENTUCKY INC,MARY,MASSMAN,(502) 894-0234,12/31/19
Alcohol and Other Drug Entity Facility,810651,"CENTERSTONE OF KENTUCKY, INC",250 ALPINE DRIVE,SHELBYVILLE,KY,40065,SHELBY,"CENTERSTONE OF KENTUCKY, INC.",ANTHONY,ZIPPLE,(502) 589-8600,Pending Renewal
Alcohol and Other Drug Entity Facility,810475,CENTRAL KENTUCKY DUI AND COUNSELING,120 SOUTH MAIN STREET,WINCHESTER,KY,40391,CLARK,"MARIANNE WILLIAMS, LPCA",MARIANNE,WILLIAMS,(859) 744-8888,7/31/20
Alcohol and Other Drug Entity Facility,810496,CHANGED LIVES SUBSTANCE ABUSE COUNSELING LLC,149 DEWEESE STREET,LEXINGTON,KY,40507,FAYETTE,"CHANGED LIVES SUBSTANCE ABUSE COUNSELING, LLC",CHRISTOPHER,COX,(859) 368-4105,1/31/20
Alcohol and Other Drug Entity Facility,810405,"CHILDREN & FAMILY COUNSELING ASSOCIATES, INC",102 SOUTH MAIN STREET,HARRODSBURG,KY,40330,MERCER,"CHILDREN & FAMILY COUNSELING ASSOCIATES, INC.",SUSAN,CAMBELL TURNER,(859) 613-8178,8/31/20
Alcohol and Other Drug Entity Facility,810565,"CHOICES COUNSELING, PLLC","3934 DIXIE HWY, SUITE 330",LOUISVILLE,KY,40216,JEFFERSON,"CHOICES COUNSELING, PLLC",EVA,ARCHIE,(502) 409-4357,4/30/20
Alcohol and Other Drug Entity Facility,810173,"CHRYSALIS HOUSE, INC",1589 HILL RISE DRIVE,LEXINGTON,KY,40504,FAYETTE,"CHRYSALIS HOUSE, INC.",LISA,MINTON,(859) 977-2507,1/31/20
Alcohol and Other Drug Entity Facility,810245,"CINDY BAIRD GUIDANCE IN RECOVERY SERVICES, LLC",135 SOUTH MAIN STREET,GREENVILLE,KY,42345,MUHLENBERG,"CINDY BAIRD GUIDANCE IN RECOVERY SERVICES, LLC",CINDY,BAIRD,(270) 338-2280,1/31/20
Alcohol and Other Drug Entity Facility,810096,CLARK & CLARK,"1018 EAST NEW CIRCLE ROAD, SUITE 121",LEXINGTON,KY,40505,FAYETTE,JUDITH CLARK,JUDITH,CLARK,(859) 233-2225,3/31/20
Alcohol and Other Drug Entity Facility,810371,"CLEAR VISION COUNSELING, LLC",7160 DIXIE HIGHWAY,LOUISVILLE,KY,40258,JEFFERSON,"CLEAR VISION COUNSELING, LLC",DAN,MCDONALD,(502) 995-3350,9/30/20
Alcohol and Other Drug Entity Facility,810470,"COMMONWEALTH COUNSELING CENTERS, LLC",156 NORTH LAKE DRIVE,PRESTONSBURG,KY,41653,FLOYD,"COMMONWEALTH COUNSELING CENTERS, LLC",BENJAMIN,FERGUSON IV,(606) 506-5077,7/31/20
Alcohol and Other Drug Entity Facility,810095,COMMONWEALTH SUBSTANCE ABUSE SPECIALISTS,"7000 HOUSTON RD, BLDG 400, SUITE 43",FLORENCE,KY,41042,BOONE,COMMONWEALTH SUBSTANCE ABUSE SPECIALIST,MICHAEL,TONER,(859) 371-4455,3/31/20
Alcohol and Other Drug Entity Facility,810032,"COMMUNICARE, INC","1311 NORTH DIXIE AVENUE, BUILDING C",ELIZABETHTOWN,KY,42701,HARDIN,"COMMUNICARE, INC.",CHERYL,DANIELS,(270) 765-2605,1/31/20
Alcohol and Other Drug Entity Facility,810239,COMMUNITY COUNSELING CENTER,509 WEST 9TH STREET,HOPKINSVILLE,KY,42240,CHRISTIAN,"COMMUNITY COUNSELING CENTER, LLC",HOWARD,DIXON,(270) 886-1515,9/30/20
Alcohol and Other Drug Entity Facility,810193,"COMMUNITY RESOURCE CENTER, INC",1733 CAMPUS PLAZA COURT #15,BOWLING GREEN,KY,42101,WARREN,"KATHY MILLER & ASSOCIATES, INC.",KATHY,MILLER,(270) 842-4991,1/31/20
Alcohol and Other Drug Entity Facility,810372,COMMUNITY TRANSITIONAL SERVICES,1407 WEST JEFFERSON STREET,LOUISVILLE,KY,40203,JEFFERSON,"COMMUNITY TRANSITIONAL SERVICES, LLC",BARBARA,STRAHM,(502) 855-6500,9/30/20
Alcohol and Other Drug Entity Facility,810343,COMPASS COUNSELING,"730 FAIRVIEW AVENUE, SUITE B-2",BOWLING GREEN,KY,42101,WARREN,DANNA K. WALLACE - HOBBS,DANNA,WALLACE - HOBBS,(270) 904-0201,Pending Renewal
Alcohol and Other Drug Entity Facility,810036,"COMPREHEND, INC",611 FOREST AVENUE,MAYSVILLE,KY,41056,MASON,"COMPREHEND, INC., REGION VIII MH/MR BOARD, INC.",PAMELA,VAUGHT,(606) 564-4016,1/31/20
Alcohol and Other Drug Entity Facility,810574,COMPSERV HEALTH RESOURCES INC,101 NORTH 7TH STREET,LOUISVILLE,KY,40202,JEFFERSON,COMPSERV HEALTH RESOURCES INCORPORATED,LATONYA,NIANG,(502) 561-3464,8/31/20
Alcohol and Other Drug Entity Facility,810630,"CONNECT COUNSELING, LLC",8333 ALEXANDRIA PIKE,ALEXANDRIA,KY,41001,CAMPBELL,"CONNECT COUNSELING, LLC",DEIDRE,SCHUBERT,(859) 908-0498,5/31/20
Alcohol and Other Drug Entity Facility,810309,COUNSELING ASSOCIATES,"1320 EAST BROADWAY, SUITE D",CAMPBELLSVILLE,KY,42718,TAYLOR,JUDITH A. CURRY & REBECCA PRICE,JUDITH,CURRY,(270) 469-9069,1/31/20
Alcohol and Other Drug Entity Facility,810166,COUNSELING ASSOCIATION OF LEXINGTON,"274 SOUTHLAND DRIVE, SUITE 204",LEXINGTON,KY,40503,FAYETTE,"COUNSELING ASSOCIATION OF LEXINGTON, INC.",DANIEL,LEE,(859) 278-3456,4/30/20
Alcohol and Other Drug Entity Facility,810604,"COUNSELING CENTER OF KENTUCKY, LLC",1939 GOLDSMITH LANE SUITE 147,LOUISVILLE,KY,40218,JEFFERSON,ERIN D. JARRETT,ERIN,JARRETT,(502) 821-0091,Pending Renewal
Alcohol and Other Drug Entity Facility,810688,COUNSELING PARTNERS OF KENTUCKY,"200 BEVINS LANE, SUITE E",GEORGETOWN,KY,40324,SCOTT,"COUNSELING PARTNERS OF KENTUCKY, LLC",LESA,YOUNG,(859) 951-9777,6/30/20
Alcohol and Other Drug Entity Facility,810380,"COUNSELOR'S CLINICAL COTTAGE, PSC",937 29TH STREET,ASHLAND,KY,41101,BOYD,"COUNSELOR'S CLINICAL COTTAGE, PSC",JADE,MADDOX,(606) 329-0727,12/31/19
Alcohol and Other Drug Entity Facility,810551,COVINGTON TREATMENT CENTER,1450 MADISON AVENUE,COVINGTON,KY,41011,KENTON,"METRO TREATMENT OF KENTUCKY, LP",SOPHIA,SIPES,(859) 444-4499,12/31/20
Alcohol and Other Drug Entity Facility,810510,"CROSSROADS ADDICTION RECOVERY EFFORT, LLC",484 TOLLAGE CREEK ROAD,PIKEVILLE,KY,41501,PIKE,"CROSSROADS ADDICTION RECOVERY EFFORT, LLC",DESTINY,CONN,(606) 637-2273,6/30/20
Alcohol and Other Drug Entity Facility,810550,"CROSSROADS COUNSELING SERVICES, INC",1236 PARIS PIKE,GEORGETOWN,KY,40324,SCOTT,"CROSSROADS COUNSELING SERVICES, INC.",DAVID,WATERS,(502) 370-7229,12/31/19
Alcohol and Other Drug Entity Facility,810046,CUMBERLAND RIVER COMPREHENSIVE CARE,1203 AMERICAN GREETING ROAD,CORBIN,KY,40702,WHITLEY,"CUMBERLAND RIVER BEHAVIORAL HEALTH , INC.",DANNY,JONES,(606) 528-7010,1/31/20
Alcohol and Other Drug Entity Facility,810076,"DAVE HARMON AND ASSOCIATES, INC","4010 DUPONT CIRCLE, SUITE 226",LOUISVILLE,KY,40207,JEFFERSON,"DAVE HARMON & ASSOCIATES, INC",DAVE,HARMON,(502) 896-8006,3/31/20
Alcohol and Other Drug Entity Facility,810302,DAVIESS COUNTY DETENTION CENTER SUBSTANCE ABUSE PR,3337 HIGHWAY 144,OWENSBORO,KY,42303,DAVIESS,DAVIESS COUNTY,LINDA,WELCH,(270) 685-8466,10/31/20
Alcohol and Other Drug Entity Facility,810509,"DAVIESS TREATMENT SERVICES, LLC",3032 HWY 144,OWENSBORO,KY,42301,DAVIESS,"PINNACLE TREATMENT CENTERS, INC.",HOLLY,BROCE,(859) 613-3722,5/31/20
Alcohol and Other Drug Entity Facility,810677,"DEATON & DEATON COUNSELING & CONSULTING, LLC",215 MONTGOMERY AVENUE,GEORGETOWN,KY,40324,SCOTT,"DEATON & DEATON COUNSELING & CONSULTING, LLC",MARK,DEATON,(502) 830-7445,1/31/20
Alcohol and Other Drug Entity Facility,810231,DEBORAH SPICER LCSW CADC,111 NORTH MAIN STREET,CYNTHIANA,KY,41031,HARRISON,DEBORAH SPICER LCSW CADC,DEBORAH,SPICER,(859) 235-0800,2/29/20
Alcohol and Other Drug Entity Facility,810675,DENOVA,"236 EAST REYNOLDS ROAD, C2",LEXINGTON,KY,40517,FAYETTE,"LJKS, LLC",KAY,HUBBARD,(859) 309-2814,12/31/19
Alcohol and Other Drug Entity Facility,810023,DR WILLIAM H FULLER MEMORIAL SUBSTANCE ABUSE TX CE,1525 CUBA ROAD,MAYFIELD,KY,42066,GRAVES,FOUR RIVERS BEHAVIORAL HEALTH,TERRY,HUDSPETH,(270) 442-7121,1/31/20
Alcohol and Other Drug Entity Facility,810019,DUI CONSULTANTS,"3499 LANSDOWNE DRIVE, SUITE 101",LEXINGTON,KY,40517,FAYETTE,"DUI CONSULTANTS , LLC",LESLIE,ROARX,(859) 263-2700,12/31/20
Alcohol and Other Drug Entity Facility,810058,DUI PROGRAMS,306 NORTH MAIN STREET,WINCHESTER,KY,40391,CLARK,DUI PROGRAMS,LESLIE,ROARX,(859) 745-1512,2/29/20
Alcohol and Other Drug Entity Facility,810382,EAST KENTUCKY REHABILITATION CENTER,"290 EAST COURT STREET, SUITE 1",PRESTONSBURG,KY,41653,FLOYD,"EAST KENTUCKY REHABILITATION CENTER, LLC",DAVID,GEARHEART,(606) 263-4714,12/31/20
Alcohol and Other Drug Entity Facility,810062,EDUCATIONAL COUNSELING OF AMERICA,920 CLAY STREET,BOWLING GREEN,KY,42102,WARREN,EDUCATIONAL COUNSELING OF AMERICA,MARTA,HENSLEY,(270) 843-9130,2/29/20
Alcohol and Other Drug Entity Facility,810629,EMBRACE HOPE RECOVERY CENTER,1000 EAST JOHN ROWAN BLVD SUITE #107,BARDSTOWN,KY,40004,NELSON,"EMBRACE HOPE RECOVERY CENTER, LLC",CINDY,BALLARD,(502) 827-9797,7/31/20
Alcohol and Other Drug Entity Facility,810473,"EMERALD THERAPY CENTER, LLC",3227 COLEMAN ROAD,PADUCAH,KY,42001,MCCRACKEN,"EMERALD THERAPY CENTER, LLC",SHELLY,BAER,(270) 534-5128,9/30/20
Alcohol and Other Drug Entity Facility,810339,"ENSITE, LLC",611 BROADWAY STREET,PADUCAH,KY,42001,MCCRACKEN,"ENSITE, LLC",RANDALL,DURBIN,(270) 443-1201,11/30/19
Alcohol and Other Drug Entity Facility,810347,"ESTES BEHAVIORAL HEALTH, LLC",1210 4TH STREET,LEWISPORT,KY,42351,HANCOCK,"ESTES BEHAVIORAL HEALTH, LLC",JESSICA,ESTES,(270) 295-6450,12/31/19
Alcohol and Other Drug Entity Facility,810276,E-TOWN ADDICTION SOLUTIONS LLC,"2645 LEITCHFIELD ROAD, SUITE 104",ELIZABETHTOWN,KY,42701,HARDIN,"CENTER FOR BEHAVIORAL HEALTH KENTUCKY, INC.",MARY,MASSMAN,(270) 234-8180,7/31/20
Alcohol and Other Drug Entity Facility,810469,"EVERLASTING ARMS FAMILY COUNSELING CENTER, LLC",409 MILLERSTOWN STREET,CLARKSON,KY,42726,GRAYSON,"EVERLASTING ARMS FAMILY COUNSELING CENTER, LLC",PAMELA,RIGGS,(270) 234-6139,7/31/20
Alcohol and Other Drug Entity Facility,810672,"FAMILY CARE COUNSELING CENTER, LLC",215C BLUEGRASS ROAD,FRANKLIN,KY,42134,SIMPSON,"FAMILY CARE COUNSELING CENTER, LLC",MICKEY,LEWIS,(270) 253-3722,10/31/20
Alcohol and Other Drug Entity Facility,810000,"FAMILY OPTIONS, INC","108 ENSMINGER DRIVE, SUITE A",GLASGOW,KY,42141,BARREN,"FAMILY OPTIONS, INC",JOHN MARK,JENNINGS,(270) 659-0035,9/30/20
Alcohol and Other Drug Entity Facility,810474,"FATHER MALONEY'S BOYS HAVEN, INC",3630 DUTCHMAN'S LANE 2ND FLOOR,LOUISVILLE,KY,40205,JEFFERSON,"FATHER MALONEY'S BOYS' HAVEN, INC.",JOSH,SWETNAM,(502) 451-4701,4/30/20
Alcohol and Other Drug Entity Facility,810591,FAYETTE COUNTY COUNSELING & DUI SERVICES,"1500 LEESTOWN ROAD, SUITE 180",LEXINGTON,KY,40511,FAYETTE,"FAYETTE COUNTY COUNSELING & DUI SERVICES, LLC",CAROLE,HAMILTON,(859) 971-9710,9/30/20
Alcohol and Other Drug Entity Facility,810478,"FM HEALING CENTER, LLC","1042 CENTER DRIVE, SUITE 100",RICHMOND,KY,40475,MADISON,"FM HEALING CENTER, LLC",SARDAR,KHAN,(561) 779-2123,9/30/20
Alcohol and Other Drug Entity Facility,810061,FOUR RIVERS BEHAVIORAL HEALTH,"425 BROADWAY, SUITE 201",PADUCAH,KY,42001,MCCRACKEN,"WESTERN KY REGIONAL MH/MR BOARD, INC.",TERRY,HUDSPETH,(270) 442-1452,2/29/20
Alcohol and Other Drug Entity Facility,810482,FOUR RIVERS BEHAVIORAL HEALTH,985 US HWY 62,BARDWELL,KY,42023,CARLISLE,"WESTERN KY REGIONAL MH/MR BOARD, INC",TERRY,HUDSPETH,(270) 442-7121,Pending Renewal
Alcohol and Other Drug Entity Facility,810583,FRESH START EDUCATIONAL AND COUNSELING CENTER,4936 HAZELWOOD AVENUE,LOUISVILLE,KY,40214,JEFFERSON,"FRESH START EDUCATIONAL AND COUNSELING CENTER, INC",STEVEN,KELSEY,(502) 664-7405,8/31/20
Alcohol and Other Drug Entity Facility,810542,FULTON COUNTY DETENTION CENTER SUBSTANCE ABUSE PRO,2010 SOUTH 7TH STREET,HICKMAN,KY,42050,FULTON,FULTON COUNTY FISCAL COURT,KELLI,ELLIOTT,(270) 236-2405,10/31/20
Alcohol and Other Drug Entity Facility,810623,GAINES & ASSOCIATES COUNSELING OF THE COMMONWEALTH,950 RED HOUSE ROAD,RICHMOND,KY,40475,MADISON,GAINES & ASSOCIATES OF THE COMMONWEALTH,TONI,GAINES,(859) 582-2301,4/30/20
Alcohol and Other Drug Entity Facility,810500,GATEWAY CHILDREN'S SERVICES,37 NORTH MAYSVILLE STREET,MOUNT STERLING,KY,40353,MONTGOMERY,"GATEWAY JUVENILE DIVERSION PROJECT, INC.",JOSEPH,GOMES,(859) 498-9892,4/30/20
