"FACILTY
TYPE","FACILITY
ID",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,TELEPHONE,ADM FIRST,ADM LAST,"LICENSE
EXPIRATION"
ADULT DAY HEALTH,750064,ACTIVE DAY OF GEORGETOWN,"198 BEVINS ROAD, SUITE E",GEORGETOWN,KY,40324,SCOTT,"ACSR, INC.",(502) 863-7900,CAROLE,LANCTO,12/31/19
ADULT DAY HEALTH,750090,ACTIVE DAY OF HOPKINSVILLE,921 N. MAIN STREET,HOPKINSVILLE,KY,42240,CHRISTIAN,"ASCR, INC.",(270) 886-3656,JODI,OLIVER,5/31/20
ADULT DAY HEALTH,750063,ACTIVE DAY OF LEXINGTON,191 WEST LOWRY LANE,LEXINGTON,KY,40503,FAYETTE,"ACTIVE DAY KENTUCKY, INC.",(859) 278-2053,REBECCA,CRUMP,7/31/20
ADULT DAY HEALTH,750059,ACTIVE DAY OF LOUISVILLE HIKES POINT,3403 BRECKINRIDGE LANE,LOUISVILLE,KY,40220,JEFFERSON,"ACTIVE DAY OF KENTUCKY, INC.",(502) 491-3302,ELISIA,GNAGIE,5/31/20
ADULT DAY HEALTH,750039,ACTIVE DAY OF OWENSBORO,4598 LUCKY STRIKE LOOP,OWENSBORO,KY,42301,DAVIESS,"ACTIVE DAY KENTUCKY, INC.",(270) 683-6127,KIM,SHORT,6/30/20
ADULT DAY HEALTH,750027,ACTIVE DAY OF PADUCAH,2005 BROADWAY,PADUCAH,KY,42001,MCCRACKEN,"ACSR, INC.",(270) 442-7604,STACEY,BERTRAND,12/31/19
ADULT DAY HEALTH,750053,ACTIVE DAY OF RICHMOND,"928 COMMERCIAL DRIVE, SUITE 2",RICHMOND,KY,40475,MADISON,"ACSR, INC.",(859) 625-9977,JEANNICE,LEDFORD,10/31/20
ADULT DAY HEALTH,750049,ACTIVE DAY OF RUSSELL SPRINGS,552 STEVE DRIVE,RUSSELL SPRINGS,KY,42642,RUSSELL,"ACSR, INC.",(270) 866-4877,LISA,CURTIS,7/31/20
ADULT DAY HEALTH,750101,ACTIVE DAY OF RUSSELLVILLE,3239 LEWISBURG ROAD,RUSSELLVILLE,KY,42276,LOGAN,"ACSR, INC.",(270) 726-2100,JACKIE,HUBBS,9/30/20
ADULT DAY HEALTH,750043,ACTIVE DAY OF SOMERSET,20 OAK HILL ROAD,SOMERSET,KY,42503,PULASKI,"ACSR, INC.",(606) 678-8566,MARY,OAKLEY,5/31/20
ADULT DAY HEALTH,750087,ACTIVE DAY OF WATTERSON PARK,"1920 GOLDSMITH LANE, SUITE 100",LOUISVILLE,KY,40218,JEFFERSON,"ACTIVE DAY KENTUCKY, INC.",(502) 366-5777,KIMBERLY,REISZ,4/30/20
ADULT DAY HEALTH,750032,ADAIR FRIENDS AND NEIGHBORS ADULT DAY HEALTH CENTE,127 NORTH REED STREET,COLUMBIA,KY,42728,ADAIR,"WILKERSON CONSULTING, PSC",(270) 384-5351,DENNIS,LOY,1/31/20
ADULT DAY HEALTH,750203,ADULT DAY OF THE BLUEGRASS,643 TETON TRAIL,FRANKFORT,KY,40621,FRANKLIN,"HOSPICE OF THE BLUEGRASS, INC.",(502) 223-1744,LINDSAY,KAMPFER,5/31/20
ADULT DAY HEALTH,750204,"AFTON COMMUNITY DAY, INC",3743 RED RIVER DRIVE,LEXINGTON,KY,40517,FAYETTE,"FREEDOM HEALTHCARE CLUB & HOMECARE NETWORK, LLC",(859) 619-9721,TIKA,ADHIKARI,11/30/20
ADULT DAY HEALTH,750103,ALTERNATIVE ADULT DAY HEALTH CARE CENTER,147 WILMA AVENUE,LOUISVILLE,KY,40229,JEFFERSON,"ALTERNATIVE ADULT DAY HEALTH CARE CENTER, INC.",(502) 955-1750,LEAH,SMITH,Pending Renewal
ADULT DAY HEALTH,750075,ANDERSON ADULT DAY HEALTH PROG,160 TOWNSHIP SQUARE,LAWRENCEBURG,KY,40342,ANDERSON,"BLUEGRASS COMMUNITY ACTION PARTNERSHIP, INC.",(502) 839-3749,JENNETT,COULTER,7/31/20
ADULT DAY HEALTH,750066,"ANNVILLE, KY ADULT DAY CARE, LLC",68 HIGHWAY 3444,ANNVILLE,KY,40402,JACKSON,"ANNVILLE, KY ADULT HEALTH CARE, LLC",(606) 364-5197,JUDY,CAMERON,4/30/20
ADULT DAY HEALTH,750010,BARREN RIVER ADULT DAY CARE CENTER,800 PARK STREET,BOWLING GREEN,KY,42101,WARREN,CITY OF BOWLING GREEN,(270) 796-5555,STEVE,CREEKMORE,9/30/20
ADULT DAY HEALTH,750175,BEN'S PLACE ADULT DAY HEALTH CARE,1395 US HWY 60 W,MORGANFIELD,KY,42437,UNION,"E. A. RESOURCES, INC.",(270) 389-2424,MARY JO,ADAMS,4/30/20
ADULT DAY HEALTH,750186,BEST FRIENDS DAY CARE,5220 GREY OAK LANE,NICHOLASVILLE,KY,40356,JESSAMINE,"CHRISTIAN CARE COMMUNITIES, INC.",(859) 258-2226,KARA,BALL,1/31/20
ADULT DAY HEALTH,750093,CARDINAL HILL ADULT DAY HEALTH,2050 VERSAILLES ROAD,LEXINGTON,KY,40504,FAYETTE,"KENTUCKY EASTER SEAL SOCIETY, INC.",(859) 367-7178,ELIZABETH,FAULKNER,7/31/20
ADULT DAY HEALTH,750188,"CHRISTIAN CARE COMMUNITIES, INC",101 NORTH DRIVE,HOPKINSVILLE,KY,42240,CHRISTIAN,"CHRISTIAN CARE COMMUNITIES, INC",(502) 254-4200,CAROL,BRITT,5/31/20
ADULT DAY HEALTH,750164,COMMUNITY SERVICES OF NORTHERN KENTUCKY,31 SPIRAL DRIVE,FLORENCE,KY,41042,BOONE,"COMMUNITY SERVICES OF NORTHERN KENTUCKY, INC.",(859) 525-1128,LISA,WEST,11/30/20
ADULT DAY HEALTH,750047,COMPASSIONATE CARE ADULT DAY CARE,1600 BRECKENRIDGE STREET,OWENSBORO,KY,42303,DAVIESS,GREEN RIVER DISTRICT HEALTH DEPARTMENT,(270) 852-2900,JESSICA,WEST,5/31/20
ADULT DAY HEALTH,750071,COMPASSIONATE HEARTS ADULT HEALTHCARE,149 REDBUD LANE,HAZARD,KY,41701,PERRY,"LKLP COMMUNITY ACTION COUNCIL, INC.",(606) 436-8700,SANDRA,BOWLING,5/31/20
ADULT DAY HEALTH,750055,DANVILLE - BOYLE COUNTY SENIOR ADULTS,569 JEAN DRIVE,DANVILLE,KY,40422,BOYLE,"DANVILLE-BOYLE CO. SENIOR CENTER, INC.",(859) 236-2070,BEN,GUERRANT,2/29/20
ADULT DAY HEALTH,750197,DUNBAR INTERGENERATIONAL CENTER ADULT DAY HEALTH,255 SOUTH MAPLE STREET,SOMERSET,KY,42501,PULASKI,"LAKE CUMBERLAND COMMUNITY ACTION AGENCY, INC.",(606) 802-2382,CRYSTAL,DILLINGHAM,3/31/20
ADULT DAY HEALTH,750088,EASTER SEALS ADULT DAY CARE,2229 MILDRED STREET,PADUCAH,KY,42001,MCCRACKEN,"EASTER SEALS WEST KENTUCKY, INC.",(270) 442-2001,DANNY,CARROLL,4/30/20
ADULT DAY HEALTH,750060,EDGEWOOD ESTATES,195 BERRYMAN ROAD,FRENCHBURG,KY,40322,MENIFEE,MENIFEE COUNTY NURSING HOME CORPORATION,(606) 768-9001,CYNTHIA,CLIFFORD,4/30/20
ADULT DAY HEALTH,750118,ELDERCLUB AT OAK AND ACORN,631 SOUTH 28TH STREET,LOUISVILLE,KY,40211,JEFFERSON,"ELDERSERVE, INC.",(502) 776-3066,TRACY,GOODMAN,4/30/20
ADULT DAY HEALTH,750200,"ENCORE ADHC, LLC","2432 REGENCY ROAD, SUITE 200",LEXINGTON,KY,40503,FAYETTE,"ENCORE ADHC, LLC",(859) 286-9903,INNA,FRIMERMAN,6/30/20
ADULT DAY HEALTH,750110,"ETA DAYCARE CENTER, LLC",724 WEST BRECKINRIDGE STREET,LOUISVILLE,KY,40201,JEFFERSON,"ETA DAY CARE CENTER, LLC",(502) 290-1585,ROSE,WALTON,2/29/20
ADULT DAY HEALTH,750061,FERN CREEK/HIGHVIEW UNITED MINISTRIES ADULT DAY CE,9300 BEULAH CHURCH ROAD,LOUISVILLE,KY,40291,JEFFERSON,"FERN CREEK/HIGHVIEW UNITED MINISTRIES, INC.",(502) 762-9608,STEPHANIE,HODGE,5/31/20
ADULT DAY HEALTH,750201,FREEDOM ADULT DAY HEALTHCARE,4511 BARDSTOWN ROAD,LOUISVILLE,KY,40218,JEFFERSON,"FREEDOM SENIOR SHARE, LLC",(502) 214-3210,DONNA,ROGERS,7/31/20
ADULT DAY HEALTH,750070,FRIENDS AND COMPANIONS,125 ENTERPRISE LANE,LONDON,KY,40741,LAUREL,"FRIENDS AND COMPANIONS, LLC",(606) 877-3357,KAYE,PINNEGAR,5/31/20
ADULT DAY HEALTH,750143,"FRIENDS AND COMPANIONS, LLC",2101 SOUTH MAIN STREET,CORBIN,KY,40701,WHITLEY,"FRIENDS & COMPANIONS, LLC",(606) 526-5913,KAYE,PINNEGAR,4/30/20
ADULT DAY HEALTH,750170,"FRIENDS AND COMPANIONS, LLC","1957 US HIGHWAY 25E, SUITE A",BARBOURVILLE,KY,40906,KNOX,"FRIENDS AND COMPANIONS, LLC",(606) 546-7612,KAYE,PINNEGAR,3/31/20
ADULT DAY HEALTH,750091,GARRARD ADULT DAY PROGRAM,153 FARRA DRIVE,LANCASTER,KY,40444,GARRARD,"BLUEGRASS COMMUNITY ACTION PARTNERSHIP, INC.",(859) 792-6603,BRITTANY,WASH,4/30/20
ADULT DAY HEALTH,750185,GATHERING CLUB,4940 HAZELWOOD AVENUE,LOUISVILLE,KY,40214,JEFFERSON,"RK ADC, LLC",(502) 365-2586,ANDREA,GHOORAY,8/31/20
ADULT DAY HEALTH,750166,GENERATIONS ADULT DAY SERVICES,225 WEST WATER STREET,MAYFIELD,KY,42066,GRAVES,"GENERATIONS OF KENTUCKY, INC.",(270) 247-1311,MAUREEN,PLATT-RUSSELL,4/30/20
ADULT DAY HEALTH,750169,GOLDEN YEARS ADULT DAY HEALTH CENTER,770 INDUSTRIAL DRIVE,EDMONTON,KY,42129,METCALFE,"GOLDEN YEARS ADULT DAY CARE, INC.",(270) 432-2044,LISA,GEARLDS,12/31/19
ADULT DAY HEALTH,750189,GRACE PLACE ADULT DAY CENTER,"743 ALLENDALE DRIVE, SUITE B",LEXINGTON,KY,40509,FAYETTE,"GRACE PLACE ADULT DAY CENTER, LLC",(859) 539-2147,DG,GRIDLEY,6/30/20
ADULT DAY HEALTH,750054,HAPPY HOUSE ADULT DAY SERVICES CENTER,92 ARCHER PARK DRIVE,PRESTONSBURG,KY,41653,FLOYD,"HAPPY HOUSE ADULT DAY SERVICES CENTER, INC.",(606) 886-0265,DANA,CAUDILL,2/29/20
ADULT DAY HEALTH,750042,HARRISON COUNTY ELDERCARE,216 OLD LAIR ROAD,CYNTHIANA,KY,41031,HARRISON,"HARRISON COUNTY COMMISSION ON AGING, INC.",(859) 234-8110,ROBIN,FLORENCE,4/30/20
ADULT DAY HEALTH,750183,HEARTSONG ADULT DAY CARE,"9300 STONESTREET ROAD, SUITE 700",LOUISVILLE,KY,40272,JEFFERSON,"TIGER LILY, LLC",(502) 935-3300,SHEILA,CARTER,12/31/19
ADULT DAY HEALTH,750159,HORIZON ADULT HEALTH,"CUMBERLAND MALL 965, SOUTH HWY 25-W, SUITE #5",WILLIAMSBURG,KY,40769,WHITLEY,"AMERICAN HEALTH MANAGEMENT, INC.",(606) 539-9522,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750182,HORIZON ADULT HEALTH CARE,960 SOUTH FOURTH STREET,LOUISVILLE,KY,40203,JEFFERSON,"AMERICAN HEALTH MANAGEMENT, INC.",(502) 815-6465,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750162,HORIZON ADULT HEALTH CARE,"5008 ATWOOD DRIVE, SUITE 1-3",RICHMOND,KY,40475,MADISON,"AMERICAN HEALTH MANAGEMENT, INC.",(859) 626-5226,MELINDA,BURCHETT,2/29/20
ADULT DAY HEALTH,750096,HORIZON ADULT HEALTH CARE,939 WEST COLUMBIA AVENUE,MONTICELLO,KY,42633,WAYNE,"HORIZON ADULT HEALTH CARE, LLC",(606) 340-0001,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750161,HORIZON ADULT HEALTH CARE,"1032 MCCAMMON RIDGE RD, P O BOX 1419",MC KEE,KY,40447,JACKSON,"AMERICAN HEALTH MANAGEMENT, INC.",(859) 287-8983,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750163,HORIZON ADULT HEALTH CARE,178 BROADWAY STREET,IRVINE,KY,40336,ESTILL,"AMERICAN HEALTH MANAGEMENT, INC.",(859) 623-4080,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750160,HORIZON ADULT HEALTH CARE - CLAY,110 CLAY COUNTY SHOPPING CENTER,MANCHESTER,KY,40962,CLAY,"AMERICAN HEALTH MANAGEMENT, INC.",(859) 623-4080,MELINDA,BURCHETT,6/30/20
ADULT DAY HEALTH,750107,HORIZON ADULT HEALTH CARE CENTER - BELL,10599 US HIGHWAY 25 E,PINEVILLE,KY,40977,BELL,"AMERICAN HEALTH MANAGEMENT, INC.",(606) 387-3376,MELINDA,BURCHETT,1/31/20
ADULT DAY HEALTH,750084,HORIZON ADULT HEALTH CARE CENTER - CLINTON,108 FOOTHILLS AVENUE,ALBANY,KY,42602,CLINTON,"HORIZON ADULT HEALTH CARE, LLC",(606) 387-4616,MELINDA,BURCHETT,12/1/19
ADULT DAY HEALTH,750134,HORIZON ADULT HEALTH CARE CENTER - HARLAN,106 RAILROAD STREET,HARLAN,KY,40831,HARLAN,"HORIZON ADULT HEALTH CARE, LLC",(606) 305-3028,MELINDA,BURCHETT,2/29/20
ADULT DAY HEALTH,750145,HORIZON ADULT HEALTH CARE CENTER - MCCREARY,"57 OAKS LANE, SUITES 11 - 15",WHITLEY CITY,KY,42653,MCCREARY,"AMERICAN HEALTH MANAGEMENT, INC.",(859) 623-4080,MELINDA,BURCHETT,10/31/20
ADULT DAY HEALTH,750077,JESSAMINE ADULT DAY HEALTH PRO,111 HOOVER DRIVE,NICHOLASVILLE,KY,40356,JESSAMINE,"BLUE GRASS COMMUNITY ACTION PARTNERSHIP, INC.",(859) 887-2208,RITA,WASH,8/31/20
ADULT DAY HEALTH,750139,JOSEPH ALLEN ADULT DAY HEALTH,2000 SOUTH MAIN STREET,PARIS,KY,40361,BOURBON,"BOURBON HEIGHTS, INC.",(859) 987-5750,CHARLOTTE,ROBERTS,3/31/20
ADULT DAY HEALTH,750150,JUST FAMILY CENTER - BARREN,102 HIPPOCRATES WAY,GLASGOW,KY,42141,BARREN,"ADULT DAY HEALTH, INC.",(270) 651-1244,KEONA,JOHNSON,6/30/20
ADULT DAY HEALTH,750098,JUST FAMILY CENTER - BELL,517 B NORTH 15TH STREET,MIDDLESBORO,KY,40965,BELL,"ADULT DAY HEALTH, INC.",(606) 248-1938,LINDSEY,REDMON,6/30/20
ADULT DAY HEALTH,750156,JUST FAMILY CENTER - BULLITT,127 LEES VALLEY ROAD,SHEPHERDSVILLE,KY,40165,BULLITT,"ADULT DAY HEALTH, INC.",(502) 543-1265,JULIE,WILSON,4/30/20
ADULT DAY HEALTH,750102,JUST FAMILY CENTER - CASEY,39 KY HIGHWAY 49,LIBERTY,KY,42539,CASEY,"ADULT DAY HEALTH, INC.",(606) 787-0488,MARY,CARTER,9/30/20
ADULT DAY HEALTH,750099,JUST FAMILY CENTER - CUMBERLAND,325 KEEN STREET,BURKESVILLE,KY,42717,CUMBERLAND,"ADULT DAY HEALTH, INC.",(270) 864-3481,CANDACE,GRIDER,6/30/20
ADULT DAY HEALTH,750126,JUST FAMILY CENTER - GREEN,"101 INDUSTRIAL PARK ROAD, SUITE 2",GREENSBURG,KY,42743,GREEN,"ADULT DAY HEALTH, INC.",(270) 932-9630,KEISHA,COFFEY,6/30/20
ADULT DAY HEALTH,750155,JUST FAMILY CENTER - LINCOLN,619 DANVILLE AVENUE,STANFORD,KY,40484,LINCOLN,"ADULT DAY HEALTH, INC.",(606) 365-3773,JENIFER,BROWN,2/29/20
ADULT DAY HEALTH,750065,JUST FAMILY CENTER - MCCREARY,3064 NORTH HIGHWAY 1651,WHITLEY CITY,KY,42653,MCCREARY,"ADULT DAY HEALTH, INC.",(606) 376-4466,DEBBIE,TUCKER,3/31/20
ADULT DAY HEALTH,750135,JUST FAMILY CENTER - PULASKI,35 TURPEN COURT,SOMERSET,KY,42503,PULASKI,"ADULT DAY HEALTH, INC.",(606) 677-2972,JAMIE,TILLER,2/29/20
ADULT DAY HEALTH,750094,"KALEIDOSCOPE, INC",10330 BUNSEN WAY,LOUISVILLE,KY,40299,JEFFERSON,"KALEIDOSCOPE, INC.",(502) 495-1662,TRACY,RUTH,9/30/20
ADULT DAY HEALTH,750202,MAGOFFIN DAY SERVICES (MOUNTAIN COMPREHENSIVE CARE,525 DOTSON BRANCH,SALYERSVILLE,KY,41465,MAGOFFIN,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",(606) 349-6136,KIM,HENDERSON,10/31/20
ADULT DAY HEALTH,750034,MARIPOSA PLACE,1520 BAXTER AVENUE,LOUISVILLE,KY,40205,JEFFERSON,"THE PRINCECARE GROUP, INC.",(502) 896-8147,KARAN,VERTREES-BRITT,10/31/20
ADULT DAY HEALTH,750082,MCROBERTS ADULT DAY CARE,3198 HIGHWAY 343,MC ROBERTS,KY,41835,LETCHER,"MOUNTAIN OUTREACH, INC.",(606) 832-9026,SHELBY,HALL,11/30/20
ADULT DAY HEALTH,750168,MERCER ADULT DAY HEALTH PROGRAM,1475 LOUISVILLE ROAD,HARRODSBURG,KY,40330,MERCER,BLUE GRASS COMMUNITY ACTION PARTNERSHIP,(859) 734-5187,LYNNE,TAYLOR,3/31/20
ADULT DAY HEALTH,750131,MONROE COUNTY MEDICAL CENTER,417 CAPP HARLAN ROAD,TOMPKINSVILLE,KY,42167,MONROE,"MONROE MEDICAL FOUNDATION, INC.",(270) 487-2015,TAMMY,WOOD,8/31/20
ADULT DAY HEALTH,750105,POWELL COUNTY ADULT DAY CENTER,176 12TH STREET,CLAY CITY,KY,40312,POWELL,FOOTHILLS COMMUNITY ACTION PARTNERSHIP,(606) 663-0794,KRISTINA,WILLIAMS,10/31/20
ADULT DAY HEALTH,750078,REDWOOD REHABILITATION CENTER,71 ORPHANAGE ROAD,FT MITCHELL,KY,41017,KENTON,"REDWOOD SCHOOL AND REHABILITATION CENTER, INC.",(859) 331-0880,JOHN,FRANCIS,8/31/20
ADULT DAY HEALTH,750080,ROCKCASTLE COUNTY DAY HEALTH CARE CENTER,1260 SOUTH WILDERNESS ROAD,MOUNT VERNON,KY,40456,ROCKCASTLE,"ROCKCASTLE COUNTY SENIOR CITIZENS, INC.",(606) 256-9831,BRENDA,CABLE,10/31/20
ADULT DAY HEALTH,750111,"SHUFFETT'S ADULT DAY CARE, INC",104 HILL STREET,EDMONTON,KY,42129,METCALFE,"SHUFFETT'S ADULT DAY CARE, INC.",(270) 432-3851,ROBERT,SHUFFETT,2/29/20
ADULT DAY HEALTH,750124,SOUTHWEST YMCA ADULT DAY HEALTH CARE CENTER,2800 FORDHAVEN ROAD,LOUISVILLE,KY,40214,JEFFERSON,"HERITAGE HOME AND DAY HEALTHCARE, LLC",(502) 214-3210,MARY,STANTON,6/30/20
ADULT DAY HEALTH,750018,ST CHARLES CARE CENTER,610 FARRELL DRIVE,COVINGTON,KY,41011,KENTON,"ST. CHARLES CARE CENTER, INC.",(859) 331-3224,KAREN,SMITH,2/29/20
ADULT DAY HEALTH,750198,SUGAR CAMP HOUSE,157 KENTUCKY HIGHWAY 3346,BOONEVILLE,KY,41314,OWSLEY,"SUGAR CAMP HOUSE, INC.",(606) 593-6405,PAUL,NEELEY,10/31/20
ADULT DAY HEALTH,750086,SUNRISE MANOR ADULT DAY HEALTH,80 PHILLIPS LANE,HODGENVILLE,KY,42748,LARUE,"LP HODGENVILLE, LLC",(270) 358-3103,KEVIN,BANDUR,12/31/19
ADULT DAY HEALTH,750108,THE CLUBHOUSE ADULT DAY CARE CENTER,208 MEMORY DRIVE,FALMOUTH,KY,41040,PENDLETON,"NORTHERN KENTUCKY LIVING CENTERS, LLC",(859) 954-8280,HEATH,CULBERSON,1/31/20
ADULT DAY HEALTH,750187,THE MARION HOUSE ADULT HEALTH CARE,135 EAST MARTIN LUTHER KING AVENUE,LEBANON,KY,40033,MARION,"MMHH, LLC",(270) 692-3811,MELANIE,MCCLOUD,11/30/20
ADULT DAY HEALTH,750128,THE OLE HOMEPLACE ADULT DAY HEALTH,306 CAMPBELLSVILLE STREET,COLUMBIA,KY,42728,ADAIR,"MCCLOUD, INC.",(270) 384-0560,MELANIE,MCCLOUD,6/30/20
ADULT DAY HEALTH,750172,THE OLE HOMEPLACE ADULT DAY HEALTH CARE CENTER-HAR,195 OLD MAIN STREET,MUNFORDVILLE,KY,42765,HART,"MCCLOUD, INC.",(270) 524-2001,MELANIE,MCCLOUD,8/31/20
ADULT DAY HEALTH,750191,THE OLE HOMEPLACE ADULT DAY HEALTH CARE OF TAYLOR,59 JOE KERR ROAD,CAMPBELLSVILLE,KY,42718,TAYLOR,"MCCLOUD, INC",(270) 469-3612,MELANIE,MCCLOUD,12/31/19
ADULT DAY HEALTH,750190,"TRI-COUNTY COMMUNITY ACTION AGENCY, INC",1015 DISPATCHERS WAY,LA GRANGE,KY,40031,OLDHAM,"TRI-COUNTY COMMUNITY ACTION AGENCY, INC",(502) 222-1349,BRENDA,FOX,11/30/20
ADULT DAY HEALTH,750157,WAYNE STEWART ADULT HEALTH CARE,439 JERRI LANE,MOUNT VERNON,KY,40456,ROCKCASTLE,AMERICAN HEALTH MANAGEMENT,(606) 256-0595,MELINDA,BURCHETT,11/30/20
ADULT DAY HEALTH,750016,WINDSOR ADULT DAY CARE CENTER,125 STERLING WAY,MOUNT STERLING,KY,40353,MONTGOMERY,"REGENCY CARE OF MT. STERLING, LLC",(859) 498-3343,REBECCA,COOLEY,11/30/19
ADULT DAY HEALTH,750076,WOODFORD ADULT DAY HEALTH PROGRAM,285 BEASLEY DRIVE,VERSAILLES,KY,40383,WOODFORD,"BLUEGRASS COMMUNITY ACTION PARTNERSHIP, INC.",(859) 873-6871,BOBBIE,COMBS,8/31/20
AF ABORTION FACILITIES,300200,"EMW WOMEN'S SURGICAL CENTER, PSC",136 WEST MARKET STREET,LOUISVILLE,KY,40202,JEFFERSON,"EMW WOMEN'S SURGICAL CENTER, PSC",(502) 585-5325,ANNE,AHOLA,5/31/20
AMBULATORY SURGICAL CENTER,300098,AMBULATORY SURGERY CENTER,2831 LONE OAK ROAD,PADUCAH,KY,42003,MCCRACKEN,"AMBULATORY SURGERY CENTER, LLC",(270) 554-8373,LAXMAIAH,MANCHIKANTI,11/30/20
AMBULATORY SURGICAL CENTER,300204,BAPTIST EASTPOINT AMBULATORY SURGERY CENTER,2400 EASTPOINT PARKWAY,LOUISVILLE,KY,40223,JEFFERSON,"BAPTIST EASTPOINT SURGERY CENTER, LLC",(502) 210-4860,CAROLYN,ORBELL,3/31/20
AMBULATORY SURGICAL CENTER,300073,BAPTIST HEALTH CUMBERLAND VALLEY SURGICAL CENTER,275 HIGHWAY 770,CORBIN,KY,40701,WHITLEY,"CUMBERLAND VALLEY SURGICAL CENTER, LLC",(606) 526-7874,KIM,TURNER,2/29/20
AMBULATORY SURGICAL CENTER,300145,"BAPTIST-PHYSICIANS' SURGERY CENTER, LLC",1720 NICHOLASVILLE ROAD SUITE 101,LEXINGTON,KY,40503,FAYETTE,"BAPTIST PHYSICIANS' SURGERY CENTER, LLC",(859) 260-7000,EVAN,LONG,6/30/20
AMBULATORY SURGICAL CENTER,300237,"BLUEGRASS ORTHOPAEDICS SURGICAL DIVISION, LLC",3480 YORKSHIRE MEDICAL PARK,LEXINGTON,KY,40509,FAYETTE,"BLUEGRASS ORTHOPAEDICS SURGICAL DIVISION, LLC",(859) 514-0260,LAURA,OTTE,5/31/20
AMBULATORY SURGICAL CENTER,300133,BLUEGRASS SURGERY & LASER CENTER,"1400 POPLAR LEVEL ROAD, SUITE 1",LOUISVILLE,KY,40217,JEFFERSON,KILLER BEES LLC,(502) 452-9567,DONNA,FOGARTY,9/30/20
AMBULATORY SURGICAL CENTER,300097,"CENTER FOR SURGICAL CARE,THE",7575 US 42,FLORENCE,KY,41042,BOONE,"HEAD & NECK SURGERY ASSOCIATES, PSC",(859) 283-6050,JENNY,BRALLIER,12/31/19
AMBULATORY SURGICAL CENTER,300137,(D) COMMONWEALTH EYE SURGICENTER,2353 ALEXANDRIA DRIVE,LEXINGTON,KY,40504,FAYETTE,"COMMONWEALTH EYE CLINIC, INC.",(859) 219-1188,JENNY,LACKEY,5/31/20
AMBULATORY SURGICAL CENTER,300284,CSGA SURGERY CENTER,2620 WILHITE DRIVE,LEXINGTON,KY,40503,FAYETTE,COLORECTAL SURGICAL AND GASTROENTEROLOGY ASSOCIATE,(859) 278-0185,KATHY,BETHEL,2/29/20
