LICENSE #,NAME,ADDRESS,CITY,ZIP,COUNTY,OPERATOR NAME,,OWNER,PHONE,DEEMED,LIC TYPE,Acute,"Acute
Rehabilitation","Critical
Access*","Chemical
Dependency",FSED,"Psychiatric
General","Psychiatric
Geriatric (65 +)","Psychiatric
Adult (18-64)","Psychiatric
Adolescent (13-17)","Psychiatric
Child (12 & under)",Tuberculosis,Rehabilitation,Licensed,Swing,"LICENSE
EXPIRATION",
100592,Encompass Health Rehabilitation Hospital of Northern Kentucky,201 Medical Village Drive,Edgewood,41017,Kenton,Jeremy,Yates,"HealthSouth Northern Kentucky Rehabilitation Hospital, LLC",859-341-2044,Y,REHAB,,,,,,,,,,,,51,51,N,9/30/20,
600066,Ephraim McDowell Fort Logan Hospital,110 Metker Trail,Stanford,40484,Lincoln,Daniel,McKay,"Emhfl, Inc.",606-365-4788,Y,CAH,,,25,,,,,,,,,,25,Y,10/31/20,
100034,Ephraim Mcdowell Reg Medical Center,217 South Third Street,Danville,40422,Boyle,Daniel,McKay,Ephraim Mcdowell Regional Med Ctr Inc,859-239-2409,Y,ACUTE,159,,,,,38,,,,,,,197,Y,3/31/20,
100348,Flaget Memorial Hospital ,4305 New Shepherdsville Road,Bardstown,40004,Nelson,Jennifer,Nolan,"Flaget Health, Inc.",502-350-5000,Y,ACUTE,40,,,,,,,,,,,,40,N,4/30/20,
100123,Fleming County Hospital,55 Foundation Drive,Flemingsburg,41041,Fleming,Brian ,Springate,"Fleming Medical Center, LLC",606-849-2351,Y,ACUTE,52,,,,,,,,,,,,52,N,8/31/20,
100130,Frankfort Regional Medical Center,299 Kings Daughters Drive,Frankfort,40601,Franklin,Chip,Peal,Frankfort Hospital Inc,502-875-5240,Y,ACUTE,161,,,,,,12,,,,,,173,N,12/31/19,
100244,Frazier Rehab Institute,220 Abraham Flexner Way,Louisville,40202,Jefferson,Cathy,Spalding,"Jewish Hospital & St. Mary's Healthcare, Inc.",502-407-3242,Y,REHAB,,,,,,,,,,,,135,135,N,11/30/19,
100928,Gateway Rehabilitation Hospital ,5940 Merchant Street,Florence,41042,Boone,Frank,Schneider,Vibra Rehabilitation Hospital of Florence LLC,859-426-2400,Y,REHAB,,,,,,,,,,,,40,40,N,12/31/19,
100380,Georgetown Community Hospital,1140 Lexington Road,Georgetown,40324,Scott,William,Haugh,"Georgetown Community, Llc",502-868-1100,Y,ACUTE,75,,,,,,,,,,,,75,Y,3/31/20,
100160,Hardin Memorial Hospital,913 N Dixie Avenue,Elizabethtown,42701,Hardin,Rhonda,Joyce,"Hardin County, Kentucky",270-737-1212,Y,ACUTE,270,,,,,,,15,,,,,285,N,11/30/20,
100163,Harlan ARH Hospital,81 Ball Park Road,Harlan,40831,Harlan,Donald,Fields,Appalachian Regional Healthcare Inc,606-573-8100,Y,ACUTE,120,,,,,30,,,,,,,150,N,10/31/20,
100167,Harrison Memorial Hospital,1210 Kentucky Highway 36 East,Cynthiana,41031,Harrison,Sheila,Currans,Harrison Memorial Hospital Inc,859-234-2300,Y,ACUTE,61,,,,,,,,,,,,61,Y,10/31/20,
100365,Hazard ARH Regional Medical Center,100 Medical Center Drive,Hazard,41701,Perry,Dan,Stone,Appalachian Regional Healthcare Inc,606-439-6600,Y,ACUTE,238,,,,,100,,,,,,20,358,N,5/31/20,
100124,Highlands Regional Medical Center,5000 Kentucky Route 321,Prestonsburg,41653,Floyd,Harold,Warman,Highlands Hospital Corporation,606-886-8511,Y,ACUTE,151,,,,,,11,12,,,,,174,Y,1/31/20,
100143,Jackson Purchase Medical Center,1099 Medical Center Circle,Mayfield,42066,Graves,Dave,Anderson,"Pinelake Regional Hospital, Llc",270-251-4585,Y,ACUTE,95,,,,,12,,,,,,,107,Y,3/31/20,
600077,Jane Todd Crawford Memorial Hospital,202-206 Milby Street,Greensburg,42743,Green,Rusty,Tungate,"Jane Todd Crawford Memorial Hospital, Inc.",270-932-4211,N,CAH,,,25,,,10,,,,,,,35,Y,12/31/19,
100068,Jennie Stuart Medical Center Inc,320 West 18th Street,Hopkinsville,42241,Christian,Eric,Lee,Jennie Stuart Medical Center Inc,270-887-0100,Y,ACUTE,182,,,,,,12,,,,,,194,N,3/31/20,
100215,Jewish Hospital & St. Mary's Healthcare,200 Abraham Flexner Way,Louisville,40202,Jefferson,Ron,Waldridge II,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-587-4011,Y,ACUTE,442,,,,Y,20,,,,,,,462,N,11/30/19,
100385,Jewish Hospital Shelbyville,727 Hospital Drive,Shelbyville,40065,Shelby,Anessa,Baker,Jewish Hospital & St. Mary's HealthCare  Inc.,502-647-4300,Y,ACUTE,70,,,,,,,,,,,,70,N,6/30/20,
100528,Kentucky Correctional Psychiatric Center,1612 Dawkins Road,Lagrange,40031,Oldham,Greg,Taylor,Commonwealth of KY,502-222-7161,N,PSY,,,,,,97,,,,,,,97,N,1/31/20,
100620,Kentucky River Medical Center,540 Jett Drive,Jackson,41339,Breathitt,John,Ballard,Jackson Hospital Corporation,606-666-6000,Y,ACUTE,55,,,,,,,,,,,,55,Y,1/31/20,
100251,Kindred Hospital Louisville,1313 Saint Anthony Place,Louisville,40204,Jefferson,Jack,Nicholson,Kindred Hospitals LTC Partnership,502-587-0060,Y,ACUTE,337,,,,,,,,,,,,337,N,4/30/20,
100958,Kings Daughters Medical Center,2201 Lexington Ave,Ashland,41101,Boyd,Kristie,Whitlatch,Ashland Hospital Corporation,606-408-4401,Y,ACUTE,401,,,,,27,,,,,,27,455,N,2/28/20,
100959,Lake Cumberland Regional Hospital,305 Langdon Street,Somerset,42502,Pulaski,Steve,Sloan,"Lake Cumberland, LLC",606-679-7441,Y,ACUTE,231,,,,,34,,,,,,18,283,N,6/30/20,
100574,Lincoln Trail Behavioral Health System,3909 South Wilson Road,Radcliff,40160,Hardin,Charles,Webb,United Health Care Of Hardin Inc,270-351-9444,Y,PSY,,,,29,,111,,,,,,,140,N,4/30/20,
600071,Livingston Hosp. & Healthcare Services. Inc.,131 Hospital Drive,Salem,42078,Livingston,Kent,Giles,Livingston Hosp And Healthcare Svcs Inc,270-988-2299,N,CAH,,,25,,,,,,,,,,25,Y,11/30/20,
100298,Logan Memorial Hospital,1625 Nashville Street,Russellville,42276,Logan,David,Brash,"Logan Memorial Hospital, LLC",270-726-4011,Y,ACUTE,75,,,,,,,,,,,,75,Y,8/31/20,
100304,Lourdes Hospital,1530 Lone Oak Rd,Paducah,42003,McCracken,Michael,Yungmann,"Mercy Health-Lourdes Hospital, LLC",270-444-2444,Y,ACUTE,286,,,,,45,,,,,,28,359,N,5/31/20,
600052,Marcum And Wallace Memorial Hospital,60 Mercy Court,Irvine,40336,Estill,Susan,Starling,"Mercy Health - Marcum & Wallace Hospital, LLC",606-723-2115,N,CAH,,,25,,,,,,,,,,25,Y,7/31/20,
600078,Marshall County Hospital,"615 Old Symsonia Road,  PO Box 630",Benton,42025,Marshall,David,Fuqua,Marshall Co. Public Hospital District Corp,270-527-4800,Y,CAH,,,25,,,,,,,,,,25,Y,7/31/20,
600067,Mary Breckinridge ARH Hospital,130 Kate Ireland Drive,Hyden,41749,Leslie,Mallie,Noble,"ARH Mary Breckinridge Health Services, Inc.",606-672-2901,N,CAH,,,25,,,,,,,,,,25,Y,3/31/20,
600082,McDowell ARH Hospital,9879 Kentucky Route 122,McDowell,41647,Floyd,Russ,Barker,Appalachian Regional Healthcare Inc,606-377-3400,Y,CAH,,,25,,,,,,,,,,25,Y,8/31/20,
100332,Meadowview Regional Medical Center,989 Medical Park Drive,Maysville,41056,Mason,Joseph,Koch,Meadowview Regional Medical Center Llc,606-759-5311,Y,ACUTE,100,,,,,,,,,,,,100,N,4/30/20,
100075,Memorial Hospital Inc,210 Marie Langdon Drive,Manchester,40962,Clay,Erika,Skula,Memorial Hospital Inc,606-598-5104,Y,ACUTE,49,,,,,,,,,,,,49,N,2/28/20,
100173,Methodist Hospital,1305 N Elm Street,Henderson,42420,Henderson,Benny,Nolen,Community United Methodist Hospital Inc,270-827-7700,Y,ACUTE,184,,,,,8,,,,,,,192,N,8/31/20,
600057,Methodist Hospital Union County,4604 U.S. Hwy. 60W,Morganfield,42437,Union,Lynn ,Steinwachs,Community United Methodist Hospital Inc,270-389-3030,Y,CAH,,,25,,,,,,,,,,25,Y,12/31/19,
100019,Middlesboro ARH Hospital,3600 W Cumberland Ave,Middlesboro,40965,Bell,Michael,Slusher,Appalachian Regional Healthcare Inc,606-242-1100,Y,ACUTE,96,,,,,,,,,,,,96,Y,1/31/20,
100338,Monroe County Medical Center,529 Capp Harlan Rd,Tompkinsville,42167,Monroe,Vicky,McFall,Monroe Medical Foundation Inc,270-487-9231,Y,ACUTE,49,,,,,,,,,,,,49,N,2/28/20,
600058,Morgan County ARH Hospital,476 Liberty Road,West Liberty,41472,Morgan,Stephen,Gavalchik,Appalachian Regional Healthcare Inc,606-743-3186,Y,CAH,,,25,,,,,,,,,,25,Y,3/31/20,
100053,Murray Calloway County Hospital,803 Poplar Street,Murray,42071,Calloway,Jerome,Penner,Murray Calloway Co Public Hospital Corp,270-762-1100,Y,ACUTE,128,,,,,12,,,,,,12,152,N,6/30/20,
100252,Norton Audubon Hospital,One Audubon Plaza Drive,Louisville,40217,Jefferson,Jon,Cooper,"Norton Hospital, Inc.",502-636-7006,y,ACUTE,432,,,,,,,,,,,,432,N,6/30/20,
100475,Norton Brownsboro Hospital,4960 Norton Healthcare Boulevard,Louisville,40241,Jefferson,Andrew,Strausbaugh,"Norton Hospitals, Inc.",502-446-8000,y,ACUTE,127,,,,,,,,,,,,127,N,8/31/20,
100234,Norton Hospital/Norton Medical Pavilion/Norton Children's Hospital,200 East Chestnut Street,Louisville,40202,Jefferson,Matthew,Ayers,"Norton Hospitals, Inc.",502-629-8000,Y,ACUTE,859,,,,Y,46,,,,,,,905,N,1/31/20,
100255,Norton Women's and Children's Hospital,4001 Dutchmans Lane,Louisville,40207,Jefferson,Charlotte,Ipsan,"Norton Hospital, Inc.",502-893-1000,y,ACUTE,373,,,,,,,,,,,,373,N,7/31/20,
600073,Ohio County Hospital,1211 Old Main St.,Hartford,42347,Ohio,Blaine,Pieper,Ohio County Hospital Corporation,270-298-7411,Y,CAH,,,25,,,,,,,,,,25,Y,9/30/20,
100154,Our Lady of Bellefonte Hospital,1000 St. Christopher Drive,Ashland,41101,Greenup,Kevin,Halter,"BS-OLBH, Inc.",606-833-3600,Y,ACUTE,158,,,,,16,16,,,,,,190,N,4/30/20,
100236,Our Lady of Peace,2020 Newburg Rd,Louisville,40205,Jefferson,Martha,Mather,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-451-3330,Y,PSY,,,,,,396,,,,,,,396,N,7/31/20,
100344,Owensboro Health Muhlenberg Community Hospital,440 Hopkinsville Street,Greenville,42345,Muhlenberg,Ed,Heath,"OH Muhlenberg, LLC",270-338-8000,Y,ACUTE,90,,,,,,,,,,,,90,N,8/31/20,
100092,Owensboro Health Regional Hospital,1201 Pleasant Valley Road,Owensboro,42303,Daviess,Greg,Strahan,"Owensboro Health, Inc.",270-417-2000,Y,ACUTE,415,,,,,12,,,,,,20,447,N,9/30/20,
100263,Paul B Hall Regional Medical Center,625 James S Trimble Blvd,Paintsville,41240,Johnson,Deborah L.,Trimble,"Paintsville Hospital Company, LLC",606-789-3511,Y,ACUTE,72,,,,,,,,,,,,72,N,8/31/20,
100366,Pikeville Medical Center,911 Bypass Rd,Pikeville,41501,Pike,Donovan,Blackburn,"Pikeville Medical Center, Inc.",606-218-3500,Y,ACUTE,340,,,,,,,,,,,20,340,N,2/28/20,
100020,"Pineville Community Health Center, Inc",850 Riverview Ave,Pineville,40977,Bell,Scott,Madon,"Pineville Medical Center, LLC",606-337-3051,N,ACUTE,108,,,,,,12,,,,,,120,N,8/31/20,
100564,Rivendell Behavioral Health Services,1035 Porter Pike Rd,Bowling Green,42103,Warren,Matt ,Ours,"UHS of Bowling Green, LLC",270-843-1199,Y,PSY,,,,,,72,,,53,,,,125,N,1/31/20,
100586,River Valley Behavioral Health,1000 Industrial Drive,Owensboro,43202,Daviess,Dave,Gerkin,Green River Regional Mh Mr Board Inc,270-689-6800,N,PSY,,,,,,80,,,,,,,80,N,6/30/20,
100960,Rockcastle Regional Hospital & Respiratory Care Center,145 Newcomb Ave,Mt Vernon,40456,Rockcastle,Stephen,Estes,"Rockcastle Regional Hsp And Respiratory Care Ctr, Inc",606-256-2195,Y,ACUTE,26,,,,,,,,,,,,26,Y,12/31/19,
600081,Russell County Hospital,"153 Dowell Rd., PO Box 1610",Russell Springs,42642,Russell,Scott,Thompson,"Russell County Hospital District Health Facility Corporation, Inc.",270-866-4141,N,CAH,,,25,,,,,,,,,,25,Y,6/30/20,
600079,Saint Joseph Berea,305 Estill Street,Berea,40403,Madison,Joshua,Boyd Huffman,"Saint Joseph Health System, Inc.",859-986-6500,Y,CAH,,,25,,,,,,,,,,25,Y,1/31/20,
100538,Saint Joseph East,150 N Eagle Creek Drive,Lexington,40509,Fayette,Eric,Gilliam,"Saint Joseph Health System, Inc.",859-967-5000,Y,ACUTE,217,,,,,,,,,,,,217,N,12/31/19,
100117,Saint Joseph Hospital,One St Joseph Drive,Lexington,40504,Fayette,Bruce,Tassin,"Saint Joseph Health System, Inc.",859-313-1000,Y,ACUTE,433,,,,Y,,,,,,,,433,N,7/31/20,
100281,Saint Joseph Hospital London,1001 Saint Joseph Lane,London,40741,Laurel,Terrence,Dies,"Saint Joseph Health System, Inc.",606-330-6000,Y,ACUTE,150,,,,,,,,,,,,150,Y,5/31/20,
100339,Saint Joseph Mount Sterling,225 Falcon Drive,Mt. Sterling,40353,Montgomery,Cinda,Fluke,"Saint Joseph Health System, Inc.",859-497-5018,Y,ACUTE,42,,,,,,,,,,,,42,Y,12/31/19,
100254,Saints Mary & Elizabeth Hospital,1850 Bluegrass Avenue,Louisville,40215,Jefferson,Charles,Powell,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-361-6000,Y,ACUTE,298,,,,Y,,,,,,,,298,N,11/30/19,
100655,Southern Kentucky Rehabilitation Hospital,1300 Campbell Lane,Bowling Green,42104,Warren,Stuart,Locke,"1300 Campbell Lane Operating Company, LLC",270-782-6900,Y,REHAB,,,,,,,,,,,,60,60,N,8/31/20,
100327,Spring View Hospital,320 Loretto Road,Lebanon,40033,Marion,Timothy,Trottier,"Spring View Hospital, LLC",270-692-5145,Y,ACUTE,63,,,,,,12,,,,,,75,Y,7/31/20,
100377,St. Claire Regional Medical Center,222 Medical Circle,Morehead,40351,Rowan,Mark,Neff,St Claire Medical Center Inc,606-783-6500,Y,ACUTE,119,,,,,20,,,,,,10,149,N,12/31/19,
100500,St. Elizabeth Edgewood,1 Medical Village Dr.,Edgewood,41017,Kenton,Garren,Colvin,St Elizabeth Medical Center Inc,859-301-2000,Y,ACUTE,498,,,,,20,,,,,,,518,N,12/31/19,
100273,St. Elizabeth Florence,4900 Houston Road,Florence,41042,Boone,Bruno,Giacomuzzi,"Saint Elizabeth Medical Center, Inc.",859-2121-5220,Y,ACUTE,231,,,,,,,,,,,,231,N,10/31/20,
100059,St. Elizabeth Ft. Thomas,85 North Grand Avenue,Ft. Thomas,41075,Campbell,John,Mitchell,"Saint Elizabeth Medical Center, Inc.",859-572-3100,Y,ACUTE,178,,,,,,,,,,,,178,N,10/31/20,
600062,St. Elizabeth Grant,238 Barnes Rd.,Williamstown,41097,Grant,Bruno,Giacomuzzi,St Elizabeth Medical Center Inc,859-824-8240,Y,CAH,,,25,,,,,,,,,,25,Y,6/30/20,
100272,St. Elizabeth Medical Center ,1 Medical Village Drive,Edgewood,41017,Kenton,Garren,Colvin,St Elizabeth Medical Center Inc,859-301-2000,Y,ACUTE,37,,,58,Y,8,,,,,,,103,N,12/31/19,
100265,SUN Behavioral Health ,820 Dolwick Drive,Erlanger,41018,Kenton,Christopher,Lockey,"Northern Kentucky Behavioral, LLC",732-747-1800,N,PSY,,,,86,,105,,,,,6,,197,N,2/28/20,
100001,T J Health Columbia,901 Westlake Drive,Columbia,42728,Adair,Neil,Thornbury,T J Health Columbia Inc. ,270-384-4753,Y,ACUTE,49,,,,,25,,,,,,,74,Y,7/31/20,
100016,T J Samson Community Hospital,1301 North Race Street,Glasgow,42141,Barren,Bud,Wethington,"T J Samson Community Hospital, Inc.",270-651-4159,Y,ACUTE,180,,,,,,,,,,,,180,N,12/31/19,
100394,Taylor Regional Hospital,1700 Old Lebanon Road,Campbellsville,42718,Taylor,Jane,Wheatley,Taylor Co Hosp Dist Health Facilities Corp,270-465-3561,Y,ACUTE,90,,,,,,,,,,,,90,N,7/31/20,
100595,The Brook - Dupont,1405 Browns Lane,Louisville,40207,Jefferson,Paul,Andrews,"TBD Acquisition, LLC",502-896-0495,Y,PSY,,,,12,,56,,20,,,,,88,N,12/31/19,
100241,The Brook Hospital - KMI,8521 LaGrange Rd,Louisville,40242,Jefferson,Paul,Andrews,"KMI Acquisition, LLC",502-426-6380,Y,PSY,,,,12,,86,,,,,,,98,N,11/30/19,
600053,The James B. Haggin Memorial Hospital,464 Linden Ave.,Harrodsburg,40330,Mercer,Daniel ,McKay,The James B Haggin Memorial Hospital Inc,859-239-2409,Y,CAH,,,25,,,,,,,,,,25,Y,2/28/20,
100078,The Medical Center at Albany,723 Burkesville Road,Albany,42602,Clinton,Eric,Hagan,"The Medical Center at Clinton County, Inc. ",606-387-6421,N,ACUTE,42,,,,,,,,,,,,42,Y,10/31/20,
100404,The Medical Center at Bowling Green,250 Park Street,Bowling Green,42101,Warren,Connie,Smith,B G Warren County Comm Hosp Corp,270-745-1000,Y,ACUTE,313,,,,,24,,,,,,,337,N,2/28/20,
600065,The Medical Center at Caverna,1501 S. Dixie Street,Horse Cave,42749,Hart,Alan,Alexander,Bowling Green-Warren County Community Hospital Corporation,270-786-2191,N,CAH,,,25,,,,,,,,,,25,Y,1/31/20,
600069,The Medical Center At Franklin,1100 Brookhaven Road,Franklin,42134,Simpson,Anette,Runyon,"The Medical Center At Franklin, Inc",270-598-4800,Y,CAH,,,25,,,,,,,,,,25,Y,2/28/20,
600076,The Medical Center At Scottsville,456 Burnley Road,Scottsville,42164,Allen,Eric,Hagan,B G Warren County Comm  Hosp Corp,270-622-2800,Y,CAH,,,25,,,,,,,,,,25,Y,2/28/20,
100534,The Ridge Behavioral Health System,3050 Rio Dosa Drive,Lexington,40509,Fayette,Nina,Eisner,"Uhs Of Ridge, Inc",859-269-2325,Y,PSY,,,,20,,90,,,,,,,110,N,4/30/20,
100282,Three Rivers Medical Center,2485 Highway 644,Louisa,41230,Lawrence,Greg,Kiser,Hospital Of Louisa Inc,606-638-9451,Y,ACUTE,71,,,,,19,,,,,,,90,Y,3/31/20,
600055,Trigg County Hospital Inc.,254 Main Street,Cadiz,42211,Trigg,John,Sumner,Trigg County Hospital Inc,270-522-3215,N,CAH,,,25,,,,,,,,,,25,Y,11/30/20,
100406,TriStar Greenview Regional Hospital,1801 Ashley Circle,Bowling Green,42102,Warren,Mike,Sherrod,Greenview Hospital Inc,270-793-1000,Y,ACUTE,211,,,,Y,,,,,,,,211,Y,2/28/20,
100368,Tug Valley ARH Regional Medical Center,260 Hospital Drive,South Williamson,41503,Pike,Timothy,Hatfield,"Appalachian Regional Healthcare, Inc.",606-237-1700,Y,ACUTE,113,,,,,,,,,,,,113,N,11/30/19,
100151,Twin Lakes Regional Medical Center,910 Wallace Avenue,Leitchfield,42754,Grayson,Wayne,Meriwether,Grayson County Hospital Foundation Inc,270-259-9400,Y,ACUTE,75,,,,,,,,,,,,75,Y,1/31/20,
100104,UK HealthCare Good Samaritan Hospital,310 South Limestone Street,Lexington,40508,Fayette,Colleen,Swartz,"University of Kentucky, an agency of the Commonwealth of KY",859-323-5211,Y,ACUTE,190,,,,,31,,,,,,,221,N,11/30/19,
100121,University of KY Hospital,800 Rose Street,Lexington,40536,Fayette,Colleen,Swartz,Commonwealth Of Ky,859-323-5211,Y,ACUTE,724,,,,,,,,,,,,724,N,5/31/20,
100220,University Of Louisville Hospital,530 S Jackson St,Louisville,40202,Jefferson,Ken,Marshall,University Medical Center Inc,502-562-3000,Y,ACUTE,384,,,,,20,,,,,,,404,N,6/30/20,
600074,"Wayne County Hospital, Inc.",166 Hospital Street,Monticello,42633,Wayne,Joe,Murrell,"Wayne County Hospital, Inc.",606-348-9343,Y,CAH,,,25,,,,,,,,,,25,Y,3/31/20,
100072,Western State Hospital,2400 Russellville Road,Hopkinsville,42240,Christian,Roger,Westfall,Commonwealth of KY,270-889-6025,Y,PSY,,,,,,495,,,,,,,495,N,6/30/20,
100288,Whitesburg ARH Hospital,240 Hospital Road,Whitesburg,41858,Letcher,Dena,Sparkman,Appalachian Regional Healthcare Inc,606-633-3500,Y,ACUTE,90,,,,,,,,,,,,90,Y,7/31/20,
