,Name,Type,Subtype,City,Zip,Lat,Lon,geometry
65,Aurora Behavioral Healthcare - Tempe,Pharmacy,Hospital,Tempe,85283,33.364115,-111.9386,POINT (-111.9386 33.364115)
66,Wal-Mart Pharmacy #10-4060,Pharmacy,Chain,Tempe,85281,33.414534,-111.929507,POINT (-111.929507 33.414534)
67,Option Care,Pharmacy,Limited Service,Tempe,85284,33.348815,-111.954616,POINT (-111.954616 33.348815)
68,Osco Drug  #980,Pharmacy,Chain,Mesa,85202,33.378359,-111.875859,POINT (-111.875859 33.378359)
69,CVS/Pharmacy #3500,Pharmacy,Chain,Phoenix,85008,33.466047,-111.986858,POINT (-111.986858 33.466047)
70,Walgreen #11181,Pharmacy,Chain,Chandler,85226,33.319659,-111.945062,POINT (-111.945062 33.319659)
71,Wal-Mart Pharmacy #10-5768,Pharmacy,Chain,Tempe,85282,33.393072,-111.927903,POINT (-111.927903 33.393072)
72,Southwest Orthopedic and Spine Hospital  LLC,Pharmacy,Hospital,Phoenix,85008,33.456559,-111.995377,POINT (-111.995377 33.456559)
73,MedImpact Direct LLC,Pharmacy,Limited Service,Tempe,85284,33.342607,-111.945895,POINT (-111.945895 33.342607)
74,Banner Compounding Pharmacy,Pharmacy,Limited Service,Chandler,85226,33.307181,-111.967524,POINT (-111.967524 33.307181)
75,Banner Family Pharmacy - Desert,Pharmacy,Chain,Mesa,85202,33.390773,-111.874786,POINT (-111.874786 33.390773)
76,Banner Family Pharmacy - Chandler,Pharmacy,Independent,Chandler,85226,33.307181,-111.967524,POINT (-111.967524 33.307181)
77,Soleo Health Inc.,Pharmacy,Independent,Tempe,85281,33.425563,-111.97722,POINT (-111.97722 33.425563)
78,Wal-Mart #10-6480,Pharmacy,Chain,Chandler,85226,33.305852,-111.901663,POINT (-111.901663 33.305852)
79,Safeway Pharmacy #247,Pharmacy,Chain,Mesa,85202,33.364092,-111.859738,POINT (-111.859738 33.364092)
80,Safeway Pharmacy #1535,Pharmacy,Chain,Tempe,85284,33.348908,-111.91316,POINT (-111.91316 33.348908)
81,Safeway Pharmacy #0752,Pharmacy,Chain,Phoenix,85044,33.348744,-111.979838,POINT (-111.979838 33.348744)
82,Safeway Pharmacy #1487,Pharmacy,Chain,Tempe,85282,33.407696,-111.925348,POINT (-111.925348 33.407696)
83,LLC Patient Services Inc.,Pharmacy,Limited Service,Tempe,85283,33.35501,-111.968394,POINT (-111.968394 33.35501)
84,CVS/specialty,Pharmacy,Limited Service,Chandler,85224,33.298776,-111.888552,POINT (-111.888552 33.298776)
85,FATIMA PHARMACY  LLC,Pharmacy,Independent,MESA,85202,33.41349,-111.874726,POINT (-111.874726 33.41349)
86,CVS/pharmacy #16765,Pharmacy,Chain,Mesa,85202,33.391898,-111.863914,POINT (-111.863914 33.391898)
87,CVS/pharmacy #16110,Pharmacy,Chain,Tempe,85283,33.378569,-111.907241,POINT (-111.907241 33.378569)
88,CVS/pharmacy #17256,Pharmacy,Chain,Tempe,85281,33.429472,-111.908939,POINT (-111.908939 33.429472)
89,Safeway Pharmacy #1717,Pharmacy,Chain,Mesa,85201,33.415108,-111.874137,POINT (-111.874137 33.415108)
90,CVS/pharmacy #16335,Pharmacy,Chain,Phoenix,85044,33.320054,-111.981135,POINT (-111.981135 33.320054)
91,Serve n Save Pharmacy (SnS),Pharmacy,Independent,Scottsdale,85251,33.489744,-111.925893,POINT (-111.925893 33.489744)
92,CanyonCare Rx,Pharmacy,Limited Service,Tempe,85282,33.398142,-111.972862,POINT (-111.972862 33.398142)
93,Premier Pharmacy Services,Pharmacy,Limited Service,Tempe,85282,33.40729,-111.907292,POINT (-111.907292 33.40729)
94,FOOTHILLS PROFESSIONAL PHARMACY,Pharmacy,Independent,PHOENIX,85048,33.305036,-111.985119,POINT (-111.985119 33.305036)
95,Coram CVS/specialty infusion services,Pharmacy,Limited Service,Phoenix,85034,33.426728,-111.982,POINT (-111.982 33.426728)
96,Pharmcare USA of Greater Phoenix,Pharmacy,Limited Service,Phoenix,85040,33.407417,-111.992541,POINT (-111.992541 33.407417)
97,AllianceRx Walgreens Prime #03397,Pharmacy,Limited Service,Tempe,85284,33.340171,-111.89858,POINT (-111.89858 33.340171)
98,CVS/pharmacy #10928,Pharmacy,Chain,Tempe,85281,33.41456,-111.925954,POINT (-111.925954 33.41456)
99,Diplomat Specialty Pharmacy,Pharmacy,Independent,Chandler,85226,33.310294,-111.91403,POINT (-111.91403 33.310294)
100,Genoa Healthcare LLC,Pharmacy,Chain,Tempe,85281,33.410731,-111.960947,POINT (-111.960947 33.410731)
101,Genoa Healthcare LLC,Pharmacy,Chain,Mesa,85201,33.414656,-111.867928,POINT (-111.867928 33.414656)
102,AZ Pharmacy  LLC dba PillPack Phoenix,Pharmacy,Independent,Phoenix,85034,33.424084,-111.999386,POINT (-111.999386 33.424084)
103,Accredo Health Group  Inc.,Pharmacy,Limited Service,Tempe,85281,33.430284,-111.969794,POINT (-111.969794 33.430284)
104,ASPN Pharmacies 3  LLC,Pharmacy,Limited Service,Scottsdale,85257,33.466027,-111.908138,POINT (-111.908138 33.466027)
105,Cigna HealthCare of Arizona  Inc. d/b/a Cigna Medical Group  Pharmacy # 72,Pharmacy,Chain,Chandler,85224,33.305805,-111.87182,POINT (-111.87182 33.305805)
106,Cigna HealthCare of Arizona  Inc. d/b/a Cigna Medical Group  Pharmacy # 68,Pharmacy,Chain,Tempe,85283,33.37858,-111.903812,POINT (-111.903812 33.37858)
107,Cheveux LLC,Pharmacy,Limited Service,Phoenix,85044,33.322376,-111.987661,POINT (-111.987661 33.322376)
108,OptumRx  Inc. d/b/a OptumRx,Pharmacy,Limited Service,Phoenix,85044,33.312421,-111.978317,POINT (-111.978317 33.312421)
109,Genoa Healthcare LLC,Pharmacy,Chain,Phoenix,85008,33.465422,-111.975871,POINT (-111.975871 33.465422)
110,Genoa Healthcare LLC,Pharmacy,Chain,Phoenix,85042,33.378265,-112.005426,POINT (-112.005426 33.378265)
111,Genoa Healthcare LLC,Pharmacy,Chain,Mesa,85202,33.378497,-111.861302,POINT (-111.861302 33.378497)
112,ESI Mail Pharmacy Service  Inc. dba Express Script,Pharmacy,Limited Service,Tempe,85284,33.346969,-111.954255,POINT (-111.954255 33.346969)
113,ESI Mail Pharmacy Service  Inc. dba Express Scripts,Pharmacy,Limited Service,Tempe,85282,33.396303,-111.960599,POINT (-111.960599 33.396303)
114,Cigna HealthCare of Arizona  Inc. d/b/a Cigna Medical Group  Pharmacy # 58,Pharmacy,Chain,Scottsdale,85251,33.483868,-111.92464,POINT (-111.92464 33.483868)
115,RTA Homecare,Pharmacy,Limited Service,Mesa,85202,33.40778,-111.882478,POINT (-111.882478 33.40778)
