,ADDRESS,Business Name,Business Type,Business Type Category,CITY,COUNTY,Dispenses Naloxone,Lat,Layer,Location Address Line 1,Location Address Line 2,Location City,Location County,Location State,Location Zip,Lon,Long,NAME,TYPE,ZIP,geometry
11,,THE JEWISH HOSPITAL,HospitalsGeneral,1.0,,,True,39.206629,,4777 E Galbraith Rd,,Cincinnati,Hamilton,OH,45236,-84.38035500000001,,,,,POINT (-84.38035500000001 39.206629)
12,,Encompass Health Rehabilitation Hospital of Cincinnati at Norwood,HospitalsGeneral,1.0,,,False,39.166988,,4953 Section Ave,,Cincinnati,Hamilton,OH,45212,-84.460082,,,,,POINT (-84.460082 39.166988)
13,,BLUERIDGE VISTA HEALTH AND WELLNESS,HospitalsGeneral,1.0,,,False,39.173761999999996,,5500 Verulam Ave,,Cincinnati,Hamilton,OH,45213,-84.430426,,,,,POINT (-84.430426 39.173762)
14,,MERCY HEALTH - ANDERSON HOSPITAL LLC,HospitalsGeneral,1.0,,,False,39.084539,,7500 STATE ROAD,,CINCINNATI,HAMILTON,OH,45255,-84.349551,,,,,POINT (-84.34955100000001 39.084539)
15,820 Dolwick Drive,,,,Erlanger,Kenton,,39.046973736842105,Hospital,,,,,,,,-84.61678910526321,SUN Behavioral Health ,HospitalsPsych,41018.0,POINT (-84.61678910526321 39.04697373684211)
16,,SUMMIT BEHAVIORAL HEALTHCARE,HospitalsPsych,1.0,,,False,39.194061,,1101 Summit Rd,,Cincinnati,Hamilton,OH,45237,-84.473838,,,,,POINT (-84.473838 39.194061)
17,,CV OPERATING CO LLC,HospitalsPsych,1.0,,,False,39.173528999999995,,5500 VERULAM AVENUE,,CINCINNATI,HAMILTON,OH,45213,-84.43044499999999,,,,,POINT (-84.43044499999999 39.17352899999999)
18,,UROLOGY CENTER THE,Surgery,4.0,,,False,39.1621,,2000 JOSEPH SANKER BLVD,,CINCINNATI,HAMILTON,OH,45212,-84.4525,,,,,POINT (-84.4525 39.1621)
19,,"HSC SURGICAL ASSOCIATES OF CINCINNATI, LLC",Surgery,4.0,,,False,39.133018,,"2925 VERNON PLACE,  SUITE 101",,CINCINNATI,HAMILTON,OH,45219,-84.499891,,,,,POINT (-84.49989100000001 39.133018)
20,,THE SKIN CANCER CENTER LTD,Surgery,4.0,,,False,39.134254999999996,,3024 BURNET AVE,,CINCINNATI,HAMILTON,OH,45219,-84.50095,,,,,POINT (-84.50095 39.134255)
21,,Mercy Health West ENT,Surgery,4.0,,,False,39.18006,,3301 Mercy Health Blvd Ste 500,,Cincinnati,Hamilton,OH,45211,-84.597438,,,,,POINT (-84.597438 39.18006)
22,,MERCY HEALTH WEST MOB II,Surgery,4.0,,,False,39.180091,,3310 Mercy Health Blvd,,Cincinnati,Hamilton,OH,45211,-84.597036,,,,,POINT (-84.597036 39.180091)
23,,"TRIHEALTH HOSPITAL, INC",Surgery,4.0,,,False,39.178483,,3660 EDGEWOOD DR,,CINCINNATI,HAMILTON,OH,45211,-84.60554300000001,,,,,POINT (-84.60554300000001 39.178483)
24,,KUY PLASTIC SURGERY,Surgery,4.0,,,False,39.149169,,3825 Edwards Rd Ste 550,,Cincinnati,Hamilton,OH,45209,-84.442625,,,,,POINT (-84.44262500000001 39.149169)
25,,MAYFIELD SPINE SURGERY CENTER,Surgery,4.0,,,False,39.151361,,4020 Smith Rd,,Cincinnati,Hamilton,OH,45209,-84.44578800000001,,,,,POINT (-84.44578800000001 39.151361)
26,,AZURA SURGERY CENTER,Surgery,4.0,,,False,39.159485,,4600 Smith Rd Ste A4, SUITE A4,Norwood,Hamilton,OH,45212,-84.45235699999999,,,,,POINT (-84.45235699999999 39.159485)
27,,JMF LLC,Surgery,4.0,,,False,39.159946000000005,,4631 Ridge Ave Ste A,,Cincinnati,Hamilton,OH,45209,-84.421157,,,,,POINT (-84.42115699999999 39.15994600000001)
28,,"NORWOOD ENDOSCOPY CENTER, LLC",Surgery,4.0,,,False,39.162766,,4746 Montgomery Rd Ste 100, STE 100,Norwood,Hamilton,OH,45212,-84.45491899999999,,,,,POINT (-84.45491899999999 39.162766)
29,,THE CHRIST HOSPITAL,Surgery,4.0,,,False,39.15858,,4850 RED BANK EXPRESSWAY,,CINCINNATI,HAMILTON,OH,45227,-84.405731,,,,,POINT (-84.405731 39.15858)
30,,"TRIHEALTH HOSPITAL, INC",Surgery,4.0,,,False,39.130671,,"538 OAK STREET, SUITE 100",,CINCINNATI,HAMILTON,OH,45219,-84.49922600000001,,,,,POINT (-84.49922600000001 39.130671)
31,,AMEND CENTER FOR EYE SURGERY,Surgery,4.0,,,False,39.20228,,5939 COLERAIN AVENUE,,CINCINNATI,HAMILTON,OH,45239,-84.580823,,,,,POINT (-84.580823 39.20228)
32,,ANDERSON SURGERY CENTER,Surgery,4.0,,,False,39.072224,,7691 5 Mile Rd Ste 10B,,Cincinnati,Hamilton,OH,45230,-84.351822,,,,,POINT (-84.351822 39.072224)
33,,"TRIHEALTH HOSPITAL, INC",Surgery,4.0,,,False,39.077925,,"7810 FIVE MILE ROAD, SUITE B",,CINCINNATI,HAMILTON,OH,45230,-84.351624,,,,,POINT (-84.351624 39.077925)
34,,LASIK PLUS VISION CENTER,Surgery,4.0,,,False,39.199178,,7840 Montgomery Rd 1st Fl, FIRST FLOOR,Cincinnati,Hamilton,OH,45236,-84.379297,,,,,POINT (-84.37929699999999 39.199178)
35,,"JOEL MAIER, M.D.",Surgery,4.0,,,False,39.202196,,8044 Montgomery Rd Ste 430,,Cincinnati,Hamilton,OH,45236,-84.371669,,,,,POINT (-84.371669 39.202196)
36,,TRI-STATE CENTERS FOR SIGHT SURGERY CENTER,Surgery,4.0,,,False,39.202016,,"8044 MONTGOMERY ROAD, SUITE 155",,CINCINNATI,HAMILTON,OH,45236,-84.371988,,,,,POINT (-84.371988 39.202016)
37,,THE LITTLE CLINIC OF OHIO LLC,UrgentCare,115.0,,,False,39.12898,,1 W Corry St,,Cincinnati,Hamilton,OH,45219,-84.509815,,,,,POINT (-84.509815 39.12898)
38,,MT. AUBURN URGENT CARE,UrgentCare,115.0,,,False,39.122754,,2230 Auburn Ave,,Cincinnati,Hamilton,OH,45219,-84.508248,,,,,POINT (-84.50824799999999 39.122754)
39,,MEDICAL URGENT CARE,UrgentCare,115.0,,,False,39.137341,,3006 Glenmore Ave Ste A, STE A,Cincinnati,Hamilton,OH,45238,-84.61370699999999,,,,,POINT (-84.61370699999999 39.137341)
40,,MERCY HEALTH - WESTERN HILLS MEDICAL CENTER,UrgentCare,129.0,,,True,39.13624,,3131 Queen City Ave,,Cincinnati,Hamilton,OH,45238,-84.60554599999999,,,,,POINT (-84.60554599999999 39.13624)
41,,HYDE PARK URGENT CARE,UrgentCare,115.0,,,False,39.146479,,3802 Paxton Ave,,Cincinnati,Hamilton,OH,45209,-84.429202,,,,,POINT (-84.429202 39.146479)
42,,MERCY HEALTH - ROOKWOOD MEDICAL CENTER,UrgentCare,129.0,,,False,39.152638,,4101 Edwards Rd,,Cincinnati,Hamilton,OH,45209,-84.442305,,,,,POINT (-84.442305 39.152638)
43,,NORWOOD URGENT CARE,UrgentCare,115.0,,,False,39.157576,,4406 Montgomery Rd,,Cincinnati,Hamilton,OH,45212,-84.457848,,,,,POINT (-84.457848 39.157576)
44,,THE CHRIST HOSPITAL URGENT CARE CENTER,UrgentCare,115.0,,,False,39.154551,,4440 Red Bank Expy Ste 110,,Cincinnati,Hamilton,OH,45227,-84.404783,,,,,POINT (-84.40478299999999 39.154551)
45,,DELHI URGENT CARE,UrgentCare,115.0,,,False,39.09544,,4900 Delhi Rd,,Cincinnati,Hamilton,OH,45238,-84.606196,,,,,POINT (-84.606196 39.09544)
46,,TRI-STATE URGENT CARE,UrgentCare,115.0,,,False,39.163732,,5002 Ridge Ave,,Cincinnati,Hamilton,OH,45209,-84.422242,,,,,POINT (-84.422242 39.163732)
47,,COLERAIN URGENT CARE,UrgentCare,115.0,,,False,39.163732,,5002 Ridge Ave # 9,,Cincinnati,Hamilton,OH,45209,-84.422242,,,,,POINT (-84.422242 39.163732)
48,,Whole Health Medical Group Ohio Professional Corporation,UrgentCare,115.0,,,False,39.171719,,5204 Spring Grove Ave,,Cincinnati,Hamilton,OH,45217,-84.505514,,,,,POINT (-84.50551400000001 39.171719)
49,,BRIDGETOWN URGENT CARE,UrgentCare,115.0,,,False,39.164211,,5505 Harrison Ave,,Cincinnati,Hamilton,OH,45248,-84.630445,,,,,POINT (-84.63044499999999 39.164211)
50,,DOCTORS' URGENT CARE OFFICE,UrgentCare,115.0,,,False,39.202309,,5920 Colerain Ave,,Cincinnati,Hamilton,OH,45239,-84.580442,,,,,POINT (-84.58044200000001 39.202309)
51,,CG Medical Associates,UrgentCare,115.0,,,False,39.198968,,7200 Blue Ash Rd,,Cincinnati,Hamilton,OH,45236,-84.398389,,,,,POINT (-84.39838899999999 39.198968)
52,,BEECHMONT URGENT CARE,UrgentCare,115.0,,,False,39.072996,,7300 Beechmont Ave,,Cincinnati,Hamilton,OH,45230,-84.355426,,,,,POINT (-84.35542599999999 39.072996)
53,,HOMETOWN URGENT CARE,UrgentCare,115.0,,,False,39.224864000000004,,8459 Colerain Ave,,Cincinnati,Hamilton,OH,45239,-84.58810600000001,,,,,POINT (-84.58810600000001 39.224864)
54,,Doctors' Urgent Care Office,UrgentCare,115.0,,,False,39.227817,,9232 Reading Rd,,Cincinnati,Hamilton,OH,45215,-84.43778499999999,,,,,POINT (-84.43778499999999 39.227817)
55,1500 JAMES SIMPSON WAY,,,,COVINGTON,KENTON,,39.071435,Miscellaneous,,,,,,,,-84.51801400000001,ST ELIZABETH MEDICAL CENTER AMBULATORY CARE CENTER,UrgentCare,41011.0,POINT (-84.51801400000001 39.071435)
56,,TALBERT HOUSE - PATHWAYS FOR WOMEN,WomensClinic,105.0,,,False,39.126746999999995,,1616 Harrison Ave,,Cincinnati,Hamilton,OH,45214,-84.549348,,,,,POINT (-84.54934799999999 39.12674699999999)
57,,PLANNED PARENTHOOD SOUTHWEST OH REG,WomensClinic,105.0,,,False,39.123662,,2314 Auburn Ave,,Cincinnati,Hamilton,OH,45219,-84.508218,,,,,POINT (-84.508218 39.123662)
58,,TALBERT HOUSE - ADAPT FOR WOMEN,WomensClinic,115.0,,,False,39.134096,,3009 Burnet Ave,,Cincinnati,Hamilton,OH,45219,-84.50131999999999,,,,,POINT (-84.50131999999999 39.134096)
59,,JEWISH HOSPITAL/MERCY HEALTH WOMEN'S CENTER,WomensClinic,105.0,,,False,39.207115,,4700 E Galbraith Rd Ste 100,,Cincinnati,Hamilton,OH,45236,-84.382435,,,,,POINT (-84.382435 39.207115)
60,,HEALTHSOURCE OF OHIO - ANDERSON OB/GYN,WomensClinic,105.0,,,False,39.084692,,8000 5 Mile Rd Ste 207,,Cincinnati,Hamilton,OH,45230,-84.351202,,,,,POINT (-84.351202 39.084692)
61,1400 N GRAND AVENUE,,,,NEWPORT,CAMPBELL,,39.08064,PhysicianOffices,,,,,,,,-84.469422,ST ELIZABETH PHYSICIANS WOMEN'S HEALTH FT THOMAS,WomenClinic,41071.0,POINT (-84.46942199999999 39.08064)
62,,"PAGANI NEUROLOGICAL INSTITUTE, INC.",PainManagement,125.0,,,False,39.120175,,2123 Auburn Ave Ste 310, SUITE 310,Cincinnati,Hamilton,OH,45219,-84.508752,,,,,POINT (-84.508752 39.120175)
63,,PAIN SPECIALISTS OF CINCINNATI,PainManagement,125.0,,,False,39.147075,,3328 Westbourne Dr,,Cincinnati,Hamilton,OH,45248,-84.628697,,,,,POINT (-84.628697 39.147075)
64,,WESTERN HILLS INTERVENTIONAL PAIN,PainManagement,125.0,,,False,39.159713,,3860 Race Rd Ste 203,,Cincinnati,Hamilton,OH,45211,-84.62943299999999,,,,,POINT (-84.62943299999999 39.159713)
65,,PAIN SPECIALISTS OF CINCINNATI,PainManagement,125.0,,,False,39.157494,,4760 Red Bank Expy Ste 226, SUITE 226,Cincinnati,Hamilton,OH,45227,-84.406113,,,,,POINT (-84.406113 39.157494)
66,,"TRI-STATE PAIN MGMT SERVICE, INC",PainManagement,125.0,,,False,39.070688,,7655 5 Mile Rd Ste 117, STE 117,Cincinnati,Hamilton,OH,45230,-84.352013,,,,,POINT (-84.352013 39.070688)
67,,"ADVANCED SPINE & PAIN MANAGEMENT, INC.",PainManagement,125.0,,,False,39.072224,,7691 5 Mile Rd Ste 10, STE 10,Cincinnati,Hamilton,OH,45230,-84.351822,,,,,POINT (-84.351822 39.072224)
68,"103 LANDMARK DRIVE, SUITE 110",,,,BELLEVUE,CAMPBELL,,39.099644031401404,PhysicianOffices,,,,,,,,-84.4859827185054,GREATER CINCINNATI PAIN MANAGEMENT CENTERS,PainManagement,41073.0,POINT (-84.4859827185054 39.0996440314014)
69,,NOVACARE REHABILITATION,PhysicalTherapy,124.0,,,False,39.13623,,222 Piedmont Ave Ste 2200, STE 2200,Cincinnati,Hamilton,OH,45219,-84.50434200000001,,,,,POINT (-84.50434200000001 39.13623)
70,,CCHMC SPORTS MED & BIODYNAMICS CTR,PhysicalTherapy,124.0,,,False,39.131262,,2800 Winslow Ave Ste 3100, SUITE 3100,Cincinnati,Hamilton,OH,45206,-84.49606700000001,,,,,POINT (-84.49606700000001 39.131262)
71,,The Christ Hospital Physical and Occupational Therapy Centers-Red Bank,PhysicalTherapy,124.0,,,False,39.153911,,4410 Red Bank Rd,,Cincinnati,Hamilton,OH,45227,-84.402794,,,,,POINT (-84.402794 39.153911)
72,,NOVACARE OUTPATIENT REHAB DIV.,PhysicalTherapy,124.0,,,False,39.159689,,4615 Marburg Ave,,Cincinnati,Hamilton,OH,45209,-84.425063,,,,,POINT (-84.42506299999999 39.159689)
73,,GENESIS ELDERCARE REHABILITATION SERVICES INC,PhysicalTherapy,145.0,,,False,39.166022,,5435 KENWOOD DRIVE,,CINCINNATI,HAMILTON,OH,45227,-84.386348,,,,,POINT (-84.386348 39.166022)
74,,NOVA CARE OUTPATIENT REHABILITATION,PhysicalTherapy,124.0,,,False,39.164459,,5500 Harrison Ave Ste I, STE I,Cincinnati,Hamilton,OH,45248,-84.630292,,,,,POINT (-84.630292 39.164459)
75,,GUENTHNER PHYSICAL THERAPY,PhysicalTherapy,145.0,,,False,39.192359,,5557 CHEVIOT ROAD,,CINCINNATI,HAMILTON,OH,45247,-84.599336,,,,,POINT (-84.59933599999999 39.192359)
76,,THE CHRIST HOSPTAL PHYSICAL & OCCUPATIONAL THERAPY CENTERS-GREEN TWP,PhysicalTherapy,124.0,,,False,39.167376000000004,,5649 Harrison Ave Ste C, STE C,Cincinnati,Hamilton,OH,45248,-84.635936,,,,,POINT (-84.635936 39.167376)
77,,NOVACARE OUTPATIENT REHAB DIVISION,PhysicalTherapy,124.0,,,False,39.072652000000005,,7981 Beechmont Ave,,Cincinnati,Hamilton,OH,45255,-84.334537,,,,,POINT (-84.334537 39.07265200000001)
78,,"REHABCLINICS (SPT), INC",PhysicalTherapy,145.0,,,False,39.07267,,7981 BEECHMONT AVENUE,,CINCINNATI,HAMILTON,OH,45255,-84.334452,,,,,POINT (-84.334452 39.07267)
79,,GREATER CINCINNATI BEHAVIORAL HEALTH SERVICES,Mental,117.0,,,False,39.129769,,1501 Madison Rd 3rd Fl, 3RD FLOOR,Walnut Hills,Hamilton,OH,45206,-84.478865,,,,,POINT (-84.478865 39.129769)
80,,First Step Home,Mental,117.0,,,False,39.120788,,2203 Fulton Ave,,Cincinnati,Hamilton,OH,45206,-84.491896,,,,,POINT (-84.491896 39.120788)
81,,I K R O N,Mental,150.0,,,False,39.1253,,2347 VINE STREET,,CINCINNATI,HAMILTON,OH,45215,-84.513736,,,,,POINT (-84.51373599999999 39.1253)
82,,PATH Integrated Health Care,Mental,117.0,,,False,39.12559,,2433 Iowa Ave,,Cincinnati,Hamilton,OH,45206,-84.500325,,,,,POINT (-84.500325 39.12559)
83,,MENTAL HEALTH ACCESS POINT,Mental,117.0,,,False,39.139414,,311 Albert Sabin Way,,Cincinnati,Hamilton,OH,45229,-84.502386,,,,,POINT (-84.502386 39.139414)
84,,EATING RECOVERY CENTER OF OHIO,Mental,105.0,,,False,39.148140000000005,,3805 Edwards Rd Ste 400,,Cincinnati,Hamilton,OH,45209,-84.442766,,,,,POINT (-84.44276600000001 39.14814000000001)
85,,GREATER CINCINNATI BEHAVIORAL HEALTH SERVICES,Mental,117.0,,,False,39.191156,,7162 Reading Rd Ste 400, SUITE 400,Cincinnati,Hamilton,OH,45237,-84.461834,,,,,POINT (-84.461834 39.191156)
86,,"Klarity Clinic of Cincinnati, LLC",Mental,117.0,,,False,39.072224,,7691 5 Mile Rd Ste 10B,,Cincinnati,Hamilton,OH,45230,-84.351822,,,,,POINT (-84.351822 39.072224)
87,1717 MADISON AVENUE,,,,COVINGTON,KENTON,,39.0701597083333,AODE_BHSO,,,,,,,,-84.50655175,"NKY MED CLINIC, LLC",Mental,41011.0,POINT (-84.50655175 39.0701597083333)
88,,"MIDWEST HEALTH GROUP, LLC",SubstanceHelp,139.0,,,False,39.125159000000004,,1420 E Mcmillan St 3rd Fl, 3RD FLOOR,Cincinnati,Hamilton,OH,45206,-84.479003,,,,,POINT (-84.47900300000001 39.125159)
89,,THE CROSSROADS CENTER MEDICATION ASSISTED PROGRAM,SubstanceHelp,122.0,,,False,39.134096,,3009 Burnet Ave,,Cincinnati,Hamilton,OH,45219,-84.50131999999999,,,,,POINT (-84.50131999999999 39.134096)
90,,CENTRAL COMMUNITY HEALTH BOARD OPIOID AGONIST TREATMENT PROGRAM,SubstanceHelp,122.0,,,False,39.134121,,3020 Vernon Pl,,Cincinnati,Hamilton,OH,45219,-84.498799,,,,,POINT (-84.49879900000001 39.134121)
91,,"UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY, LLC",SubstanceHelp,122.0,,,False,39.136257,,3131 Harvey Ave,,Cincinnati,Hamilton,OH,45229,-84.49890699999999,,,,,POINT (-84.49890699999999 39.136257)
92,,CENTER FOR HEALTH AND INNOVATIVE LEARNING LLC,SubstanceHelp,139.0,,,False,39.14182,,3352 Jefferson Ave,,Cincinnati,Hamilton,OH,45220,-84.514531,,,,,POINT (-84.51453100000001 39.14182)
93,,"NEW INSIGHTS MEDICAL AND MENTAL HEALTH WELLNESS, INC.",SubstanceHelp,139.0,,,False,39.147296999999995,,3951 Red Bank Rd,,Cincinnati,Hamilton,OH,45227,-84.404922,,,,,POINT (-84.404922 39.14729699999999)
94,,BrightView LLC,SubstanceHelp,122.0,,,False,39.125132,,446 Morgan St,,Cincinnati,Hamilton,OH,45206,-84.499788,,,,,POINT (-84.499788 39.125132)
95,,COVEDALE TREATMENT SERVICES,SubstanceHelp,122.0,,,False,39.130136,,5122 Glencrossing Way,,Cincinnati,Hamilton,OH,45238,-84.614407,,,,,POINT (-84.614407 39.130136)
96,,BrightView LLC,SubstanceHelp,122.0,,,False,39.207201,,6527 Colerain Ave,,Cincinnati,Hamilton,OH,45239,-84.58350300000001,,,,,POINT (-84.58350300000001 39.207201)
97,,POLAND PSYCHIATRIC SERVICES,SubstanceHelp,139.0,,,False,39.072567,,7801 Beechmont Ave Unit 1,,Cincinnati,Hamilton,OH,45255,-84.341426,,,,,POINT (-84.341426 39.072567)
98,,CENTER FOR ADDICTION TREATMENT,SubstanceHelp,105.0,,,False,39.109515,,830 Ezzard Charles Dr,,Cincinnati,Hamilton,OH,45214,-84.529083,,,,,POINT (-84.529083 39.109515)
99,20 WEST 18TH STREET,,,,COVINGTON,KENTON,,39.0693742054795,AODE_BHSO,,,,,,,,-84.5067345342466,ADDICTION SERVICES COUNCIL,SubstanceHelp,41011.0,POINT (-84.5067345342466 39.0693742054795)
100,1450 MADISON AVENUE,,,,COVINGTON,KENTON,,39.074422244898,AODE_BHSO,,,,,,,,-84.5076528979592,COVINGTON TREATMENT CENTER,SubstanceHelp,41011.0,POINT (-84.5076528979592 39.074422244898)
101,912 SCOTT BOULEVARD,,,,COVINGTON,KENTON,,39.081412122449,AODE_BHSO,,,,,,,,-84.5077990612245,MENTAL HEALTH AMERICA OF NORTHERN KENTUCKY,SubstanceHelp,41011.0,POINT (-84.5077990612245 39.081412122449)
102,1717 MADISON AVENUE,,,,COVINGTON,KENTON,,39.0701597083333,AODE_BHSO,,,,,,,,-84.50655175,NKY MED CLINIC LLC,SubstanceHelp,41011.0,POINT (-84.50655175 39.0701597083333)
103,,PROCTER AND GAMBLE COMPANY VIBRANT LIVING HEALTH CENTER,MedicalFacility,118.0,,,False,39.102946,,1 Procter And Gamble Plz,,Cincinnati,Hamilton,OH,45202,-84.507396,,,,,POINT (-84.507396 39.102946)
104,,GOOD SAMARITAN HOSPITAL - TRIHEALTH EVENT MEDICINE,MedicalFacility,118.0,,,False,39.096183,,100 Joe Nuxhall Way,,Cincinnati,Hamilton,OH,45202,-84.508185,,,,,POINT (-84.508185 39.096183)
105,,WALNUT STREET HEALTH CENTER,MedicalFacility,105.0,,,False,39.106734,,1005 Walnut St,,Cincinnati,Hamilton,OH,45202,-84.512886,,,,,POINT (-84.51288599999999 39.106734)
106,,THE LITTLE CLINIC,MedicalFacility,105.0,,,False,39.106698,,1014 Vine St,,Cincinnati,Hamilton,OH,45202,-84.514184,,,,,POINT (-84.514184 39.106698)
107,,The Cincinnati Eye Institute Foundation,MedicalFacility,105.0,,,False,39.119502000000004,,1125 Bank St,,Cincinnati,Hamilton,OH,45214,-84.533721,,,,,POINT (-84.533721 39.119502)
108,,BETHESDA CARE QUEENSGATE,MedicalFacility,105.0,,,False,39.104183,,1150 W 8th St Ste 120, SUITE 120,Cincinnati,Hamilton,OH,45203,-84.53492299999999,,,,,POINT (-84.53492299999999 39.104183)
109,,"PATIENT PRIORITY CLINICAL SITES, LLC",MedicalFacility,105.0,,,False,39.236416999999996,,1207 Springfield Pike,,Cincinnati,Hamilton,OH,45215,-84.471964,,,,,POINT (-84.471964 39.236417)
110,,QUADMED HEALTH & WELLNESS CENTER,MedicalFacility,105.0,,,False,39.161657,,1230 Knowlton St,,Cincinnati,Hamilton,OH,45223,-84.530087,,,,,POINT (-84.53008699999999 39.161657)
111,,LINCOLN HEIGHTS HEALTH CENTER,MedicalFacility,105.0,,,False,39.2392,,1401 Steffen Ave,,Cincinnati,Hamilton,OH,45215,-84.45270699999999,,,,,POINT (-84.45270699999999 39.2392)
112,,DOL/MTC/CJCC,MedicalFacility,105.0,,,False,39.110504999999996,,1409 Western Ave,,Cincinnati,Hamilton,OH,45214,-84.532248,,,,,POINT (-84.532248 39.110505)
113,,"TALBERT HOUSE, INC - PASSAGES",MedicalFacility,105.0,,,False,39.134384000000004,,1515 Carll St,,Cincinnati,Hamilton,OH,45225,-84.546688,,,,,POINT (-84.546688 39.134384)
114,,ELM STREET HEALTH CENTER VFC CLINIC,MedicalFacility,105.0,,,False,39.112165999999995,,1525 Elm St,,Cincinnati,Hamilton,OH,45202,-84.519274,,,,,POINT (-84.519274 39.11216599999999)
115,,The Cincinnati Eye Institute Foundation,MedicalFacility,105.0,,,False,39.218881,,1574 Claretta Dr,,Cincinnati,Hamilton,OH,45231,-84.548264,,,,,POINT (-84.548264 39.218881)
116,,MERCY HEALTH EMPLOYEE WELLNESS CENTER,MedicalFacility,105.0,,,False,39.169993,,1701 Mercy Health Pl,,Cincinnati,Hamilton,OH,45237,-84.466778,,,,,POINT (-84.46677800000001 39.169993)
117,,XAVIER UNIVERSITY HEALTH & WELLNESS CENTER,MedicalFacility,105.0,,,False,39.148613,,1723 Cleneay Ave,,Cincinnati,Hamilton,OH,45212,-84.470749,,,,,POINT (-84.470749 39.148613)
118,,HAMILTON CO. GENERAL HLTH DISTRICT,MedicalFacility,105.0,,,False,39.126994,,184 E Mcmillan St,,Cincinnati,Hamilton,OH,45219,-84.50484499999999,,,,,POINT (-84.50484499999999 39.126994)
119,,NORWOOD CITY HEALTH DEPT.,MedicalFacility,105.0,,,False,39.160418,,2059 Sherman Ave,,Norwood,Hamilton,OH,45212,-84.458033,,,,,POINT (-84.458033 39.160418)
120,,JOHN HOPKINS HEALTH & WELLNESS CLINIC PEPSI BEVERAGE COMPANY,MedicalFacility,105.0,,,False,39.205453999999996,,2121 Sunnybrook Dr,,Cincinnati,Hamilton,OH,45237,-84.448014,,,,,POINT (-84.448014 39.205454)
121,,THE CHRIST HOSPITAL MEDICAL OFFICE BUILDING,MedicalFacility,105.0,,,False,39.120175,,2123 Auburn Ave,,Cincinnati,Hamilton,OH,45219,-84.508752,,,,,POINT (-84.508752 39.120175)
122,,PRICE HILL HEALTH CENTER VFC CLINIC,MedicalFacility,105.0,,,False,39.105315999999995,,2136 W 8th St,,Cincinnati,Hamilton,OH,45204,-84.551866,,,,,POINT (-84.551866 39.10531599999999)
123,,Talbert House - Cornerstone,MedicalFacility,105.0,,,False,39.121377,,2216 Vine St,,Cincinnati,Hamilton,OH,45219,-84.515304,,,,,POINT (-84.515304 39.121377)
