Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site,Week
6-Acetylmorphine,1.08,19.98,(3) Wed,0.01,0.14,(05) May,0,25.63,2018-05-16 03:00:00,TP04,0
6-Acetylmorphine,0.83,24.01,(4) Thu,0.01,0.16,(05) May,0,29.57,2018-05-17 03:00:00,TP04,0
6-Acetylmorphine,0.54,33.45,(5) Fri,0.0,0.2,(05) May,0,37.56,2018-05-18 03:00:00,TP04,0
6-Acetylmorphine,0.17,21.02,(6) Sat,0.0,0.12,(05) May,0,21.19,2018-05-19 03:00:00,TP04,0
6-Acetylmorphine,1.04,10.31,(7) Sun,0.01,0.06,(05) May,0,10.44,2018-05-20 03:00:00,TP04,0
Oxycodone,3.48,38.76,(1) Mon,0.02,0.25,(07) July,0,46.1,2018-07-23 03:00:00,TP04,10
Oxycodone,0.88,38.06,(2) Tue,0.01,0.24,(07) July,0,43.39,2018-07-24 03:00:00,TP04,10
Oxycodone,0.73,39.14,(3) Wed,0.0,0.26,(07) July,0,48.12,2018-07-25 03:00:00,TP04,10
Oxycodone,1.27,84.32,(4) Thu,0.01,0.55,(07) July,0,101.72,2018-07-26 03:00:00,TP04,10
Oxycodone,2.63,45.51,(5) Fri,0.02,0.28,(07) July,0,51.25,2018-07-27 03:00:00,TP04,10
Oxycodone,0.79,25.18,(6) Sat,0.0,0.14,(07) July,0,25.77,2018-07-28 03:00:00,TP04,10
Oxycodone,1.22,44.24,(7) Sun,0.01,0.24,(07) July,0,44.9,2018-07-29 03:00:00,TP04,10
Noroxycodone,5.23,58.43,(2) Tue,0.03,0.36,(07) July,0,66.62,2018-07-23 03:00:00,TP04,10
Noroxycodone,3.48,50.92,(3) Wed,0.02,0.34,(07) July,0,62.6,2018-07-24 03:00:00,TP04,10
Noroxycodone,0.25,54.1,(4) Thu,0.0,0.36,(07) July,0,65.26,2018-07-25 03:00:00,TP04,10
Noroxycodone,5.97,54.59,(5) Fri,0.04,0.34,(07) July,0,61.47,2018-07-26 03:00:00,TP04,10
Noroxycodone,0.36,29.04,(6) Sat,0.0,0.16,(07) July,0,29.73,2018-07-27 03:00:00,TP04,10
Noroxycodone,0.3,54.92,(7) Sun,0.0,0.3,(07) July,0,55.74,2018-07-28 03:00:00,TP04,10
Codeine,3.14,57.53,(1) Mon,0.02,0.37,(07) July,0,68.41,2018-07-29 03:00:00,TP04,10
Codeine,0.09,29.45,(3) Wed,0.0,0.2,(07) July,0,36.2,2018-07-23 03:00:00,TP04,10
Codeine,6.29,75.35,(4) Thu,0.04,0.5,(07) July,0,90.9,2018-07-24 03:00:00,TP04,10
Codeine,5.96,96.19,(5) Fri,0.04,0.59,(07) July,0,108.32,2018-07-25 03:00:00,TP04,10
Codeine,0.97,58.37,(6) Sat,0.01,0.33,(07) July,0,59.75,2018-07-26 03:00:00,TP04,10
Codeine,7.07,72.56,(7) Sun,0.04,0.4,(07) July,0,73.65,2018-07-27 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-28 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-29 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-23 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-24 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-25 03:00:00,TP04,10
Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-26 03:00:00,TP04,10
Norfentanyl,0.6,5.17,(1) Mon,0.0,0.03,(07) July,0,6.15,2018-07-27 03:00:00,TP04,10
Norfentanyl,0.92,6.22,(2) Tue,0.01,0.04,(07) July,0,7.09,2018-07-28 03:00:00,TP04,10
Norfentanyl,0.36,10.55,(3) Wed,0.0,0.07,(07) July,0,12.97,2018-07-29 03:00:00,TP04,10
Norfentanyl,0.02,3.45,(5) Fri,0.0,0.02,(07) July,0,3.89,2018-07-23 03:00:00,TP04,10
Norfentanyl,0.07,3.31,(6) Sat,0.0,0.02,(07) July,0,3.39,2018-07-24 03:00:00,TP04,10
Norfentanyl,0.04,0.8,(7) Sun,0.0,0.0,(07) July,0,0.81,2018-07-25 03:00:00,TP04,10
Heroin,2.02,20.61,(1) Mon,0.01,0.13,(07) July,0,24.51,2018-07-26 03:00:00,TP04,10
Heroin,2.29,24.29,(2) Tue,0.01,0.15,(07) July,0,27.7,2018-07-27 03:00:00,TP04,10
Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-28 03:00:00,TP04,10
Heroin,0.05,24.53,(4) Thu,0.0,0.16,(07) July,0,29.6,2018-07-29 03:00:00,TP04,10
Heroin,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-23 03:00:00,TP04,10
Heroin,2.95,19.73,(7) Sun,0.02,0.11,(07) July,0,20.02,2018-07-24 03:00:00,TP04,10
6-Acetylmorphine,2.33,25.96,(1) Mon,0.02,0.17,(07) July,0,30.87,2018-07-25 03:00:00,TP04,10
6-Acetylmorphine,1.8,40.45,(2) Tue,0.01,0.25,(07) July,0,46.12,2018-07-26 03:00:00,TP04,10
6-Acetylmorphine,0.19,18.18,(3) Wed,0.0,0.12,(07) July,0,22.35,2018-07-27 03:00:00,TP04,10
6-Acetylmorphine,0.65,31.66,(4) Thu,0.0,0.21,(07) July,0,38.19,2018-07-28 03:00:00,TP04,10
6-Acetylmorphine,2.39,49.99,(5) Fri,0.01,0.31,(07) July,0,56.29,2018-07-29 03:00:00,TP04,10
6-Acetylmorphine,0.81,23.01,(7) Sun,0.0,0.13,(07) July,0,23.36,2018-07-23 03:00:00,TP04,10
Noroxycodone,0.45,55.53,(1) Mon,0.0,0.36,(07) July,0,66.03,2018-07-30 03:00:00,TP04,11
Codeine,0.41,62.27,(2) Tue,0.0,0.39,(07) July,0,70.99,2018-07-30 03:00:00,TP04,11
Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(07) July,-10000,-9999.99,2018-07-30 03:00:00,TP04,11
Norfentanyl,0.41,6.4,(4) Thu,0.0,0.04,(07) July,0,7.72,2018-07-30 03:00:00,TP04,11
Heroin,3.48,30.39,(5) Fri,0.02,0.19,(07) July,0,34.22,2018-07-30 03:00:00,TP04,11
6-Acetylmorphine,5.37,121.64,(6) Sat,0.03,0.68,(07) July,0,124.52,2018-07-30 03:00:00,TP04,11
Oxycodone,1.22,33.72,(1) Mon,0.01,0.21,(08) August,0,38.0,2018-08-20 03:00:00,TP04,14
Oxycodone,1.83,32.01,(2) Tue,0.01,0.19,(08) August,0,35.38,2018-08-21 03:00:00,TP04,14
Oxycodone,2.21,31.93,(3) Wed,0.01,0.2,(08) August,0,36.32,2018-08-22 03:00:00,TP04,14
Oxycodone,1.43,28.36,(4) Thu,0.01,0.18,(08) August,0,32.42,2018-08-23 03:00:00,TP04,14
Oxycodone,1.09,27.56,(5) Fri,0.01,0.16,(08) August,0,29.51,2018-08-24 03:00:00,TP04,14
Oxycodone,1.52,22.97,(6) Sat,0.01,0.13,(08) August,0,23.91,2018-08-25 03:00:00,TP04,14
Noroxycodone,5.35,46.34,(1) Mon,0.03,0.28,(08) August,0,52.21,2018-08-20 03:00:00,TP04,14
Noroxycodone,0.9,42.58,(2) Tue,0.01,0.26,(08) August,0,47.07,2018-08-21 03:00:00,TP04,14
Noroxycodone,1.46,40.48,(3) Wed,0.01,0.25,(08) August,0,46.05,2018-08-22 03:00:00,TP04,14
Noroxycodone,1.87,43.44,(4) Thu,0.01,0.27,(08) August,0,49.66,2018-08-23 03:00:00,TP04,14
Noroxycodone,0.48,43.31,(5) Fri,0.0,0.25,(08) August,0,46.38,2018-08-24 03:00:00,TP04,14
Noroxycodone,6.11,29.89,(6) Sat,0.03,0.17,(08) August,0,31.11,2018-08-25 03:00:00,TP04,14
Codeine,0.6,46.33,(1) Mon,0.0,0.28,(08) August,0,52.2,2018-08-20 03:00:00,TP04,14
Codeine,1.91,51.4,(2) Tue,0.01,0.31,(08) August,0,56.82,2018-08-21 03:00:00,TP04,14
Codeine,2.81,33.7,(3) Wed,0.02,0.21,(08) August,0,38.34,2018-08-22 03:00:00,TP04,14
Codeine,1.71,26.98,(4) Thu,0.01,0.17,(08) August,0,30.85,2018-08-23 03:00:00,TP04,14
Codeine,0.38,28.55,(5) Fri,0.0,0.17,(08) August,0,30.58,2018-08-24 03:00:00,TP04,14
Codeine,1.54,25.13,(6) Sat,0.01,0.14,(08) August,0,26.16,2018-08-25 03:00:00,TP04,14
Fentanyl,0.11,2.59,(1) Mon,0.0,0.02,(08) August,0,2.92,2018-08-20 03:00:00,TP04,14
Fentanyl,0.05,2.97,(2) Tue,0.0,0.02,(08) August,0,3.28,2018-08-21 03:00:00,TP04,14
Fentanyl,0.48,5.57,(3) Wed,0.0,0.03,(08) August,0,6.34,2018-08-22 03:00:00,TP04,14
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-23 03:00:00,TP04,14
Fentanyl,0.07,2.61,(5) Fri,0.0,0.02,(08) August,0,2.79,2018-08-24 03:00:00,TP04,14
Fentanyl,0.29,5.62,(6) Sat,0.0,0.03,(08) August,0,5.85,2018-08-25 03:00:00,TP04,14
Norfentanyl,0.1,6.02,(1) Mon,0.0,0.04,(08) August,0,6.78,2018-08-20 03:00:00,TP04,14
Norfentanyl,0.06,5.82,(2) Tue,0.0,0.04,(08) August,0,6.43,2018-08-21 03:00:00,TP04,14
Norfentanyl,0.45,5.6,(3) Wed,0.0,0.03,(08) August,0,6.37,2018-08-22 03:00:00,TP04,14
Norfentanyl,0.44,3.42,(4) Thu,0.0,0.02,(08) August,0,3.91,2018-08-23 03:00:00,TP04,14
Norfentanyl,0.41,4.47,(5) Fri,0.0,0.03,(08) August,0,4.79,2018-08-24 03:00:00,TP04,14
Norfentanyl,0.06,6.38,(6) Sat,0.0,0.04,(08) August,0,6.64,2018-08-25 03:00:00,TP04,14
Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-20 03:00:00,TP04,14
Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-21 03:00:00,TP04,14
Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-22 03:00:00,TP04,14
Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-23 03:00:00,TP04,14
Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(08) August,-10000,-9999.99,2018-08-24 03:00:00,TP04,14
Heroin,1.08,68.81,(6) Sat,0.01,0.39,(08) August,0,71.62,2018-08-25 03:00:00,TP04,14
6-Acetylmorphine,1.77,26.1,(1) Mon,0.01,0.16,(08) August,0,29.41,2018-08-20 03:00:00,TP04,14
6-Acetylmorphine,1.15,27.87,(2) Tue,0.01,0.17,(08) August,0,30.8,2018-08-21 03:00:00,TP04,14
6-Acetylmorphine,3.24,22.26,(3) Wed,0.02,0.14,(08) August,0,25.33,2018-08-22 03:00:00,TP04,14
6-Acetylmorphine,0.36,10.31,(4) Thu,0.0,0.06,(08) August,0,11.79,2018-08-23 03:00:00,TP04,14
6-Acetylmorphine,0.02,32.54,(5) Fri,0.0,0.19,(08) August,0,34.85,2018-08-24 03:00:00,TP04,14
6-Acetylmorphine,0.79,36.54,(6) Sat,0.0,0.21,(08) August,0,38.03,2018-08-25 03:00:00,TP04,14
Oxycodone,0.73,17.87,(7) Sun,0.0,0.09,(08) August,0,16.65,2018-08-27 03:00:00,TP04,15
Noroxycodone,1.58,27.89,(7) Sun,0.01,0.14,(08) August,0,25.98,2018-08-27 03:00:00,TP04,15
Codeine,1.66,28.26,(7) Sun,0.01,0.14,(08) August,0,26.32,2018-08-27 03:00:00,TP04,15
Fentanyl,0.38,3.86,(7) Sun,0.0,0.02,(08) August,0,3.6,2018-08-27 03:00:00,TP04,15
Norfentanyl,0.57,6.51,(7) Sun,0.0,0.03,(08) August,0,6.06,2018-08-27 03:00:00,TP04,15
Heroin,6.91,63.14,(7) Sun,0.04,0.32,(08) August,0,58.82,2018-08-27 03:00:00,TP04,15
6-Acetylmorphine,3.85,45.21,(7) Sun,0.02,0.23,(08) August,0,42.12,2018-08-27 03:00:00,TP04,15
Oxycodone,2.95,32.83,(1) Mon,0.02,0.19,(09) September,0,35.63,2018-09-10 03:00:00,TP04,17
Oxycodone,2.22,34.73,(2) Tue,0.01,0.22,(09) September,0,39.96,2018-09-11 03:00:00,TP04,17
Oxycodone,1.58,29.51,(3) Wed,0.01,0.18,(09) September,0,33.66,2018-09-12 03:00:00,TP04,17
Oxycodone,1.51,40.14,(4) Thu,0.01,0.24,(09) September,0,44.01,2018-09-13 03:00:00,TP04,17
Oxycodone,4.7,29.17,(5) Fri,0.03,0.17,(09) September,0,31.07,2018-09-14 03:00:00,TP04,17
Oxycodone,5.4,19.06,(6) Sat,0.03,0.1,(09) September,0,17.53,2018-09-15 03:00:00,TP04,17
Oxycodone,1.42,15.08,(7) Sun,0.01,0.08,(09) September,0,14.97,2018-09-16 03:00:00,TP04,17
Noroxycodone,3.12,42.62,(1) Mon,0.02,0.25,(09) September,0,46.26,2018-09-10 03:00:00,TP04,17
Noroxycodone,0.21,39.68,(2) Tue,0.0,0.25,(09) September,0,45.65,2018-09-11 03:00:00,TP04,17
Noroxycodone,1.01,34.54,(3) Wed,0.01,0.21,(09) September,0,39.39,2018-09-12 03:00:00,TP04,17
Noroxycodone,3.07,45.84,(4) Thu,0.02,0.27,(09) September,0,50.27,2018-09-13 03:00:00,TP04,17
Noroxycodone,4.01,32.85,(5) Fri,0.02,0.19,(09) September,0,34.99,2018-09-14 03:00:00,TP04,17
Noroxycodone,6.81,22.03,(6) Sat,0.03,0.11,(09) September,0,20.26,2018-09-15 03:00:00,TP04,17
Noroxycodone,2.42,17.64,(7) Sun,0.01,0.1,(09) September,0,17.51,2018-09-16 03:00:00,TP04,17
Codeine,2.62,39.23,(1) Mon,0.02,0.23,(09) September,0,42.58,2018-09-10 03:00:00,TP04,17
Codeine,5.19,45.9,(2) Tue,0.03,0.29,(09) September,0,52.8,2018-09-11 03:00:00,TP04,17
Codeine,0.95,60.67,(3) Wed,0.01,0.38,(09) September,0,69.19,2018-09-12 03:00:00,TP04,17
Codeine,5.43,44.57,(4) Thu,0.03,0.27,(09) September,0,48.87,2018-09-13 03:00:00,TP04,17
Codeine,0.46,25.95,(5) Fri,0.0,0.15,(09) September,0,27.64,2018-09-14 03:00:00,TP04,17
Codeine,3.03,23.38,(6) Sat,0.02,0.12,(09) September,0,21.5,2018-09-15 03:00:00,TP04,17
Codeine,1.14,19.21,(7) Sun,0.01,0.1,(09) September,0,19.07,2018-09-16 03:00:00,TP04,17
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-10 03:00:00,TP04,17
Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-11 03:00:00,TP04,17
Fentanyl,0.11,1.69,(3) Wed,0.0,0.01,(09) September,0,1.93,2018-09-12 03:00:00,TP04,17
Fentanyl,0.16,1.9,(4) Thu,0.0,0.01,(09) September,0,2.08,2018-09-13 03:00:00,TP04,17
Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-14 03:00:00,TP04,17
Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-15 03:00:00,TP04,17
Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-16 03:00:00,TP04,17
Norfentanyl,0.12,3.45,(1) Mon,0.0,0.02,(09) September,0,3.74,2018-09-10 03:00:00,TP04,17
Norfentanyl,1.13,5.23,(2) Tue,0.01,0.03,(09) September,0,6.02,2018-09-11 03:00:00,TP04,17
Norfentanyl,3.05,8.84,(3) Wed,0.02,0.05,(09) September,0,10.08,2018-09-12 03:00:00,TP04,17
Norfentanyl,5.11,10.09,(4) Thu,0.03,0.06,(09) September,0,11.07,2018-09-13 03:00:00,TP04,17
Norfentanyl,0.02,7.35,(5) Fri,0.0,0.04,(09) September,0,7.83,2018-09-14 03:00:00,TP04,17
Norfentanyl,2.4,4.97,(6) Sat,0.01,0.02,(09) September,0,4.57,2018-09-15 03:00:00,TP04,17
Norfentanyl,1.12,3.68,(7) Sun,0.01,0.02,(09) September,0,3.65,2018-09-16 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-10 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-11 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-12 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-13 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-14 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-15 03:00:00,TP04,17
Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(09) September,-10000,-9999.99,2018-09-16 03:00:00,TP04,17
6-Acetylmorphine,0.81,11.68,(1) Mon,0.0,0.07,(09) September,0,12.67,2018-09-10 03:00:00,TP04,17
6-Acetylmorphine,0.27,13.09,(2) Tue,0.0,0.08,(09) September,0,15.06,2018-09-11 03:00:00,TP04,17
6-Acetylmorphine,0.19,12.89,(3) Wed,0.0,0.08,(09) September,0,14.7,2018-09-12 03:00:00,TP04,17
6-Acetylmorphine,0.31,13.99,(4) Thu,0.0,0.08,(09) September,0,15.34,2018-09-13 03:00:00,TP04,17
6-Acetylmorphine,0.22,12.74,(5) Fri,0.0,0.07,(09) September,0,13.57,2018-09-14 03:00:00,TP04,17
6-Acetylmorphine,0.45,12.97,(6) Sat,0.0,0.07,(09) September,0,11.93,2018-09-15 03:00:00,TP04,17
6-Acetylmorphine,0.08,13.34,(7) Sun,0.0,0.07,(09) September,0,13.24,2018-09-16 03:00:00,TP04,17
Oxycodone,0.12,33.64,(1) Mon,0.0,0.24,(10) October,0,43.19,2018-10-01 03:00:00,TP04,20
Oxycodone,0.44,45.51,(2) Tue,0.0,0.39,(10) October,0,71.4,2018-10-02 03:00:00,TP04,20
Oxycodone,4.36,95.64,(3) Wed,0.03,0.76,(10) October,0,139.46,2018-10-03 03:00:00,TP04,20
Oxycodone,0.0,44.73,(4) Thu,0.0,0.34,(10) October,0,61.49,2018-10-04 03:00:00,TP04,20
Oxycodone,1.78,50.47,(5) Fri,0.01,0.4,(10) October,0,73.59,2018-10-05 03:00:00,TP04,20
Oxycodone,0.31,26.44,(6) Sat,0.0,0.2,(10) October,0,36.38,2018-10-06 03:00:00,TP04,20
Oxycodone,0.54,24.8,(7) Sun,0.0,0.21,(10) October,0,37.79,2018-10-07 03:00:00,TP04,20
Noroxycodone,4.55,43.45,(1) Mon,0.03,0.3,(10) October,0,55.79,2018-10-01 03:00:00,TP04,20
Noroxycodone,4.35,67.04,(2) Tue,0.04,0.57,(10) October,0,105.18,2018-10-02 03:00:00,TP04,20
Noroxycodone,5.67,98.2,(3) Wed,0.05,0.78,(10) October,0,143.18,2018-10-03 03:00:00,TP04,20
Noroxycodone,0.68,56.47,(4) Thu,0.01,0.42,(10) October,0,77.61,2018-10-04 03:00:00,TP04,20
Noroxycodone,1.2,54.6,(5) Fri,0.01,0.43,(10) October,0,79.62,2018-10-05 03:00:00,TP04,20
Noroxycodone,0.12,33.15,(6) Sat,0.0,0.25,(10) October,0,45.62,2018-10-06 03:00:00,TP04,20
Noroxycodone,0.73,36.62,(7) Sun,0.01,0.3,(10) October,0,55.81,2018-10-07 03:00:00,TP04,20
Codeine,1.12,47.08,(1) Mon,0.01,0.33,(10) October,0,60.45,2018-10-01 03:00:00,TP04,20
Codeine,3.04,49.72,(2) Tue,0.03,0.43,(10) October,0,78.01,2018-10-02 03:00:00,TP04,20
Codeine,0.57,23.37,(3) Wed,0.0,0.19,(10) October,0,34.07,2018-10-03 03:00:00,TP04,20
Codeine,0.38,55.2,(4) Thu,0.0,0.41,(10) October,0,75.88,2018-10-04 03:00:00,TP04,20
Codeine,0.09,69.08,(5) Fri,0.0,0.55,(10) October,0,100.73,2018-10-05 03:00:00,TP04,20
Codeine,0.87,39.27,(6) Sat,0.01,0.29,(10) October,0,54.04,2018-10-06 03:00:00,TP04,20
Codeine,1.69,24.68,(7) Sun,0.01,0.21,(10) October,0,37.61,2018-10-07 03:00:00,TP04,20
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(10) October,-10000,-9999.99,2018-10-01 03:00:00,TP04,20
Fentanyl,0.13,4.27,(2) Tue,0.0,0.04,(10) October,0,6.7,2018-10-02 03:00:00,TP04,20
Fentanyl,0.05,2.12,(3) Wed,0.0,0.02,(10) October,0,3.09,2018-10-03 03:00:00,TP04,20
