,address_x,agency,arrival_time_primary_unit,beat,closed_time_incident,community_council_neighborhood,create_time_incident,dispatch_time_primary_unit,disposition_text,district,event_number,incident_type_desc,incident_type_id,latitude_x,longitude_x,priority,priority_color
30,XX W COURT ST,CPD,2017-07-01T13:35:05.000,P011,2017-07-01T14:47:09.000,DOWNTOWN,2017-07-01T13:29:08.000,2017-07-01T14:26:48.000,HBF: HANDLED BY FIRE,1,CPD170701000709,DRUG ACTIVITY,DRUG,39.106971232088,-84.5145003917967,7,YELLOW
31,18XX QUEEN CITY AV,CPD,2017-05-16T20:22:00.000,P341,2017-05-16T20:33:17.000,SOUTH FAIRMOUNT,2017-05-16T20:02:54.000,2017-05-16T20:03:33.000,INV: INV,3,CPD170516001746,,DRUG,39.1265228073546,-84.5606780232859,3,
32,21XX BEECHMONT AV,CPD,2017-08-17T13:44:06.000,P241,2017-08-17T14:15:16.000,MOUNT WASHINGTON,2017-08-17T13:35:56.000,2017-08-17T13:37:46.000,INV: INV,2,CPD170817000915,,HEROINP-COMBINED,39.0935330001196,-84.386451,2,
33,XX GARFIELD PL,CPD,2017-04-24T15:23:58.000,P011,2017-04-24T15:31:42.000,DOWNTOWN,2017-04-24T15:13:34.000,2017-04-24T15:22:01.000,INV: INV,1,CPD170424001005,,DRUG,39.1046500980953,-84.5153689125729,3,
34,CENTRAL PKWY / MAGNOLIA ST,CPD,2017-08-24T13:20:33.000,P121,2017-08-24T13:27:30.000,OTR,2017-08-24T13:20:14.000,2017-08-24T13:20:33.000,SOW: SENT ON WAY,1,CPD170824000881,,HEROINP-COMBINED,39.1109170001195,-84.519559,2,
35,8XX YORK ST,CPD,2017-07-07T02:57:04.000,P131,2017-07-07T03:01:00.000,WEST END,2017-07-07T02:40:38.000,2017-07-07T02:41:50.000,ADV:ADVISED,1,CPD170707000144,DRUG ACTIVITY,DRUG,39.1166785986352,-84.5277145789979,7,YELLOW
36,BALDWIN AL / W CENTRAL PKWY,CPD,2017-05-11T16:39:54.000,P121,2017-05-11T18:31:34.000,OTR,2017-05-11T16:30:29.000,2017-05-11T16:34:20.000,AST: ASSIST,1,CPD170511001270,,DRUG,39.1069780000896,-84.514927,3,
37,7XX WOODLAWN AV,CPD,2017-10-24T19:48:45.000,P321,2017-10-24T21:42:57.000,EAST PRICE HILL,2017-10-24T19:26:32.000,2017-10-24T19:30:32.000,INV: INV,3,CPD171024001502,,HEROINP-COMBINED,39.1033520001195,-84.568165,2,
38,YORK ST / BAYMILLER ST,CPD,2017-07-19T08:24:56.000,P131,2017-07-19T08:33:39.000,WEST END,2017-07-19T07:38:01.000,2017-07-19T08:18:49.000,INV: INV,1,CPD170719000367,DRUG ACTIVITY,DRUG,39.1175930001195,-84.529863,7,YELLOW
39,26XX CHESTERFIELD CT,CPD,,P541,2017-03-10T05:50:28.000,MOUNT AIRY,2017-03-10T05:46:15.000,2017-03-10T05:47:25.000,26: AVAIL/DETAIL COMPLETED,5,CPD170310000248,,DRUG,39.2022001842723,-84.5777392081164,3,
40,78XX DAWN RD,CPD,2017-06-30T16:54:58.000,P451,2017-06-30T17:04:56.000,ROSELAWN,2017-06-30T16:05:44.000,2017-06-30T16:49:11.000,GOA: GOA,4,CPD170630001175,DRUG ACTIVITY,DRUG,39.2049755098253,-84.4606254026355,7,YELLOW
41,30XX WESTWOOD NORTHERN BLVD,CPD,2017-02-04T18:58:41.000,P331,2017-02-04T18:59:41.000,WESTWOOD,2017-02-04T18:30:33.000,2017-02-04T18:36:19.000,INV: INV,3,CPD170204001075,,DRUG,39.1585654775789,-84.5964274726928,3,
42,34XX HAZELWOOD AV,CPD,,P331,2017-08-01T17:59:02.000,WESTWOOD,2017-08-01T17:57:53.000,,CAN:CANCEL,3,CPD170801001455,DRUG ACTIVITY,DRUG,39.1496840001195,-84.597502,7,YELLOW
43,28XX ORLAND AV,CPD,2017-09-12T22:37:48.000,P331,2017-09-13T00:10:41.000,WESTWOOD,2017-09-12T22:33:23.000,2017-09-12T22:34:08.000,HBF: HANDLED BY FIRE,3,CPD170912001696,,HEROINP-COMBINED,39.1374170001195,-84.57342,2,
44,9XX CLEVELAND AV,CPD,,P431,2017-05-04T13:09:28.000,AVONDALE,2017-05-04T13:09:28.000,,CAN:CANCEL,4,CPD170504000745,,DRUGR,39.1425601310395,-84.4860265593489,6,
45,XX CONKLIN ST,CPD,,P511,2017-11-09T14:49:13.000,CUF,2017-11-09T14:49:13.000,,CAN:CANCEL,5,CPD171109000968,DRUG COMPLAINT REFERRAL,DRUGR,39.1240650001196,-84.516129,35,PURPLE
46,15XX GILPIN AV,CPD,,P211,2017-06-09T13:21:39.000,EVANSTON,2017-06-09T13:21:39.000,,CAN:CANCEL,2,CPD170609000888,DRUG COMPLAINT REFERRAL,DRUGR,39.1333450536959,-84.4777127794312,35,PURPLE
47,72XX SCOTTWOOD AV,CPD,,P451,2017-03-08T18:37:46.000,ROSELAWN,2017-03-08T18:07:01.000,,BC: BROADCAST,4,CPD170308001416,,DRUG,39.1928618038615,-84.4614272438483,3,
48,10XX SCHIFF AV,CPD,2017-01-26T17:31:17.000,P321,2017-01-26T18:37:00.000,WEST PRICE HILL,2017-01-26T17:23:48.000,2017-01-26T17:26:20.000,AST: ASSIST,3,CPD170126001181,,HEROINP-COMBINED,39.1123692617205,-84.5892067295737,2,
49,BURBANK ST / KENTON ST,CPD,2017-07-09T00:17:39.000,P421,2017-07-09T00:18:08.000,WALNUT HILLS,2017-07-08T23:46:37.000,2017-07-08T23:48:58.000,GOA: GOA,4,CPD170708001703,DRUG ACTIVITY,DRUG,39.1240300001195,-84.493477,7,YELLOW
50,15XX SHENANDOAH AV,CPD,,P451,2017-03-08T15:33:44.000,ROSELAWN,2017-03-08T15:04:50.000,2017-03-08T15:11:12.000,GOA: GOA,4,CPD170308001083,,DRUG,39.1971140001195,-84.462251,3,
51,40XX VINEDALE AV,CPD,2017-02-17T17:36:31.000,P321,2017-02-17T20:54:52.000,WEST PRICE HILL,2017-02-17T17:33:56.000,2017-02-17T17:35:07.000,ARR: ARREST,3,CPD170217001313,,HEROINP-COMBINED,39.1045385515389,-84.5860932292493,2,
52,W 12TH ST / RACE ST,CPD,,P121,2017-06-23T17:25:15.000,OTR,2017-06-23T17:20:22.000,,BC: BROADCAST,1,CPD170623001201,DRUG ACTIVITY,DRUG,39.1089610000897,-84.517309,7,YELLOW
53,30XX BURNET AV,CPD,2017-03-21T02:15:29.000,P411,2017-03-21T03:43:04.000,CORRYVILLE,2017-03-21T02:07:34.000,2017-03-21T02:09:34.000,316: AIDED CASE RPT,4,CPD170321000124,,HEROINP-COMBINED,39.1350273686425,-84.5016081372639,2,
54,26XX FENTON AV,CPD,2017-06-19T16:24:21.000,P331,2017-06-19T16:35:34.000,SOUTH FAIRMOUNT - WESTWOOD,2017-06-19T15:44:36.000,2017-06-19T16:18:56.000,GOA: GOA,3,CPD170619001006,DRUG ACTIVITY,DRUG,39.1363939283216,-84.5781791286269,7,YELLOW
55,22XX GILBERT AV,CPD,2017-09-04T19:38:04.000,P421,2017-09-04T19:44:11.000,WALNUT HILLS,2017-09-04T19:07:32.000,2017-09-04T19:08:27.000,GOA: GOA,4,CPD170904001491,DRUG ACTIVITY,DRUG,39.1223030001195,-84.492096,7,YELLOW
56,44XX EASTERN AV,CPD,2017-06-12T09:53:02.000,P241,2017-06-12T09:56:35.000,LINWOOD,2017-06-12T09:47:12.000,2017-06-12T09:49:30.000,INV: INV,2,CPD170612000467,,HEROINP-COMBINED,39.1113325764542,-84.4233580531343,2,
57,57XX ADELPHI ST,CPD,2017-06-08T16:51:48.000,P231,2017-06-08T16:52:54.000,MADISONVILLE,2017-06-08T15:54:37.000,2017-06-08T16:30:04.000,GOA: GOA,2,CPD170608001091,DRUG ACTIVITY,DRUG,39.1519496661569,-84.3966124909714,7,YELLOW
58,15XX BURDETT CT,CPD,,P211,2017-03-04T18:38:37.000,EAST WALNUT HILLS,2017-03-04T18:34:27.000,,ADV:ADVISED,2,CPD170304001176,,DRUGR,39.1268542516004,-84.4770113970152,6,
59,18XX JOSEPHINE ST,CPD,,P411,2017-07-20T18:59:15.000,MOUNT AUBURN,2017-07-20T18:59:15.000,,CAN:CANCEL,4,CPD170720001517,DRUG COMPLAINT REFERRAL,DRUGR,39.1156490001196,-84.507233,35,PURPLE
60,CLARION AV / MONTGOMERY RD,CPD,2017-08-08T23:47:35.000,P211,2017-08-09T00:02:42.000,EVANSTON,2017-08-08T23:41:55.000,2017-08-08T23:44:53.000,INV: INV,2,CPD170808002101,DRUG ACTIVITY,DRUG,39.1446970001195,-84.469537,7,YELLOW
61,HIGHLAND AV / PIEDMONT AV,CPD,2017-06-17T17:51:00.000,P411,2017-06-17T18:40:35.000,CORRYVILLE,2017-06-17T17:44:47.000,2017-06-17T17:48:26.000,316: AIDED CASE RPT,4,CPD170617001270,,HEROINP-COMBINED,39.1351870000896,-84.503158,2,
62,XX W 12TH ST,CPD,2017-08-01T13:03:36.000,P121,2017-08-01T13:10:21.000,OTR,2017-08-01T12:46:44.000,2017-08-01T13:01:10.000,SOW: SENT ON WAY,1,CPD170801000830,DRUG ACTIVITY,DRUG,39.1083990001195,-84.516821,7,YELLOW
63,1XX E CLIFTON AV,CPD,2017-09-30T14:29:15.000,P121,2017-09-30T14:29:49.000,OTR,2017-09-30T14:12:15.000,2017-09-30T14:29:14.000,GOA: GOA,1,CPD170930000944,DRUG ACTIVITY,DRUG,39.1159640001195,-84.514095,7,YELLOW
64,APPLE ST / COOPER ST,CPD,2017-08-07T22:31:14.000,P531,2017-08-07T23:05:46.000,NORTHSIDE,2017-08-07T22:24:42.000,2017-08-07T22:25:34.000,ADV:ADVISED,5,CPD170807001778,DRUG ACTIVITY,DRUG,39.1585960001195,-84.541306,7,YELLOW
65,XX W COURT ST,CP,2017-01-17T10:58:06.000,P113,2017-01-17T11:15:41.000,DOWNTOWN,2017-01-17T10:46:09.000,2017-01-17T10:47:30.000,ADVISED,1,LCP170117000570,INV DRUG COMPLAINT,DRUG,39.1056659800896,-84.51546326,3,
66,33XX DAYTONA AV,CPD,,P331,2017-04-03T16:42:28.000,WESTWOOD,2017-04-03T15:44:52.000,2017-04-03T16:09:02.000,INV: INV,3,CPD170403001084,,DRUG,39.1467763897484,-84.6124826145253,3,
67,MORRISON AV / TERRACE AV,CPD,,P521,2017-11-30T10:28:36.000,CLIFTON,2017-11-30T10:28:36.000,,ADV:ADVISED,5,CPD171130000547,DRUG COMPLAINT REFERRAL,DRUGR,39.1425140001195,-84.528814,35,PURPLE
68,15XX W NORTH BEND RD,CP,2017-01-19T11:01:39.000,P548,2017-01-19T11:26:22.000,COLLEGE HILL,2017-01-19T10:49:03.000,2017-01-19T10:55:45.000,SOW - SENT ON WAY,5,LCP170119000530,,DRUG,39.2032162800896,-84.54691414,,
69,4XX GRAND AV,CPD,,P321,2017-10-17T15:30:36.000,EAST PRICE HILL,2017-10-17T15:30:36.000,,ADV:ADVISED,3,CPD171017001034,DRUG COMPLAINT REFERRAL,DRUGR,39.1000950001195,-84.561718,35,PURPLE
70,17XX CARRAHEN AV,CPD,,P451,2017-03-14T12:45:40.000,BOND HILL,2017-03-14T12:45:40.000,,CAN:CANCEL,4,CPD170314000641,,DRUGR,39.1816465611113,-84.4627961020408,6,
71,2XX W MITCHELL AV,CPD,2017-04-10T18:28:16.000,P531,2017-04-10T20:21:51.000,SPRING GROVE VILLAGE,2017-04-10T18:22:56.000,2017-04-10T18:24:05.000,TRAN: TRANSPORT,5,CPD170410001478,,HEROINP-COMBINED,39.1644263367035,-84.5138031140169,2,
72,25XX HANSFORD PL,CPD,,P341,2017-06-21T06:51:43.000,SOUTH FAIRMOUNT,2017-06-21T06:26:22.000,,BC: BROADCAST,3,CPD170621000240,DRUG ACTIVITY,DRUG,39.131673363528,-84.56770203974,7,YELLOW
73,8XX STATE AV,CPD,2017-11-30T05:39:13.000,P313,2017-11-30T05:52:15.000,LOWER PRICE HILL,2017-11-30T05:50:45.000,2017-11-30T05:32:41.000,316: AIDED CASE RPT,3,CPD171130000199,,HEROINP-COMBINED,39.1058790001195,-84.552929,2,
74,1XX E CLIFTON AV,CPD,2017-05-24T11:28:11.000,P121,2017-05-24T11:28:22.000,OTR,2017-05-24T11:12:46.000,2017-05-24T11:28:06.000,GOA: GOA,1,CPD170524000612,,DRUG,39.1167779011179,-84.5152250975277,3,
75,11XX RACE ST,CPD,2017-09-16T20:22:17.000,P121,2017-09-16T20:25:14.000,OTR,2017-09-16T20:07:54.000,2017-09-16T20:18:23.000,GOA: GOA,1,CPD170916001752,DRUG ACTIVITY,DRUG,39.1070670001196,-84.515226,7,YELLOW
76,19XX GARDEN LN,CPD,2017-09-21T22:48:15.000,P451,2017-09-21T22:52:24.000,BOND HILL,2017-09-21T22:34:59.000,2017-09-21T22:41:24.000,GOA: GOA,4,CPD170921002082,DRUG ACTIVITY,DRUG,39.1762950001195,-84.461939,7,YELLOW
77,22XX QUEEN CITY AV,CP,2017-01-22T18:57:00.000,P343,2017-01-22T20:39:22.000,SOUTH FAIRMOUNT,2017-01-22T18:47:51.000,2017-01-22T18:52:55.000,ARREST,3,LCP170122001069,HEROIN OD,HEROIN,39.1264441200896,-84.57370248,2,
78,41XX RIVER RD,CPD,,P313,2017-01-30T17:46:33.000,RIVERSIDE,2017-01-30T17:43:31.000,,CAN:CANCEL,3,CPD170130001122,,DRUG,39.0779261746625,-84.6136900583242,3,
79,54XX HAMILTON AV,CPD,2017-08-09T10:04:44.000,P541,2017-08-09T10:07:42.000,COLLEGE HILL,2017-08-09T09:52:49.000,2017-08-09T10:00:10.000,INV: INV,5,CPD170809000487,DRUG ACTIVITY,DRUG,39.1899190001194,-84.545194,7,YELLOW
80,3XX W MCMILLAN ST,CPD,2017-09-23T15:10:48.000,P511,2017-09-23T15:56:52.000,CUF - HEIGHTS,2017-09-23T15:02:39.000,2017-09-23T15:08:11.000,AST: ASSIST,5,CPD170923001041,,HEROINP-COMBINED,39.1282840001195,-84.524137,2,
81,28XX HOFF AV,CPD,,P241,2017-09-03T17:30:24.000,EAST END,2017-09-03T17:30:24.000,,CAN:CANCEL,2,CPD170903001014,DRUG COMPLAINT REFERRAL,DRUGR,39.1221920001195,-84.452912,35,PURPLE
82,32XX WOLSELEY LN,CPD,,P431,2017-10-04T18:25:41.000,AVONDALE,2017-10-04T18:25:41.000,,CAN:CANCEL,4,CPD171004001582,DRUG COMPLAINT REFERRAL,DRUGR,39.1400320001195,-84.49665,35,PURPLE
83,15XX RACE ST,CPD,2017-05-23T18:03:22.000,P121,2017-05-23T18:09:26.000,OTR,2017-05-23T17:59:55.000,2017-05-23T18:01:20.000,GOA: GOA,1,CPD170523001608,,DRUG,39.1122878368515,-84.5179798407279,3,
84,21XX DANA AV,CPD,2017-09-21T11:26:38.000,P211,2017-09-21T13:29:12.000,EVANSTON,2017-09-21T11:22:56.000,2017-09-21T11:23:52.000,AST: ASSIST,2,CPD170921000713,,HEROINP-COMBINED,39.1453990001195,-84.457793,2,
85,1XX E 13TH ST,CPD,,P121,2017-04-16T14:19:12.000,OTR,2017-04-16T13:56:30.000,2017-04-16T13:57:10.000,INV: INV,1,CPD170416000772,,HEROINP-COMBINED,39.1099747810188,-84.5122028944499,2,
86,12XX ROSEMONT AV,CPD,2017-06-02T06:44:19.000,P321,2017-06-02T07:19:43.000,WEST PRICE HILL,2017-06-02T06:18:50.000,2017-06-02T06:37:45.000,INV: INV,3,CPD170602000301,,HEROINP-COMBINED,39.1152388033219,-84.5835303990991,2,
87,7XX W COURT ST,CPD,2017-02-20T00:11:31.000,P131,2017-02-20T00:12:28.000,WEST END,2017-02-20T00:06:50.000,2017-02-20T00:08:41.000,INV: INV,1,CPD170220000011,,DRUG,39.1060941036447,-84.5267019120819,3,
88,34XX WOODBURN AV,CPD,2017-09-15T21:24:18.000,P211,2017-09-15T21:43:29.000,EVANSTON,2017-09-15T21:13:23.000,2017-09-15T21:14:59.000,GOA: GOA,2,CPD170915002001,DRUG ACTIVITY,DRUG,39.1401220001195,-84.475393,7,YELLOW
89,27XX MADISON RD,CPD,2017-06-07T13:35:34.000,P222,2017-06-07T13:52:13.000,HYDE PARK - OAKLEY,2017-06-07T13:22:45.000,2017-06-07T13:29:19.000,INV: INV,2,CPD170607000895,DRUG ACTIVITY,DRUG,39.1455346896851,-84.4405704958624,7,YELLOW
90,98XX CONSTITUTION DR,CPD,2017-09-28T21:49:14.000,P461,2017-09-28T22:18:16.000,HARTWELL,2017-09-28T21:23:35.000,2017-09-28T21:24:18.000,AST: ASSIST,4,CPD170928001692,,HEROINP-COMBINED,39.2185950001193,-84.488627,2,
91,21XX ELEANOR PL,CPD,2017-11-24T15:02:12.000,P411,2017-11-24T15:16:31.000,MOUNT AUBURN,2017-11-24T14:58:39.000,2017-11-24T15:00:00.000,INV: INV,4,CPD171124000757,HEROIN OVERDOSE - PD ONLY,HERONP-PD ONLY,39.1201200001195,-84.511551,4,YELLOW
92,13XX BATES AV,CPD,2017-08-18T22:20:09.000,P521,2017-08-18T22:53:11.000,CAMP WASHINGTON,2017-08-18T22:13:24.000,2017-08-18T22:15:23.000,INV: INV,5,CPD170818001980,,HEROINP-COMBINED,39.1403760001195,-84.540676,2,
93,19XX POWERS ST,CPD,,P351,2017-02-01T16:52:32.000,SOUTH CUMMINSVILLE,2017-02-01T16:17:57.000,2017-02-01T16:18:50.000,ADV:ADVISED,3,CPD170201001143,,DRUG,39.158150281364,-84.5521236008196,3,
94,58XX BRAMBLE AV,CPD,2017-07-25T01:05:12.000,P231,2017-07-25T01:13:15.000,MADISONVILLE,2017-07-25T00:19:44.000,2017-07-25T00:59:52.000,NTR: NOTHING TO REPORT,2,CPD170725000033,DRUG ACTIVITY,DRUG,39.1517460001195,-84.393284,7,YELLOW
95,33XX PARKCREST LN,CP,2017-01-20T22:45:41.000,P331,2017-01-20T22:47:46.000,WESTWOOD,2017-01-20T22:35:49.000,2017-01-20T22:41:54.000,GONE ON ARRIVAL,3,LCP170120001662,INV DRUG COMPLAINT,DRUG,39.1485990000896,-84.62161763,3,
96,1XX E LIBERTY ST,CPD,2017-11-02T08:46:30.000,P121,2017-11-02T08:53:36.000,OTR,2017-11-02T08:36:36.000,2017-11-02T08:38:38.000,SOW: SENT ON WAY,1,CPD171102000373,,HEROINP-COMBINED,39.1128480001196,-84.514422,2,
97,2XX STARK ST,CPD,2017-08-17T02:41:50.000,P121,2017-08-17T03:42:46.000,OTR,2017-08-17T02:40:39.000,2017-08-17T02:41:42.000,GOA: GOA,1,CPD170817000167,,HEROINP-COMBINED,39.1188770001195,-84.524088,2,
98,29XX BLUE HAVEN TER,CPD,2017-07-04T08:33:17.000,P331,2017-07-04T08:46:30.000,WESTWOOD,2017-07-04T08:25:23.000,2017-07-04T08:28:59.000,GOA: GOA,3,CPD170704000386,DRUG ACTIVITY,DRUG,39.1364249584518,-84.5983769937326,7,YELLOW
99,20XX HIGHLAND AV,CPD,,P411,2017-07-05T16:41:40.000,MOUNT AUBURN,2017-07-05T16:39:18.000,,DUP: DUPLICATE,4,CPD170705001352,,HEROINP-COMBINED,39.120077503667,-84.5032354828365,2,
100,18XX CARLL ST,CPD,,P341,2017-11-01T12:35:03.000,NORTH FAIRMOUNT,2017-11-01T12:16:54.000,,BC: BROADCAST,3,CPD171101000728,DRUG ACTIVITY,DRUG,39.1355730001195,-84.557042,7,YELLOW
